Orthogroup	MHP_LH_protein	MFC_MS42_protein
OG0000082	WP_233688412.1	WP_002557448.1
OG0000083	WP_233688414.1	WP_002557450.1
OG0000084	WP_011284142.1	WP_002557451.1
OG0000085	WP_011206224.1	WP_002557453.1
OG0000086	WP_233688416.1	WP_002557454.1
OG0000087	WP_233688417.1	WP_002557455.1
OG0000088	WP_011206228.1	WP_236681783.1
OG0000089	WP_044272480.1	WP_002557458.1
OG0000090	WP_011206231.1	WP_002557461.1
OG0000091	WP_011283836.1	WP_002557464.1
OG0000092	WP_233688592.1	WP_002557465.1
OG0000093	WP_233688591.1	WP_002557467.1
OG0000094	WP_233688590.1	WP_002557468.1
OG0000095	WP_233688589.1	WP_002557469.1
OG0000096	WP_160588116.1	WP_002557470.1
OG0000097	WP_011205847.1	WP_002557471.1
OG0000098	WP_020835484.1	WP_002557472.1
OG0000099	WP_233688588.1	WP_002557473.1
OG0000100	WP_233688586.1	WP_002557477.1
OG0000101	WP_233688585.1	WP_236681780.1
OG0000102	WP_044272251.1	WP_002557479.1
OG0000103	WP_011206529.1	WP_002557480.1
OG0000104	WP_233688584.1	WP_002557482.1
OG0000105	WP_233688583.1	WP_002557483.1
OG0000106	WP_233688582.1	WP_002557484.1
OG0000107	WP_233688581.1	WP_002557485.1
OG0000108	WP_094521530.1	WP_002557486.1
OG0000109	WP_233688580.1	WP_002557487.1
OG0000110	WP_233688579.1	WP_002557489.1
OG0000111	WP_011206510.1	WP_002557497.1
OG0000112	WP_233688736.1	WP_002557499.1
OG0000113	WP_233688737.1	WP_002557500.1
OG0000114	WP_233688738.1	WP_002557501.1
OG0000115	WP_233688430.1	WP_002557509.1
OG0000116	WP_011206239.1	WP_002557510.1
OG0000117	WP_011284163.1	WP_002557511.1
OG0000118	WP_135618882.1	WP_002557514.1
OG0000119	WP_233688432.1	WP_002557515.1
OG0000120	WP_135618884.1	WP_002557516.1
OG0000121	WP_011284169.1	WP_002557518.1
OG0000122	WP_011206247.1	WP_002557519.1
OG0000123	WP_233688451.1	WP_002557522.1
OG0000124	WP_233688450.1	WP_002557523.1
OG0000125	WP_233688449.1	WP_002557524.1
OG0000126	WP_233688448.1	WP_002557525.1
OG0000127	WP_233688447.1	WP_002557526.1
OG0000128	WP_233688444.1	WP_002557528.1
OG0000129	WP_233688443.1	WP_002557530.1
OG0000130	WP_011206264.1	WP_002557532.1
OG0000131	WP_233688701.1	WP_002557533.1
OG0000132	WP_233688702.1	WP_002557534.1
OG0000133	WP_233688703.1	WP_002557535.1
OG0000134	WP_233688704.1	WP_002557537.1
OG0000135	WP_233688705.1	WP_002557538.1
OG0000136	WP_233688707.1	WP_002557540.1
OG0000137	WP_179696055.1	WP_002557541.1
OG0000138	WP_011205966.1	WP_002557542.1
OG0000139	WP_011205965.1	WP_002557543.1
OG0000140	WP_160600844.1	WP_002557544.1
OG0000141	WP_044284614.1	WP_002557545.1
OG0000142	WP_011284032.1	WP_002557548.1
OG0000143	WP_011205958.1	WP_002557549.1
OG0000144	WP_011205956.1	WP_002557551.1
OG0000145	WP_233688711.1	WP_002557553.1
OG0000146	WP_011290118.1	WP_002557554.1
OG0000147	WP_011205952.1	WP_002557555.1
OG0000148	WP_011205950.1	WP_002557557.1
OG0000149	WP_233688712.1	WP_002557558.1
OG0000150	WP_011284040.1	WP_002557559.1
OG0000151	WP_233688713.1	WP_002557561.1
OG0000152	WP_233688714.1	WP_002557562.1
OG0000153	WP_014579732.1	WP_002557563.1
OG0000154	WP_233688715.1	WP_002557564.1
OG0000155	WP_011284046.1	WP_002557565.1
OG0000156	WP_233688716.1	WP_002557566.1
OG0000157	WP_233688717.1	WP_002557567.1
OG0000158	WP_233688719.1	WP_002557569.1
OG0000159	WP_334301384.1	WP_002557571.1
OG0000160	WP_233688634.1	WP_002557573.1
OG0000161	WP_014579589.1	WP_002557574.1
OG0000162	WP_233688635.1	WP_002557575.1
OG0000163	WP_011206121.1	WP_002557576.1
OG0000164	WP_011206120.1	WP_002557577.1
OG0000165	WP_233688636.1	WP_002557578.1
OG0000166	WP_233688637.1	WP_002557580.1
OG0000167	WP_233688638.1	WP_002557581.1
OG0000168	WP_011206113.1	WP_002557585.1
OG0000169	WP_233688643.1	WP_002557589.1
OG0000170	WP_011206106.1	WP_002557590.1
OG0000171	WP_179221023.1	WP_002557594.1
OG0000172	WP_011206101.1	WP_002557595.1
OG0000173	WP_011284290.1	WP_002557602.1
OG0000174	WP_011284289.1	WP_002557603.1
OG0000175	WP_233688510.1	WP_002557606.1
OG0000176	WP_233688509.1	WP_002557607.1
OG0000177	WP_233688508.1	WP_002557608.1
OG0000178	WP_233688507.1	WP_002557609.1
OG0000179	WP_233688506.1	WP_002557610.1
OG0000180	WP_011206385.1	WP_002557613.1
OG0000181	WP_233688504.1	WP_002557614.1
OG0000182	WP_135619016.1	WP_002557615.1
OG0000183	WP_233688502.1	WP_002557618.1
OG0000184	WP_011206379.1	WP_002557620.1
OG0000185	WP_011206378.1	WP_002557621.1
OG0000186	WP_135619008.1	WP_002557622.1
OG0000187	WP_135619006.1	WP_002557623.1
OG0000188	WP_233688500.1	WP_002557627.1
OG0000189	WP_179696082.1	WP_002557634.1
OG0000190	WP_160606405.1	WP_002557635.1
OG0000191	WP_233688497.1	WP_002557636.1
OG0000192	WP_011206345.1	WP_002557638.1
OG0000193	WP_233688494.1	WP_002557641.1
OG0000194	WP_233688493.1	WP_002557642.1
OG0000195	WP_233688492.1	WP_002557646.1
OG0000196	WP_011206335.1	WP_002557647.1
OG0000197	WP_011206334.1	WP_002557648.1
OG0000198	WP_275092455.1	WP_002557650.1
OG0000199	WP_011206289.1	WP_002557667.1
OG0000200	WP_233688466.1	WP_002557668.1
OG0000201	WP_011206287.1	WP_002557669.1
OG0000202	WP_233688724.1	WP_002557674.1
OG0000203	WP_233688725.1	WP_002557676.1
OG0000204	WP_233688726.1	WP_002557677.1
OG0000205	WP_014579804.1	WP_002557679.1
OG0000206	WP_044284644.1	WP_002557680.1
OG0000207	WP_011206197.1	WP_002557681.1
OG0000208	WP_233688754.1	WP_002557682.1
OG0000209	WP_011206200.1	WP_002557684.1
OG0000210	WP_233688759.1	WP_002557689.1
OG0000211	WP_233688760.1	WP_002557691.1
OG0000212	WP_011206207.1	WP_002557692.1
OG0000213	WP_233688406.1	WP_002557693.1
OG0000214	WP_233688525.1	WP_002557703.1
OG0000215	WP_011206422.1	WP_002557706.1
OG0000216	WP_011206424.1	WP_002557707.1
OG0000217	WP_094521499.1	WP_002557708.1
OG0000218	WP_233688528.1	WP_002557709.1
OG0000219	WP_233688531.1	WP_002557713.1
OG0000220	WP_135619070.1	WP_002557714.1
OG0000221	WP_233688532.1	WP_002557715.1
OG0000222	WP_233688535.1	WP_002557719.1
OG0000223	WP_233688536.1	WP_039387687.1
OG0000224	WP_011206441.1	WP_002557721.1
OG0000225	WP_233688537.1	WP_039387689.1
OG0000226	WP_233688538.1	WP_002557724.1
OG0000227	WP_160600945.1	WP_002557725.1
OG0000228	WP_233688539.1	WP_002557726.1
OG0000229	WP_020835888.1	WP_039387691.1
OG0000230	WP_011206453.1	WP_002557729.1
OG0000231	WP_233688546.1	WP_002557731.1
OG0000232	WP_233688547.1	WP_039387697.1
OG0000233	WP_011206457.1	WP_002557733.1
OG0000234	WP_011206458.1	WP_002557734.1
OG0000235	WP_011206459.1	WP_002557735.1
OG0000236	WP_233688549.1	WP_002557737.1
OG0000237	WP_011206469.1	WP_002557739.1
OG0000238	WP_011206468.1	WP_002557740.1
OG0000239	WP_146379742.1	WP_002557741.1
OG0000240	WP_233688552.1	WP_002557742.1
OG0000241	WP_011206465.1	WP_002557743.1
OG0000242	WP_233688553.1	WP_002557744.1
OG0000243	WP_011284051.1	WP_002557749.1
OG0000244	WP_135618718.1	WP_002557750.1
OG0000245	WP_011284053.1	WP_002557751.1
OG0000246	WP_233688720.1	WP_002557752.1
OG0000247	WP_011284055.1	WP_002557753.1
OG0000248	WP_233688721.1	WP_002557754.1
OG0000249	WP_011205932.1	WP_002557755.1
OG0000250	WP_233688438.1	WP_039387623.1
OG0000251	WP_011206256.1	WP_002557757.1
OG0000252	WP_233688435.1	WP_002557760.1
OG0000253	WP_011206251.1	WP_002557761.1
OG0000254	WP_011284001.1	WP_002557763.1
OG0000255	WP_011283999.1	WP_002557766.1
OG0000256	WP_233688692.1	WP_002557767.1
OG0000257	WP_011283923.1	WP_002557768.1
OG0000258	WP_011283924.1	WP_002557769.1
OG0000259	WP_011206093.1	WP_039387630.1
OG0000260	WP_020835572.1	WP_002557773.1
OG0000261	WP_014579648.1	WP_002557774.1
OG0000262	WP_041361572.1	WP_002557775.1
OG0000263	WP_011283930.1	WP_002557778.1
OG0000264	WP_011206086.1	WP_002557779.1
OG0000265	WP_160600868.1	WP_002557780.1
OG0000266	WP_233688647.1	WP_002557781.1
OG0000267	WP_233688648.1	WP_002557782.1
OG0000268	WP_011283934.1	WP_002557783.1
OG0000269	WP_011290034.1	WP_002557784.1
OG0000270	WP_135618573.1	WP_002557785.1
OG0000271	WP_233688650.1	WP_002557786.1
OG0000272	WP_233688653.1	WP_002557791.1
OG0000273	WP_233688654.1	WP_002557792.1
OG0000274	WP_014579633.1	WP_002557793.1
OG0000275	WP_233688655.1	WP_002557794.1
OG0000276	WP_233688656.1	WP_002557796.1
OG0000277	WP_233688657.1	WP_002557797.1
OG0000278	WP_135618589.1	WP_002557798.1
OG0000279	WP_011283949.1	WP_002557799.1
OG0000280	WP_011283950.1	WP_002557800.1
OG0000281	WP_011283951.1	WP_002557801.1
OG0000282	WP_011283952.1	WP_002557802.1
OG0000283	WP_011206061.1	WP_002557803.1
OG0000284	WP_011206054.1	WP_002557810.1
OG0000285	WP_233688662.1	WP_002557811.1
OG0000286	WP_233688663.1	WP_002557813.1
OG0000287	WP_011206049.1	WP_002557814.1
OG0000288	WP_011206048.1	WP_002557815.1
OG0000289	WP_011283963.1	WP_002557816.1
OG0000290	WP_011206047.1	WP_002557817.1
OG0000291	WP_233688664.1	WP_002557819.1
OG0000292	WP_011206044.1	WP_002557820.1
OG0000293	WP_233688666.1	WP_002557822.1
OG0000294	WP_020835591.1	WP_002557823.1
OG0000295	WP_011283968.1	WP_002557824.1
OG0000296	WP_011206039.1	WP_002557825.1
OG0000297	WP_011206038.1	WP_002557826.1
OG0000298	WP_041361589.1	WP_002557827.1
OG0000299	WP_233688667.1	WP_002557831.1
OG0000300	WP_011206032.1	WP_002557832.1
OG0000301	WP_011206031.1	WP_002557833.1
OG0000302	WP_233688668.1	WP_002557834.1
OG0000303	WP_011206028.1	WP_002557835.1
OG0000304	WP_014579605.1	WP_002557836.1
OG0000305	WP_014579604.1	WP_002557837.1
OG0000306	WP_011206025.1	WP_002557838.1
OG0000307	WP_011283976.1	WP_002557839.1
OG0000308	WP_014579601.1	WP_002557840.1
OG0000309	WP_233688672.1	WP_002557842.1
OG0000310	WP_233688673.1	WP_002557843.1
OG0000311	WP_011206014.1	WP_002557845.1
OG0000312	WP_233688674.1	WP_002557846.1
OG0000313	WP_044284822.1	WP_002557848.1
OG0000314	WP_020835610.1	WP_002557849.1
OG0000315	WP_233688676.1	WP_002557850.1
OG0000316	WP_011283989.1	WP_002557851.1
OG0000317	WP_233688687.1	WP_002557855.1
OG0000318	WP_233688688.1	WP_002557856.1
OG0000319	WP_011206005.1	WP_002557857.1
OG0000320	WP_233688689.1	WP_002557860.1
OG0000321	WP_233688690.1	WP_002557861.1
OG0000322	WP_020835619.1	WP_002557862.1
OG0000323	WP_011206399.1	WP_002557863.1
OG0000324	WP_011206400.1	WP_002557864.1
OG0000325	WP_014579953.1	WP_002557865.1
OG0000326	WP_011206402.1	WP_002557866.1
OG0000327	WP_233688513.1	WP_002557867.1
OG0000328	WP_011206404.1	WP_002557868.1
OG0000329	WP_160615603.1	WP_002557870.1
OG0000330	WP_146379707.1	WP_002557872.1
OG0000331	WP_233688514.1	WP_236681776.1
OG0000332	WP_050195463.1	WP_002557875.1
OG0000333	WP_179220985.1	WP_002557876.1
OG0000334	WP_233688602.1	WP_002557877.1
OG0000335	WP_233688603.1	WP_002557881.1
OG0000336	WP_233688605.1	WP_002557884.1
OG0000337	WP_011289957.1	WP_002557886.1
OG0000338	WP_233688608.1	WP_002557888.1
OG0000339	WP_011205880.1	WP_002557890.1
OG0000340	WP_014579544.1	WP_002557891.1
OG0000341	WP_160600661.1	WP_002557892.1
OG0000342	WP_011205883.1	WP_002557893.1
OG0000343	WP_233688610.1	WP_002557894.1
OG0000344	WP_044284571.1	WP_002557895.1
OG0000345	WP_020835510.1	WP_002557896.1
OG0000346	WP_044284572.1	WP_002557898.1
OG0000347	WP_011283865.1	WP_002557899.1
OG0000348	WP_233688611.1	WP_002557900.1
OG0000349	WP_233688612.1	WP_002557901.1
OG0000350	WP_160600671.1	WP_002557902.1
OG0000351	WP_160600673.1	WP_002557903.1
OG0000352	WP_233688613.1	WP_002557904.1
OG0000353	WP_011283871.1	WP_002557905.1
OG0000354	WP_233688614.1	WP_002557906.1
OG0000355	WP_233688615.1	WP_002557907.1
OG0000356	WP_050195448.1	WP_002557908.1
OG0000357	WP_135618505.1	WP_002557909.1
OG0000358	WP_233688617.1	WP_002557911.1
OG0000359	WP_233688618.1	WP_002557912.1
OG0000360	WP_011283879.1	WP_002557913.1
OG0000361	WP_233688619.1	WP_002557914.1
OG0000362	WP_233688620.1	WP_002557915.1
OG0000363	WP_014579569.1	WP_002557919.1
OG0000364	WP_011289987.1	WP_002557921.1
OG0000365	WP_011283885.1	WP_002557922.1
OG0000366	WP_011283887.1	WP_002557925.1
OG0000367	WP_233688622.1	WP_002557927.1
OG0000368	WP_160584747.1	WP_002557928.1
OG0000369	WP_011205923.1	WP_002557930.1
OG0000370	WP_233688623.1	WP_002557932.1
OG0000371	WP_011283894.1	WP_002557933.1
OG0000372	WP_179695952.1	WP_002557935.1
OG0000373	WP_179695953.1	WP_002557936.1
OG0000374	WP_233688570.1	WP_002557941.1
OG0000375	WP_233688568.1	WP_002557945.1
OG0000376	WP_233688567.1	WP_002557946.1
OG0000377	WP_011284373.1	WP_002557947.1
OG0000378	WP_011206502.1	WP_002557948.1
OG0000379	WP_233688566.1	WP_002557950.1
OG0000380	WP_233688565.1	WP_002557951.1
OG0000381	WP_011206497.1	WP_039387710.1
OG0000382	WP_011290421.1	WP_002557954.1
OG0000383	WP_233688563.1	WP_002557956.1
OG0000384	WP_233688561.1	WP_002557959.1
OG0000385	WP_011206490.1	WP_002557960.1
OG0000386	WP_011290416.1	WP_002557961.1
OG0000387	WP_233688560.1	WP_002557963.1
OG0000388	WP_011206486.1	WP_002557964.1
OG0000389	WP_044272663.1	WP_002557965.1
OG0000390	WP_011206484.1	WP_002557966.1
OG0000391	WP_011290413.1	WP_002557967.1
OG0000392	WP_233688559.1	WP_002557968.1
OG0000393	WP_334301383.1	WP_002557972.1
OG0000394	WP_011206297.1	WP_002557978.1
OG0000395	WP_233688472.1	WP_002557980.1
OG0000396	WP_233688473.1	WP_002557981.1
OG0000397	WP_011206303.1	WP_002557984.1
OG0000398	WP_014579908.1	WP_002558003.1
OG0000399	WP_011206320.1	WP_002558005.1
OG0000400	WP_044272553.1	WP_002558006.1
OG0000401	WP_233688482.1	WP_002558007.1
OG0000402	WP_233688481.1	WP_002558009.1
OG0000403	WP_011206315.1	WP_002558010.1
OG0000404	WP_233688479.1	WP_039387541.1
OG0000405	WP_011206311.1	WP_002558013.1
OG0000406	WP_233688477.1	WP_002558017.1
OG0000407	WP_233688476.1	WP_002558018.1
OG0000408	WP_011206306.1	WP_002558019.1
OG0000409	WP_233688606.1	WP_039387485.1
OG0000410	WP_011205878.1	WP_039387487.1
OG0000411	WP_041361533.1	WP_039387496.1
OG0000412	WP_011283891.1	WP_039387501.1
OG0000413	WP_014579576.1	WP_039387504.1
OG0000414	WP_146379484.1	WP_039387509.1
OG0000415	WP_011283978.1	WP_039387510.1
OG0000416	WP_233688505.1	WP_039387514.1
OG0000417	WP_044272560.1	WP_039387525.1
OG0000418	WP_233688489.1	WP_039387531.1
OG0000419	WP_233688487.1	WP_039387535.1
OG0000420	WP_160600978.1	WP_039387539.1
OG0000421	WP_233688471.1	WP_039387544.1
OG0000422	WP_011206293.1	WP_039387548.1
OG0000423	WP_011206141.1	WP_039387554.1
OG0000424	WP_233688758.1	WP_039387562.1
OG0000425	WP_233688407.1	WP_039387569.1
OG0000426	WP_014579818.1	WP_039387574.1
OG0000427	WP_233688419.1	WP_039387578.1
OG0000428	WP_233688411.1	WP_039387592.1
OG0000429	WP_233688408.1	WP_039387594.1
OG0000430	WP_233688431.1	WP_236681771.1
OG0000431	WP_233688446.1	WP_039387609.1
OG0000432	WP_011205969.1	WP_039387610.1
OG0000433	WP_233688709.1	WP_039387613.1
OG0000434	WP_233688718.1	WP_039387619.1
OG0000435	WP_011206250.1	WP_039387626.1
OG0000436	WP_011206094.1	WP_039387628.1
OG0000437	WP_233688651.1	WP_039387636.1
OG0000438	WP_011206076.1	WP_039387638.1
OG0000439	WP_011206069.1	WP_039387641.1
OG0000440	WP_233688658.1	WP_039387644.1
OG0000441	WP_044284742.1	WP_039387648.1
OG0000442	WP_014579622.1	WP_039387651.1
OG0000443	WP_011206016.1	WP_039387658.1
OG0000444	WP_011206405.1	WP_039387665.1
OG0000445	WP_011290372.1	WP_039387681.1
OG0000446	WP_011206433.1	WP_039387683.1
OG0000447	WP_160601134.1	WP_039387693.1
OG0000448	WP_233688545.1	WP_039387695.1
OG0000449	WP_011206488.1	WP_039387704.1
OG0000450	WP_233688562.1	WP_039387707.1
OG0000451	WP_011206506.1	WP_039387713.1
OG0000452	WP_011205931.1	WP_039387719.1
OG0000453	WP_011206520.1	WP_039387722.1
OG0000454	WP_011284394.1	WP_039387723.1
OG0000455	WP_011206317.1	WP_039387750.1
OG0000456	WP_146379588.1	WP_039387763.1
OG0000457	WP_233688442.1	WP_039387775.1
OG0000458	WP_011205973.1	WP_039387777.1
OG0000459	WP_233688437.1	WP_039387782.1
OG0000460	WP_233688646.1	WP_039387785.1
OG0000461	WP_011206435.1	WP_039387808.1
OG0000462	WP_233688564.1	WP_039387817.1
OG0000463	WP_233688706.1	WP_051054268.1
OG0000464	WP_233688639.1	WP_051054279.1
OG0000465	WP_014579611.1	WP_051054304.1
OG0000466	WP_232039558.1	WP_051054328.1
OG0000467	WP_233688574.1	WP_081605276.1
OG0000468	WP_011205955.1	WP_081605280.1
OG0000469	WP_160600882.1	WP_081605285.1
OG0000470	WP_233688501.1	WP_144245598.1
OG0000471	WP_094521522.1	WP_155897264.1
OG0000472	WP_011206218.1	WP_169742226.1
OG0000473	WP_160600884.1	WP_002557790.1
OG0000474	WP_233688496.1	WP_201771011.1
OG0000475	WP_233688626.1	WP_220189978.1
OG0000476	WP_233688755.1	WP_002557683.1
OG0000477	WP_011206227.1	WP_236681784.1
OG0000478	WP_233688708.1	WP_002557547.1
OG0000479	WP_011283917.1	WP_002557591.1
OG0000480	WP_011206194.1	WP_231237866.1
OG0000481	WP_232039529.1	WP_231237867.1
OG0000482	WP_011206427.1	WP_002557710.1
OG0000483	WP_233688529.1	WP_231237872.1
OG0000484	WP_233688609.1	WP_231237877.1
OG0000485	WP_225973008.1	WP_231237879.1
OG0000486	WP_233688616.1	WP_231237880.1
OG0000487	WP_094521719.1	WP_231237889.1
OG0000488	WP_233688524.1	WP_318023899.1
OG0000489	WP_233688761.1	WP_323749062.1
OG0000491	WP_011283834.1	WP_002557466.1
OG0000492	WP_233688587.1	WP_039387473.1
OG0000493	WP_135618444.1	WP_002557476.1
OG0000494	WP_160606487.1	WP_002557481.1
OG0000495	WP_233688577.1	WP_002557491.1
OG0000496	WP_011284186.1	WP_002557529.1
OG0000497	WP_011205962.1	WP_002557546.1
OG0000498	WP_233688710.1	WP_002557550.1
OG0000499	WP_160607802.1	WP_002557556.1
OG0000500	WP_233688633.1	WP_002557572.1
OG0000501	WP_011206114.1	WP_002557584.1
OG0000502	WP_233688644.1	WP_002557592.1
OG0000503	WP_228366107.1	WP_002557605.1
OG0000504	WP_011206375.1	WP_002557624.1
OG0000505	WP_011290314.1	WP_002557639.1
OG0000506	WP_014579921.1	WP_002557640.1
OG0000507	WP_011284249.1	WP_002557649.1
OG0000508	WP_233688463.1	WP_002557673.1
OG0000509	WP_233688527.1	WP_002557705.1
OG0000510	WP_233688533.1	WP_002557717.1
OG0000512	WP_233688436.1	WP_002557759.1
OG0000513	WP_011283957.1	WP_002557809.1
OG0000514	WP_146379519.1	WP_002557812.1
OG0000515	WP_233688665.1	WP_002557821.1
OG0000516	WP_011206036.1	WP_002557828.1
OG0000517	WP_044284771.1	WP_002557920.1
OG0000518	WP_160606509.1	WP_002557923.1
OG0000519	WP_011289989.1	WP_002557926.1
OG0000520	WP_233688624.1	WP_002557934.1
OG0000521	WP_016340205.1, WP_233688728.1	WP_002557940.1, WP_051054325.1
OG0000522	WP_233688557.1	WP_002557970.1
OG0000523	WP_020835904.1	WP_002557971.1
OG0000524	WP_014579890.1	WP_002557982.1
OG0000525	WP_160585006.1	WP_002557985.1
OG0000526	WP_011206310.1	WP_002558014.1
OG0000527	WP_011206309.1	WP_002558016.1
OG0000528	WP_011205922.1	WP_039387498.1
OG0000529	WP_233688488.1	WP_039387533.1
OG0000530	WP_014579812.1	WP_039387564.1
OG0000531	WP_011284377.1	WP_039387714.1
OG0000532	WP_233688569.1	WP_039387715.1
OG0000533	WP_020835622.1	WP_201771017.1
OG0000534	WP_011206004.1	WP_039387661.1
OG0000535	WP_233688503.1	WP_039387516.1
OG0000536	WP_160585249.1	WP_236681773.1
OG0000537	WP_233688642.1	WP_002557588.1
OG0000538	WP_160588366.1	WP_002557696.1
OG0000539	WP_233688660.1	WP_002557806.1
OG0000542	WP_233688576.1	WP_002557493.1
OG0000543	WP_011206110.1	WP_002557841.1
OG0000545	WP_011290141.1	WP_002557598.1
OG0000548	WP_233688483.1	WP_002558004.1
OG0000549	WP_233688770.1	WP_318023896.1
OG0000550	WP_233688413.1	WP_002557449.1
OG0000555	WP_014579752.1	WP_002557880.1
OG0000556	WP_011206170.1	WP_039387482.1
OG0000563	WP_020835684.1	WP_002557879.1
OG0000605	WP_233688422.1	WP_002557987.1
OG0000619	WP_002557988.1	WP_002557988.1
OG0000620	WP_233688426.1	WP_002557994.1
OG0000624	WP_233688515.1	WP_002557700.1
OG0000626	WP_044272591.1	WP_051054290.1
OG0000631	WP_233688421.1	WP_039387598.1
OG0000638	WP_233688723.1	WP_002557939.1
