Orthogroup	MHP_LH_protein	MHP_MHP679_protein
OG0000052	WP_233688464.1	WP_160590321.1
OG0000053	WP_094521497.1	WP_160585654.1
OG0000054	WP_233688526.1	WP_160585651.1
OG0000055	WP_233688530.1	WP_160590193.1
OG0000056	WP_233688548.1	WP_160585219.1
OG0000057	WP_233688645.1	WP_011290028.1
OG0000058	WP_233688659.1	WP_160590415.1
OG0000059	WP_233688661.1	WP_308704709.1
OG0000060	WP_011206046.1	WP_011290055.1
OG0000061	WP_011206035.1	WP_011206035.1
OG0000062	WP_233688675.1	WP_146379532.1
OG0000063	WP_014579535.1	WP_160585552.1
OG0000064	WP_233688604.1	WP_160589978.1
OG0000065	WP_014579568.1	WP_135618517.1
OG0000066	WP_233688625.1	WP_160590009.1
OG0000067	WP_011206493.1	WP_011206493.1
OG0000068	WP_233688558.1	WP_258555679.1
OG0000069	WP_020835790.1	WP_020835790.1
OG0000070	WP_233688475.1	WP_020835797.1
OG0000071	WP_233688499.1	WP_160590147.1
OG0000072	WP_233688554.1	WP_160590454.1
OG0000073	WP_233688480.1	WP_179695988.1
OG0000074	WP_233688511.1	WP_020835847.1
OG0000076	WP_233688649.1	WP_308704713.1
OG0000077	WP_233688621.1	WP_160590000.1
OG0000078	WP_233688556.1	WP_308704702.1
OG0000079	WP_233688409.1	WP_220200751.1
OG0000080	WP_233688410.1	WP_160590040.1
OG0000081	WP_011206216.1	WP_160590043.1
OG0000082	WP_233688412.1	WP_160590046.1
OG0000083	WP_233688414.1	WP_011206221.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_011206224.1	WP_146379594.1
OG0000086	WP_233688416.1	WP_160590052.1
OG0000087	WP_233688417.1	WP_220200603.1
OG0000088	WP_011206228.1	WP_020835732.1
OG0000089	WP_044272480.1	WP_160590058.1
OG0000090	WP_011206231.1	WP_011206231.1
OG0000091	WP_011283836.1	WP_160590168.1
OG0000092	WP_233688592.1	WP_094521535.1
OG0000093	WP_233688591.1	WP_160590170.1
OG0000094	WP_233688590.1	WP_160584849.1
OG0000095	WP_233688589.1	WP_160584852.1
OG0000096	WP_160588116.1	WP_160584854.1
OG0000097	WP_011205847.1	WP_011205847.1
OG0000098	WP_020835484.1	WP_020835484.1
OG0000099	WP_233688588.1	WP_014579519.1
OG0000100	WP_233688586.1	WP_044272256.1
OG0000101	WP_233688585.1	WP_160590172.1
OG0000102	WP_044272251.1	WP_044272251.1
OG0000103	WP_011206529.1	WP_011206529.1
OG0000104	WP_233688584.1	WP_160585758.1
OG0000105	WP_233688583.1	WP_146379771.1
OG0000106	WP_233688582.1	WP_160590174.1
OG0000107	WP_233688581.1	WP_146379769.1
OG0000108	WP_094521530.1	WP_094521530.1
OG0000109	WP_233688580.1	WP_041361715.1
OG0000110	WP_233688579.1	WP_011290440.1
OG0000111	WP_011206510.1	WP_011206510.1
OG0000112	WP_233688736.1	WP_135619192.1
OG0000113	WP_233688737.1	WP_135618779.1
OG0000114	WP_233688738.1	WP_160590230.1
OG0000115	WP_233688430.1	WP_160590311.1
OG0000116	WP_011206239.1	WP_011206239.1
OG0000117	WP_011284163.1	WP_146379628.1
OG0000118	WP_135618882.1	WP_160588282.1
OG0000119	WP_233688432.1	WP_014579831.1
OG0000120	WP_135618884.1	WP_146379631.1
OG0000121	WP_011284169.1	WP_011284169.1
OG0000122	WP_011206247.1	WP_192894278.1
OG0000123	WP_233688451.1	WP_146379648.1
OG0000124	WP_233688450.1	WP_258555712.1
OG0000125	WP_233688449.1	WP_160590440.1
OG0000126	WP_233688448.1	WP_258555585.1
OG0000127	WP_233688447.1	WP_160590444.1
OG0000128	WP_233688444.1	WP_160590507.1
OG0000129	WP_233688443.1	WP_258555347.1
OG0000130	WP_011206264.1	WP_011290245.1
OG0000131	WP_233688701.1	WP_011290102.1
OG0000132	WP_233688702.1	WP_160590505.1
OG0000133	WP_233688703.1	WP_160590503.1
OG0000134	WP_233688704.1	WP_160590299.1
OG0000135	WP_233688705.1	WP_160590297.1
OG0000136	WP_233688707.1	WP_179696056.1
OG0000137	WP_179696055.1	WP_135618686.1
OG0000138	WP_011205966.1	WP_160588241.1
OG0000139	WP_011205965.1	WP_160588243.1
OG0000140	WP_160600844.1	WP_160590292.1
OG0000141	WP_044284614.1	WP_044284614.1
OG0000142	WP_011284032.1	WP_011284032.1
OG0000143	WP_011205958.1	WP_020835643.1
OG0000144	WP_011205956.1	WP_160590288.1
OG0000145	WP_233688711.1	WP_011205954.1
OG0000146	WP_011290118.1	WP_011205953.1
OG0000147	WP_011205952.1	WP_011205952.1
OG0000148	WP_011205950.1	WP_011290120.1
OG0000149	WP_233688712.1	WP_160590284.1
OG0000150	WP_011284040.1	WP_160590282.1
OG0000151	WP_233688713.1	WP_160590280.1
OG0000152	WP_233688714.1	WP_160590278.1
OG0000153	WP_014579732.1	WP_014579732.1
OG0000154	WP_233688715.1	WP_160590276.1
OG0000155	WP_011284046.1	WP_160590274.1
OG0000156	WP_233688716.1	WP_146379566.1
OG0000157	WP_233688717.1	WP_014579735.1
OG0000158	WP_233688719.1	WP_160590270.1
OG0000159	WP_334301384.1	WP_041361727.1
OG0000160	WP_233688634.1	WP_160590329.1
OG0000161	WP_014579589.1	WP_014579589.1
OG0000162	WP_233688635.1	WP_233688635.1
OG0000163	WP_011206121.1	WP_011206121.1
OG0000164	WP_011206120.1	WP_011206120.1
OG0000165	WP_233688636.1	WP_135618546.1
OG0000166	WP_233688637.1	WP_160590331.1
OG0000167	WP_233688638.1	WP_160590333.1
OG0000168	WP_011206113.1	WP_011206113.1
OG0000169	WP_233688643.1	WP_160590407.1
OG0000170	WP_011206106.1	WP_160584793.1
OG0000171	WP_179221023.1	WP_011206102.1
OG0000172	WP_011206101.1	WP_160584795.1
OG0000173	WP_011284290.1	WP_011290345.1
OG0000174	WP_011284289.1	WP_160587865.1
OG0000175	WP_233688510.1	WP_011284286.1
OG0000176	WP_233688509.1	WP_135619026.1
OG0000177	WP_233688508.1	WP_160590163.1
OG0000178	WP_233688507.1	WP_044272582.1
OG0000179	WP_233688506.1	WP_160590161.1
OG0000180	WP_011206385.1	WP_011206385.1
OG0000181	WP_233688504.1	WP_011206384.1
OG0000182	WP_135619016.1	WP_020835840.1
OG0000183	WP_233688502.1	WP_160587854.1
OG0000184	WP_011206379.1	WP_011290331.1
OG0000185	WP_011206378.1	WP_160590155.1
OG0000186	WP_135619008.1	WP_146379689.1
OG0000187	WP_135619006.1	WP_160590153.1
OG0000188	WP_233688500.1	WP_160590149.1
OG0000189	WP_179696082.1	WP_160590464.1
OG0000190	WP_160606405.1	WP_160590462.1
OG0000191	WP_233688497.1	WP_011206347.1
OG0000192	WP_011206345.1	WP_160587842.1
OG0000193	WP_233688494.1	WP_160585121.1
OG0000194	WP_233688493.1	WP_020835820.1
OG0000195	WP_233688492.1	WP_160590426.1
OG0000196	WP_011206335.1	WP_011206335.1
OG0000197	WP_011206334.1	WP_014579918.1
OG0000198	WP_275092455.1	WP_160590424.1
OG0000199	WP_011206289.1	WP_160590317.1
OG0000200	WP_233688466.1	WP_160590318.1
OG0000201	WP_011206287.1	WP_011206287.1
OG0000202	WP_233688724.1	WP_135618730.1
OG0000203	WP_233688725.1	WP_011290137.1
OG0000204	WP_233688726.1	WP_146379571.1
OG0000205	WP_014579804.1	WP_160585024.1
OG0000206	WP_044284644.1	WP_160585022.1
OG0000207	WP_011206197.1	WP_146379611.1
OG0000208	WP_233688754.1	WP_146379610.1
OG0000209	WP_011206200.1	WP_011206200.1
OG0000210	WP_233688759.1	WP_160590029.1
OG0000211	WP_233688760.1	WP_160590031.1
OG0000212	WP_011206207.1	WP_011206207.1
OG0000213	WP_233688406.1	WP_160585173.1
OG0000214	WP_233688525.1	WP_160590199.1
OG0000215	WP_011206422.1	WP_160590197.1
OG0000216	WP_011206424.1	WP_011206424.1
OG0000217	WP_094521499.1	WP_160585649.1
OG0000218	WP_233688528.1	WP_160590195.1
OG0000219	WP_233688531.1	WP_160590191.1
OG0000220	WP_135619070.1	WP_135619070.1
OG0000221	WP_233688532.1	WP_160590189.1
OG0000222	WP_233688535.1	WP_160590187.1
OG0000223	WP_233688536.1	WP_160585273.1
OG0000224	WP_011206441.1	WP_044272620.1
OG0000225	WP_233688537.1	WP_160590185.1
OG0000226	WP_233688538.1	WP_160590183.1
OG0000227	WP_160600945.1	WP_160590181.1
OG0000228	WP_233688539.1	WP_160590179.1
OG0000229	WP_020835888.1	WP_160590523.1
OG0000230	WP_011206453.1	WP_011206453.1
OG0000231	WP_233688546.1	WP_160590340.1
OG0000232	WP_233688547.1	WP_160590342.1
OG0000233	WP_011206457.1	WP_011206457.1
OG0000234	WP_011206458.1	WP_011206458.1
OG0000235	WP_011206459.1	WP_011206459.1
OG0000236	WP_233688549.1	WP_160590344.1
OG0000237	WP_011206469.1	WP_011206469.1
OG0000238	WP_011206468.1	WP_011206468.1
OG0000239	WP_146379742.1	WP_160590352.1
OG0000240	WP_233688552.1	WP_160590350.1
OG0000241	WP_011206465.1	WP_020835897.1
OG0000242	WP_233688553.1	WP_160590452.1
OG0000243	WP_011284051.1	WP_146379568.1
OG0000244	WP_135618718.1	WP_160590268.1
OG0000245	WP_011284053.1	WP_011290131.1
OG0000246	WP_233688720.1	WP_160590266.1
OG0000247	WP_011284055.1	WP_011284055.1
OG0000248	WP_233688721.1	WP_011284056.1
OG0000249	WP_011205932.1	WP_011205932.1
OG0000250	WP_233688438.1	WP_160590301.1
OG0000251	WP_011206256.1	WP_011206256.1
OG0000252	WP_233688435.1	WP_258555694.1
OG0000253	WP_011206251.1	WP_135619204.1
OG0000254	WP_011284001.1	WP_011284001.1
OG0000255	WP_011283999.1	WP_011283999.1
OG0000256	WP_233688692.1	WP_160590375.1
OG0000257	WP_011283923.1	WP_160590430.1
OG0000258	WP_011283924.1	WP_011290024.1
OG0000259	WP_011206093.1	WP_011206093.1
OG0000260	WP_020835572.1	WP_160590432.1
OG0000261	WP_014579648.1	WP_179695841.1
OG0000262	WP_041361572.1	WP_041361572.1
OG0000263	WP_011283930.1	WP_011283930.1
OG0000264	WP_011206086.1	WP_011206086.1
OG0000265	WP_160600868.1	WP_020835574.1
OG0000266	WP_233688647.1	WP_020835575.1
OG0000267	WP_233688648.1	WP_020835576.1
OG0000268	WP_011283934.1	WP_011283934.1
OG0000269	WP_011290034.1	WP_011206080.1
OG0000270	WP_135618573.1	WP_160590497.1
OG0000271	WP_233688650.1	WP_146379504.1
OG0000272	WP_233688653.1	WP_160590491.1
OG0000273	WP_233688654.1	WP_011206072.1
OG0000274	WP_014579633.1	WP_308704708.1
OG0000275	WP_233688655.1	WP_160585610.1
OG0000276	WP_233688656.1	WP_135618585.1
OG0000277	WP_233688657.1	WP_135618587.1
OG0000278	WP_135618589.1	WP_011290044.1
OG0000279	WP_011283949.1	WP_011206065.1
OG0000280	WP_011283950.1	WP_011206064.1
OG0000281	WP_011283951.1	WP_094521594.1
OG0000282	WP_011283952.1	WP_160590413.1
OG0000283	WP_011206061.1	WP_011206061.1
OG0000284	WP_011206054.1	WP_011206054.1
OG0000285	WP_233688662.1	WP_011206052.1
OG0000286	WP_233688663.1	WP_011206050.1
OG0000287	WP_011206049.1	WP_011206049.1
OG0000288	WP_011206048.1	WP_011206048.1
OG0000289	WP_011283963.1	WP_011283963.1
OG0000290	WP_011206047.1	WP_011206047.1
OG0000291	WP_233688664.1	WP_160590389.1
OG0000292	WP_011206044.1	WP_011206044.1
OG0000293	WP_233688666.1	WP_011290058.1
OG0000294	WP_020835591.1	WP_011206041.1
OG0000295	WP_011283968.1	WP_160590391.1
OG0000296	WP_011206039.1	WP_011206039.1
OG0000297	WP_011206038.1	WP_011206038.1
OG0000298	WP_041361589.1	WP_041361589.1
OG0000299	WP_233688667.1	WP_160590395.1
OG0000300	WP_011206032.1	WP_011206032.1
OG0000301	WP_011206031.1	WP_011206031.1
OG0000302	WP_233688668.1	WP_094521599.1
OG0000303	WP_011206028.1	WP_011206028.1
OG0000304	WP_014579605.1	WP_160585185.1
OG0000305	WP_014579604.1	WP_094521600.1
OG0000306	WP_011206025.1	WP_011206025.1
OG0000307	WP_011283976.1	WP_160590397.1
OG0000308	WP_014579601.1	WP_014579601.1
OG0000309	WP_233688672.1	WP_011290071.1
OG0000310	WP_233688673.1	WP_160590251.1
OG0000311	WP_011206014.1	WP_011206014.1
OG0000312	WP_233688674.1	WP_160590253.1
OG0000313	WP_044284822.1	WP_160590255.1
OG0000314	WP_020835610.1	WP_160584678.1
OG0000315	WP_233688676.1	WP_011290078.1
OG0000316	WP_011283989.1	WP_011283989.1
OG0000317	WP_233688687.1	WP_160590257.1
OG0000318	WP_233688688.1	WP_011283991.1
OG0000319	WP_011206005.1	WP_011206005.1
OG0000320	WP_233688689.1	WP_160590259.1
OG0000321	WP_233688690.1	WP_160590261.1
OG0000322	WP_020835619.1	WP_160590263.1
OG0000323	WP_011206399.1	WP_146379700.1
OG0000324	WP_011206400.1	WP_020835851.1
OG0000325	WP_014579953.1	WP_160585229.1
OG0000326	WP_011206402.1	WP_044272588.1
OG0000327	WP_233688513.1	WP_146379702.1
OG0000328	WP_011206404.1	WP_146379703.1
OG0000329	WP_160615603.1	WP_011206406.1
OG0000330	WP_146379707.1	WP_135619044.1
OG0000331	WP_233688514.1	WP_135619046.1
OG0000332	WP_050195463.1	WP_258555717.1
OG0000333	WP_179220985.1	WP_258555718.1
OG0000334	WP_233688602.1	WP_308704696.1
OG0000335	WP_233688603.1	WP_243215933.1
OG0000336	WP_233688605.1	WP_146379459.1
OG0000337	WP_011289957.1	WP_011289957.1
OG0000338	WP_233688608.1	WP_044272282.1
OG0000339	WP_011205880.1	WP_011205880.1
OG0000340	WP_014579544.1	WP_146379462.1
OG0000341	WP_160600661.1	WP_146379463.1
OG0000342	WP_011205883.1	WP_011205883.1
OG0000343	WP_233688610.1	WP_160589983.1
OG0000344	WP_044284571.1	WP_044284571.1
OG0000345	WP_020835510.1	WP_160589986.1
OG0000346	WP_044284572.1	WP_014579550.1
OG0000347	WP_011283865.1	WP_011205889.1
OG0000348	WP_233688611.1	WP_094521758.1
OG0000349	WP_233688612.1	WP_135618497.1
OG0000350	WP_160600671.1	WP_014579553.1
OG0000351	WP_160600673.1	WP_146379468.1
OG0000352	WP_233688613.1	WP_011289973.1
OG0000353	WP_011283871.1	WP_011289974.1
OG0000354	WP_233688614.1	WP_020835518.1
OG0000355	WP_233688615.1	WP_011205897.1
OG0000356	WP_050195448.1	WP_011289977.1
OG0000357	WP_135618505.1	WP_135618505.1
OG0000358	WP_233688617.1	WP_020835520.1
OG0000359	WP_233688618.1	WP_160584763.1
OG0000360	WP_011283879.1	WP_011289982.1
OG0000361	WP_233688619.1	WP_160589995.1
OG0000362	WP_233688620.1	WP_160589998.1
OG0000363	WP_014579569.1	WP_135618519.1
OG0000364	WP_011289987.1	WP_160584756.1
OG0000365	WP_011283885.1	WP_160590002.1
OG0000366	WP_011283887.1	WP_011283887.1
OG0000367	WP_233688622.1	WP_044284579.1
OG0000368	WP_160584747.1	WP_160584747.1
OG0000369	WP_011205923.1	WP_011205923.1
OG0000370	WP_233688623.1	WP_146379477.1
OG0000371	WP_011283894.1	WP_146379478.1
OG0000372	WP_179695952.1	WP_160590007.1
OG0000373	WP_179695953.1	WP_011206134.1
OG0000374	WP_233688570.1	WP_160590360.1
OG0000375	WP_233688568.1	WP_160590356.1
OG0000376	WP_233688567.1	WP_160590354.1
OG0000377	WP_011284373.1	WP_146379758.1
OG0000378	WP_011206502.1	WP_011206502.1
OG0000379	WP_233688566.1	WP_220191147.1
OG0000380	WP_233688565.1	WP_160590207.1
OG0000381	WP_011206497.1	WP_228366117.1
OG0000382	WP_011290421.1	WP_011290421.1
OG0000383	WP_233688563.1	WP_011206494.1
OG0000384	WP_233688561.1	WP_011290418.1
OG0000385	WP_011206490.1	WP_011206490.1
OG0000386	WP_011290416.1	WP_011290416.1
OG0000387	WP_233688560.1	WP_011206487.1
OG0000388	WP_011206486.1	WP_160590212.1
OG0000389	WP_044272663.1	WP_160590214.1
OG0000390	WP_011206484.1	WP_160590216.1
OG0000391	WP_011290413.1	WP_160584909.1
OG0000392	WP_233688559.1	WP_160590218.1
OG0000393	WP_334301383.1	WP_146379652.1
OG0000394	WP_011206297.1	WP_160590143.1
OG0000395	WP_233688472.1	WP_011206299.1
OG0000396	WP_233688473.1	WP_160590139.1
OG0000397	WP_011206303.1	WP_044272549.1
OG0000398	WP_014579908.1	WP_160590123.1
OG0000399	WP_011206320.1	WP_011206320.1
OG0000400	WP_044272553.1	WP_160590127.1
OG0000401	WP_233688482.1	WP_160590129.1
OG0000402	WP_233688481.1	WP_160590133.1
OG0000403	WP_011206315.1	WP_160590135.1
OG0000404	WP_233688479.1	WP_220200762.1
OG0000405	WP_011206311.1	WP_011284228.1
OG0000406	WP_233688477.1	WP_011284227.1
OG0000407	WP_233688476.1	WP_041361673.1
OG0000408	WP_011206306.1	WP_011284225.1
OG0000409	WP_233688606.1	WP_160589980.1
OG0000410	WP_011205878.1	WP_011205878.1
OG0000411	WP_041361533.1	WP_041361533.1
OG0000412	WP_011283891.1	WP_160590003.1
OG0000413	WP_014579576.1	WP_011205925.1
OG0000414	WP_146379484.1	WP_011206118.1
OG0000415	WP_011283978.1	WP_011283978.1
OG0000416	WP_233688505.1	WP_160590159.1
OG0000417	WP_044272560.1	WP_160590460.1
OG0000418	WP_233688489.1	WP_160590113.1
OG0000419	WP_233688487.1	WP_160590117.1
OG0000420	WP_160600978.1	WP_160590137.1
OG0000421	WP_233688471.1	WP_160590141.1
OG0000422	WP_011206293.1	WP_011206293.1
OG0000423	WP_011206141.1	WP_011206141.1
OG0000424	WP_233688758.1	WP_160590026.1
OG0000425	WP_233688407.1	WP_160585171.1
OG0000426	WP_014579818.1	WP_160590036.1
OG0000427	WP_233688419.1	WP_146379589.1
OG0000428	WP_233688411.1	WP_014579824.1
OG0000429	WP_233688408.1	WP_220190711.1
OG0000430	WP_233688431.1	WP_308704706.1
OG0000431	WP_233688446.1	WP_160590446.1
OG0000432	WP_011205969.1	WP_011205969.1
OG0000433	WP_233688709.1	WP_020835642.1
OG0000434	WP_233688718.1	WP_160590272.1
OG0000435	WP_011206250.1	WP_094521693.1
OG0000436	WP_011206094.1	WP_011206094.1
OG0000437	WP_233688651.1	WP_160590495.1
OG0000438	WP_011206076.1	WP_160590493.1
OG0000439	WP_011206069.1	WP_011206069.1
OG0000440	WP_233688658.1	WP_041361583.1
OG0000441	WP_044284742.1	WP_011206056.1
OG0000442	WP_014579622.1	WP_014579622.1
OG0000443	WP_011206016.1	WP_011206016.1
OG0000444	WP_011206405.1	WP_146379704.1
OG0000445	WP_011290372.1	WP_011290372.1
OG0000446	WP_011206433.1	WP_011206433.1
OG0000447	WP_160601134.1	WP_160590521.1
OG0000448	WP_233688545.1	WP_160590338.1
OG0000449	WP_011206488.1	WP_011206488.1
OG0000450	WP_233688562.1	WP_041361708.1
OG0000451	WP_011206506.1	WP_160588156.1
OG0000452	WP_011205931.1	WP_011205931.1
OG0000453	WP_011206520.1	WP_011290441.1
OG0000454	WP_011284394.1	WP_011284394.1
OG0000455	WP_011206317.1	WP_160590131.1
OG0000456	WP_146379588.1	WP_160590061.1
OG0000457	WP_233688442.1	WP_160590509.1
OG0000458	WP_011205973.1	WP_011205973.1
OG0000459	WP_233688437.1	WP_160590303.1
OG0000460	WP_233688646.1	WP_094521586.1
OG0000461	WP_011206435.1	WP_011206435.1
OG0000462	WP_233688564.1	WP_160590209.1
OG0000463	WP_233688706.1	WP_160590295.1
OG0000464	WP_233688639.1	WP_160590335.1
OG0000465	WP_014579611.1	WP_160590393.1
OG0000466	WP_232039558.1	WP_232039558.1
OG0000467	WP_233688574.1	WP_160590364.1
OG0000468	WP_011205955.1	WP_011205955.1
OG0000469	WP_160600882.1	WP_240536364.1
OG0000470	WP_233688501.1	WP_020835837.1
OG0000471	WP_094521522.1	WP_094521522.1
OG0000472	WP_011206218.1	WP_011206218.1
OG0000473	WP_160600884.1	WP_308704712.1
OG0000474	WP_233688496.1	WP_160590468.1
OG0000475	WP_233688626.1	WP_308704698.1
OG0000476	WP_233688755.1	WP_160590018.1
OG0000477	WP_011206227.1	WP_160590070.1
OG0000478	WP_233688708.1	WP_160590290.1
OG0000479	WP_011283917.1	WP_308507047.1
OG0000480	WP_011206194.1	WP_011206194.1
OG0000481	WP_232039529.1	WP_308704699.1
OG0000482	WP_011206427.1	WP_228366113.1
OG0000483	WP_233688529.1	WP_160588052.1
OG0000484	WP_233688609.1	WP_225973007.1
OG0000485	WP_225973008.1	WP_225973008.1
OG0000486	WP_233688616.1	WP_160589992.1
OG0000487	WP_094521719.1	WP_011290282.1
OG0000488	WP_233688524.1	WP_160590201.1
OG0000489	WP_233688761.1	WP_308704679.1
OG0000491	WP_011283834.1	WP_011283834.1
OG0000492	WP_233688587.1	WP_160588112.1
OG0000493	WP_135618444.1	WP_044272260.1
OG0000494	WP_160606487.1	WP_146379773.1
OG0000496	WP_011284186.1	WP_146379640.1
OG0000497	WP_011205962.1	WP_011205962.1
OG0000498	WP_233688710.1	WP_146379558.1
OG0000499	WP_160607802.1	WP_160590286.1
OG0000500	WP_233688633.1	WP_160590327.1
OG0000501	WP_011206114.1	WP_160585737.1
OG0000502	WP_233688644.1	WP_160590403.1
OG0000504	WP_011206375.1	WP_160590151.1
OG0000505	WP_011290314.1	WP_011290314.1
OG0000506	WP_014579921.1	WP_160590539.1
OG0000507	WP_011284249.1	WP_011206333.1
OG0000508	WP_233688463.1	WP_160585153.1
OG0000509	WP_233688527.1	WP_220200770.1
OG0000510	WP_233688533.1	WP_220200769.1
OG0000511	WP_233688683.1	WP_258555660.1
OG0000512	WP_233688436.1	WP_160590305.1
OG0000513	WP_011283957.1	WP_146379514.1
OG0000514	WP_146379519.1	WP_011290053.1
OG0000515	WP_233688665.1	WP_160585191.1
OG0000516	WP_011206036.1	WP_011206036.1
OG0000517	WP_044284771.1	WP_011289986.1
OG0000518	WP_160606509.1	WP_011205913.1
OG0000519	WP_011289989.1	WP_020835528.1
OG0000520	WP_233688624.1	WP_160590005.1
OG0000521	WP_016340205.1, WP_233688728.1	WP_160590247.1
OG0000522	WP_233688557.1	WP_160590222.1
OG0000523	WP_020835904.1	WP_160590224.1
OG0000524	WP_014579890.1	WP_014579890.1
OG0000525	WP_160585006.1	WP_160585006.1
OG0000526	WP_011206310.1	WP_011206310.1
OG0000527	WP_011206309.1	WP_011206309.1
OG0000528	WP_011205922.1	WP_011205922.1
OG0000529	WP_233688488.1	WP_160590115.1
OG0000530	WP_014579812.1	WP_011290194.1
OG0000531	WP_011284377.1	WP_041361711.1
OG0000532	WP_233688569.1	WP_160590358.1
OG0000533	WP_020835622.1	WP_160590377.1
OG0000534	WP_011206004.1	WP_020835615.1
OG0000535	WP_233688503.1	WP_160590157.1
OG0000536	WP_160585249.1	WP_160585249.1
OG0000539	WP_233688660.1	WP_011283955.1
OG0000540	WP_233688555.1	WP_160590456.1
OG0000541	WP_179695838.1	WP_160590097.1
OG0000542	WP_233688576.1	WP_160590368.1
OG0000543	WP_011206110.1	WP_160584784.1
OG0000544	WP_233688551.1	WP_160590348.1
OG0000545	WP_011290141.1	WP_160590479.1
OG0000547	WP_167513696.1	WP_220191275.1
OG0000548	WP_233688483.1	WP_160590125.1
OG0000552	WP_011290175.1	WP_160590087.1
OG0000553	WP_233688445.1	WP_258555725.1, WP_258555726.1
OG0000554	WP_233688749.1	WP_258555664.1
OG0000558	WP_233688452.1	WP_160590436.1
OG0000559	WP_233688491.1	WP_160590422.1
OG0000560	WP_179696083.1	WP_258555239.1
OG0000564	WP_233688682.1	WP_011290233.1
OG0000565	WP_233688595.1	WP_160590470.1
OG0000566	WP_233688596.1	WP_160590473.1
OG0000567	WP_233688697.1	WP_160590387.1
OG0000568	WP_011205983.1	WP_011205983.1
OG0000569	WP_233688696.1	WP_308704707.1
OG0000570	WP_044284610.1	WP_011205986.1
OG0000571	WP_233688695.1	WP_160590385.1
OG0000572	WP_160585559.1	WP_160590383.1
OG0000573	WP_014579699.1	WP_160590381.1
OG0000574	WP_233688693.1	WP_146379542.1
OG0000575	WP_011206015.1	WP_011290073.1
OG0000576	WP_160585617.1	WP_160590428.1
OG0000577	WP_011206153.1	WP_011290145.1
OG0000578	WP_233688731.1	WP_160590243.1
OG0000579	WP_233688732.1	WP_160590241.1
OG0000580	WP_011290150.1	WP_160590236.1
OG0000581	WP_014579759.1	WP_160590232.1
OG0000582	WP_011206161.1	WP_014579758.1
OG0000583	WP_011284098.1	WP_160590085.1
OG0000584	WP_011284100.1	WP_011284100.1
OG0000585	WP_146379618.1	WP_160585755.1
OG0000586	WP_233688748.1	WP_308704700.1
OG0000587	WP_179221114.1	WP_160590099.1
OG0000588	WP_135618818.1	WP_011290180.1
OG0000589	WP_160606463.1	WP_146379612.1
OG0000590	WP_233688429.1	WP_160585200.1
OG0000591	WP_233688490.1	WP_258555672.1
OG0000592	WP_179696078.1	WP_160585259.1
OG0000593	WP_011206475.1	WP_020835902.1
OG0000594	WP_233688572.1	WP_160590362.1
