Orthogroup	MFC_MF30_protein	MHP_F72C_protein
OG0000234	WP_002557734.1	WP_011206458.1
OG0000235	WP_002557735.1	WP_011206459.1
OG0000236	WP_160605550.1	WP_146379736.1
OG0000237	WP_002557739.1	WP_011206469.1
OG0000238	WP_160605633.1	WP_146379743.1
OG0000239	WP_160605635.1	WP_146379742.1
OG0000240	WP_002557742.1	WP_146379741.1
OG0000241	WP_002557743.1	WP_146379740.1
OG0000242	WP_160605609.1	WP_146379744.1
OG0000243	WP_002557749.1	WP_146379568.1
OG0000244	WP_160603234.1	WP_020835656.1
OG0000245	WP_002557751.1	WP_011290131.1
OG0000246	WP_160603232.1	WP_020835657.1
OG0000247	WP_002557753.1	WP_011284055.1
OG0000248	WP_002557754.1	WP_011284056.1
OG0000249	WP_002557755.1	WP_011205932.1
OG0000250	WP_160605456.1	WP_146379638.1
OG0000251	WP_160605458.1	WP_146379637.1
OG0000252	WP_002557760.1	WP_225972976.1
OG0000253	WP_255454511.1	WP_146379633.1
OG0000254	WP_160605464.1	WP_146379779.1
OG0000255	WP_002557766.1	WP_094521610.1
OG0000256	WP_160583987.1	WP_146379540.1
OG0000257	WP_002557768.1	WP_011290023.1
OG0000258	WP_002557769.1	WP_094521583.1
OG0000259	WP_039387630.1	WP_011206093.1
OG0000260	WP_002557773.1	WP_020835572.1
OG0000261	WP_160581303.1	WP_179695841.1
OG0000262	WP_160605466.1	WP_041361572.1
OG0000263	WP_160605468.1	WP_011283930.1
OG0000264	WP_002557779.1	WP_011206086.1
OG0000265	WP_002557780.1	WP_146379500.1
OG0000266	WP_002557781.1	WP_146379501.1
OG0000267	WP_002557782.1	WP_020835576.1
OG0000268	WP_160605470.1	WP_011283934.1
OG0000269	WP_002557784.1	WP_146379503.1
OG0000270	WP_160605472.1	WP_135618573.1
OG0000271	WP_160581307.1	WP_146379504.1
OG0000272	WP_160605476.1	WP_146379507.1
OG0000273	WP_160583979.1	WP_011206072.1
OG0000274	WP_160605479.1	WP_146379508.1
OG0000275	WP_002557794.1	WP_146379509.1
OG0000276	WP_002557796.1	WP_146379510.1
OG0000277	WP_160581357.1	WP_146379511.1
OG0000278	WP_002557798.1	WP_135618589.1
OG0000279	WP_002557799.1	WP_044277967.1
OG0000280	WP_002557800.1	WP_011206064.1
OG0000281	WP_002557801.1	WP_094521594.1
OG0000282	WP_002557802.1	WP_011290046.1
OG0000283	WP_002557803.1	WP_011206061.1
OG0000284	WP_160581348.1	WP_011206054.1
OG0000285	WP_160581347.1	WP_146379515.1
OG0000286	WP_002557813.1	WP_011290054.1
OG0000287	WP_002557814.1	WP_011206049.1
OG0000288	WP_002557815.1	WP_011206048.1
OG0000289	WP_002557816.1	WP_011283963.1
OG0000290	WP_002557817.1	WP_011206047.1
OG0000291	WP_160581343.1	WP_014579616.1
OG0000292	WP_160605481.1	WP_146379520.1
OG0000293	WP_160605485.1	WP_011290058.1
OG0000294	WP_160603160.1	WP_011206041.1
OG0000295	WP_002557824.1	WP_020835592.1
OG0000296	WP_002557825.1	WP_011206039.1
OG0000297	WP_002557826.1	WP_011206038.1
OG0000298	WP_002557827.1	WP_041361589.1
OG0000299	WP_002557831.1	WP_146379522.1
OG0000300	WP_002557832.1	WP_011206032.1
OG0000301	WP_002557833.1	WP_011290064.1
OG0000302	WP_002557834.1	WP_041361593.1
OG0000303	WP_002557835.1	WP_011206028.1
OG0000304	WP_002557836.1	WP_014579605.1
OG0000305	WP_002557837.1	WP_146379523.1
OG0000306	WP_002557838.1	WP_011206025.1
OG0000307	WP_002557839.1	WP_146379524.1
OG0000308	WP_002557840.1	WP_014579601.1
OG0000309	WP_160605487.1	WP_146379528.1
OG0000310	WP_160603164.1	WP_146379529.1
OG0000311	WP_002557845.1	WP_011206014.1
OG0000312	WP_160583871.1	WP_146379531.1
OG0000313	WP_002557848.1	WP_146379533.1
OG0000314	WP_002557849.1	WP_146379534.1
OG0000315	WP_002557850.1	WP_146379535.1
OG0000316	WP_160581215.1	WP_146379536.1
OG0000317	WP_160583882.1	WP_146379537.1
OG0000318	WP_160605501.1	WP_011206006.1
OG0000319	WP_002557857.1	WP_011206005.1
OG0000320	WP_002557860.1	WP_044272373.1
OG0000321	WP_160605495.1	WP_146379539.1
OG0000322	WP_160603176.1	WP_044272377.1
OG0000323	WP_160583887.1	WP_146379700.1
OG0000324	WP_002557864.1	WP_020835851.1
OG0000325	WP_160583891.1	WP_146379701.1
OG0000326	WP_002557866.1	WP_044272588.1
OG0000327	WP_002557867.1	WP_146379702.1
OG0000328	WP_002557868.1	WP_146379703.1
OG0000329	WP_002557870.1	WP_146379705.1
OG0000330	WP_002557872.1	WP_146379707.1
OG0000331	WP_002557873.1	WP_011284299.1
OG0000332	WP_002557875.1	WP_050195463.1
OG0000333	WP_002557876.1	WP_146379456.1
OG0000334	WP_160593344.1	WP_146379457.1
OG0000335	WP_002557881.1	WP_020835500.1
OG0000336	WP_160605572.1	WP_146379459.1
OG0000337	WP_002557886.1	WP_011289957.1
OG0000338	WP_160581057.1	WP_044272282.1
OG0000339	WP_002557890.1	WP_011205880.1
OG0000340	WP_002557891.1	WP_146379462.1
OG0000341	WP_002557892.1	WP_146379463.1
OG0000342	WP_160581051.1	WP_011205883.1
OG0000343	WP_160605282.1	WP_146379464.1
OG0000344	WP_002557895.1	WP_044284571.1
OG0000345	WP_160605284.1	WP_146379465.1
OG0000346	WP_002557898.1	WP_014579550.1
OG0000347	WP_002557899.1	WP_011205889.1
OG0000348	WP_160605286.1	WP_020835512.1
OG0000349	WP_002557901.1	WP_146379467.1
OG0000350	WP_160605288.1	WP_044284573.1
OG0000351	WP_002557903.1	WP_146379468.1
OG0000352	WP_002557904.1	WP_011289973.1
OG0000353	WP_160605290.1	WP_011289974.1
OG0000354	WP_220190747.1	WP_020835518.1
OG0000355	WP_160605292.1	WP_146379469.1
OG0000356	WP_160605294.1	WP_011289977.1
OG0000357	WP_160605296.1	WP_135618505.1
OG0000358	WP_160581036.1	WP_225973009.1
OG0000359	WP_002557912.1	WP_146379470.1
OG0000360	WP_160605298.1	WP_146379471.1
OG0000361	WP_160605300.1	WP_146379472.1
OG0000362	WP_160605302.1	WP_146379473.1
OG0000363	WP_002557919.1	WP_135618519.1
OG0000364	WP_002557921.1	WP_146379475.1
OG0000365	WP_002557922.1	WP_011283885.1
OG0000366	WP_160581017.1	WP_011283887.1
OG0000367	WP_002557927.1	WP_146379476.1
OG0000368	WP_002557928.1	WP_011205921.1
OG0000369	WP_002557930.1	WP_011205923.1
OG0000370	WP_160581015.1	WP_146379477.1
OG0000371	WP_160583705.1	WP_146379478.1
OG0000372	WP_002557935.1	WP_011206135.1
OG0000373	WP_160583703.1	WP_011206134.1
OG0000374	WP_160583788.1	WP_146379761.1
OG0000375	WP_160605574.1	WP_146379759.1
OG0000376	WP_002557946.1	WP_020835915.1
OG0000377	WP_002557947.1	WP_146379758.1
OG0000378	WP_002557948.1	WP_146379757.1
OG0000379	WP_160603142.1	WP_192894282.1
OG0000380	WP_160605591.1	WP_011290423.1
OG0000381	WP_039387710.1	WP_225973001.1
OG0000382	WP_002557954.1	WP_011290421.1
OG0000383	WP_160581382.1	WP_011206494.1
OG0000384	WP_002557959.1	WP_011290418.1
OG0000385	WP_002557960.1	WP_094521520.1
OG0000386	WP_002557961.1	WP_014580012.1
OG0000387	WP_160605595.1	WP_011206487.1
OG0000388	WP_160605597.1	WP_146379750.1
OG0000389	WP_002557965.1	WP_014580009.1
OG0000390	WP_002557966.1	WP_011206484.1
OG0000391	WP_002557967.1	WP_011290413.1
OG0000392	WP_160605599.1	WP_146379749.1
OG0000393	WP_160605389.1	WP_146379652.1
OG0000394	WP_160605383.1	WP_146379659.1
OG0000395	WP_002557980.1	WP_146379661.1
OG0000396	WP_160605379.1	WP_020835793.1
OG0000397	WP_160605377.1	WP_044272549.1
OG0000398	WP_160605363.1	WP_146379672.1
OG0000399	WP_002558005.1	WP_011206320.1
OG0000400	WP_002558006.1	WP_146379670.1
OG0000401	WP_002558007.1	WP_020835805.1
OG0000402	WP_160605367.1	WP_146379669.1
OG0000403	WP_160580958.1	WP_011206315.1
OG0000404	WP_160605369.1	WP_146379667.1
OG0000405	WP_160603085.1	WP_011284228.1
OG0000406	WP_160605373.1	WP_146379665.1
OG0000407	WP_160580964.1	WP_041361673.1
OG0000408	WP_160580966.1	WP_146379664.1
OG0000409	WP_160605278.1	WP_146379460.1
OG0000410	WP_039387487.1	WP_011205878.1
OG0000411	WP_039387496.1	WP_041361533.1
OG0000412	WP_039387501.1	WP_135618529.1
OG0000413	WP_039387504.1	WP_011205925.1
OG0000414	WP_160580856.1	WP_146379484.1
OG0000415	WP_160580864.1	WP_220190741.1
OG0000416	WP_160605330.1	WP_020835841.1
OG0000417	WP_160580924.1	WP_135618990.1
OG0000418	WP_220190751.1	WP_146379676.1
OG0000419	WP_160605361.1	WP_146379674.1
OG0000420	WP_039387539.1	WP_146379668.1
OG0000421	WP_160605381.1	WP_146379660.1
OG0000422	WP_039387548.1	WP_011206293.1
OG0000423	WP_039387554.1	WP_011206141.1
OG0000424	WP_160605424.1	WP_146379607.1
OG0000425	WP_160581431.1	WP_011290197.1
OG0000426	WP_160605432.1	WP_014579818.1
OG0000427	WP_160605615.1	WP_146379589.1
OG0000428	WP_039387592.1	WP_014579824.1
OG0000429	WP_160605629.1	WP_220200854.1
OG0000430	WP_039387606.1	WP_146379629.1
OG0000431	WP_160605516.1	WP_146379643.1
OG0000432	WP_039387610.1	WP_011205969.1
OG0000433	WP_039387613.1	WP_020835642.1
OG0000434	WP_039387619.1	WP_146379567.1
OG0000435	WP_160605462.1	WP_094521693.1
OG0000436	WP_039387628.1	WP_011206094.1
OG0000437	WP_039387636.1	WP_146379505.1
OG0000438	WP_039387638.1	WP_146379506.1
OG0000439	WP_039387641.1	WP_192894286.1
OG0000440	WP_039387644.1	WP_225973016.1
OG0000441	WP_039387648.1	WP_225973017.1
OG0000442	WP_039387651.1	WP_044272348.1
OG0000443	WP_160605489.1	WP_011206016.1
OG0000444	WP_039387665.1	WP_146379704.1
OG0000445	WP_160605543.1	WP_011290372.1
OG0000446	WP_160605544.1	WP_011206433.1
OG0000447	WP_039387693.1	WP_044272637.1
OG0000448	WP_160605548.1	WP_146379731.1
OG0000449	WP_039387704.1	WP_011206488.1
OG0000450	WP_160605593.1	WP_146379751.1
OG0000451	WP_039387713.1	WP_020835917.1
OG0000452	WP_039387719.1	WP_011205931.1
OG0000453	WP_160581112.1	WP_011284387.1
OG0000454	WP_039387723.1	WP_011284394.1
OG0000455	WP_039387750.1	WP_135618962.1
OG0000456	WP_160605621.1	WP_146379588.1
OG0000457	WP_160605518.1	WP_146379639.1
OG0000458	WP_039387777.1	WP_146379551.1
OG0000459	WP_039387782.1	WP_146379636.1
OG0000460	WP_039387785.1	WP_146379499.1
OG0000461	WP_039387808.1	WP_011206435.1
OG0000462	WP_160603144.1	WP_146379753.1
OG0000463	WP_160583965.1	WP_146379554.1
OG0000464	WP_051054279.1	WP_146379487.1
OG0000465	WP_051054304.1	WP_146379521.1
OG0000466	WP_081605287.1	WP_041361706.1
OG0000467	WP_160605584.1	WP_146379764.1
OG0000468	WP_081605280.1	WP_011205955.1
OG0000469	WP_160605474.1	WP_225973015.1
OG0000470	WP_160605334.1	WP_020835837.1
OG0000471	WP_155897264.1	WP_146379756.1
OG0000472	WP_169742226.1	WP_011206218.1
OG0000473	WP_308507115.1	WP_044272343.1
OG0000474	WP_201771011.1	WP_146379684.1
OG0000475	WP_220190748.1	WP_146379480.1
OG0000476	WP_220190755.1	WP_146379609.1
OG0000477	WP_236681784.1	WP_146379591.1
OG0000478	WP_308705452.1	WP_146379556.1
OG0000479	WP_220190750.1	WP_225973014.1
OG0000480	WP_231237866.1	WP_011206194.1
OG0000481	WP_308705446.1	WP_225973042.1
OG0000482	WP_160605540.1	WP_011206427.1
OG0000483	WP_002557711.1	WP_146379720.1
OG0000484	WP_308705441.1	WP_225973007.1
OG0000485	WP_231237879.1	WP_225973008.1
OG0000486	WP_258555097.1	WP_011289979.1
OG0000487	WP_255454460.1	WP_011290282.1
OG0000488	WP_308705455.1	WP_146379714.1
OG0000489	WP_334199004.1	WP_233417364.1
OG0000491	WP_160581087.1	WP_146379446.1
OG0000492	WP_039387473.1	WP_146379444.1
OG0000493	WP_002557476.1	WP_044272260.1
OG0000494	WP_002557481.1	WP_146379773.1
OG0000496	WP_002557529.1	WP_146379640.1
OG0000497	WP_002557546.1	WP_011205962.1
OG0000498	WP_002557550.1	WP_146379558.1
OG0000499	WP_160605530.1	WP_146379559.1
OG0000500	WP_160605312.1	WP_044272311.1
OG0000501	WP_160580862.1	WP_146379488.1
OG0000502	WP_160580870.1	WP_052269169.1
OG0000503	WP_258555108.1	WP_225972997.1
OG0000504	WP_160605336.1	WP_011206375.1
OG0000505	WP_002557639.1	WP_011290314.1
OG0000506	WP_160605346.1	WP_011290313.1
OG0000507	WP_160605354.1	WP_020835817.1
OG0000508	WP_002557673.1	WP_020835781.1
OG0000509	WP_160605536.1	WP_192894280.1
OG0000510	WP_160605545.1	WP_192894281.1
OG0000512	WP_160605460.1	WP_146379635.1
OG0000513	WP_002557809.1	WP_146379514.1
OG0000514	WP_160581345.1	WP_146379519.1
OG0000515	WP_160605483.1	WP_020835590.1
OG0000516	WP_160581337.1	WP_011206036.1
OG0000517	WP_160581026.1	WP_011289986.1
OG0000518	WP_002557923.1	WP_011205913.1
OG0000519	WP_002557926.1	WP_014579573.1
OG0000520	WP_002557934.1	WP_011283895.1
OG0000524	WP_002557982.1	WP_014579890.1
OG0000525	WP_160605375.1	WP_146379662.1
OG0000526	WP_002558014.1	WP_146379666.1
OG0000527	WP_160605371.1	WP_011206309.1
OG0000528	WP_039387498.1	WP_011205922.1
OG0000529	WP_220190752.1	WP_146379675.1
OG0000530	WP_160605428.1	WP_146379606.1
OG0000531	WP_039387714.1	WP_041361711.1
OG0000532	WP_220190796.1	WP_146379760.1
OG0000533	WP_334296058.1	WP_146379541.1
OG0000534	WP_039387661.1	WP_146379538.1
OG0000535	WP_160605332.1	WP_146379691.1
OG0000536	WP_258555124.1	WP_011290228.1
OG0000537	WP_160605322.1	WP_146379491.1
OG0000538	WP_160605643.1, WP_160605434.1	WP_146379587.1
OG0000539	WP_160583855.1	WP_146379513.1
OG0000540	WP_308705459.1	WP_146379746.1
OG0000542	WP_160605588.1	WP_146379766.1
OG0000546	WP_231237875.1	WP_146379706.1
OG0000548	WP_160605365.1	WP_146379671.1
OG0000549	WP_308705463.1	WP_318026087.1
OG0000550	WP_220190799.1	WP_146379597.1
OG0000555	WP_160605568.1	WP_146379584.1
OG0000556	WP_039387482.1	WP_011206170.1
OG0000563	WP_160605566.1	WP_192894290.1
