Orthogroup	MHP_7448_protein	MHP_MHP650_protein
OG0000037	WP_044272499.1	WP_160601158.1
OG0000038	WP_011290019.1	WP_232039589.1
OG0000038	WP_228366127.1	WP_220200864.1
OG0000039	WP_011290200.1	WP_160587914.1
OG0000040	WP_011206223.1	WP_160601152.1
OG0000041	WP_011290438.1	WP_308704755.1
OG0000042	WP_044272675.1	WP_160600812.1
OG0000043	WP_011290432.1	WP_160600806.1
OG0000044	WP_020835682.1	WP_160601022.1
OG0000045	WP_011290219.1	WP_160601112.1
OG0000046	WP_011206103.1	WP_011206103.1
OG0000047	WP_225972996.1	WP_228365394.1
OG0000048	WP_044272567.1	WP_011206374.1
OG0000049	WP_011206373.1	WP_011284269.1
OG0000050	WP_011206292.1	WP_011206292.1
OG0000051	WP_044272532.1	WP_135619210.1
OG0000052	WP_044272529.1	WP_160600721.1
OG0000053	WP_002557698.1	WP_002557698.1
OG0000054	WP_020835862.1	WP_011206420.1
OG0000055	WP_011206429.1	WP_160588054.1
OG0000056	WP_044272640.1	WP_160601125.1
OG0000057	WP_011290028.1	WP_011206089.1
OG0000058	WP_011290048.1	WP_135618593.1
OG0000059	WP_228366126.1	WP_011206057.1
OG0000060	WP_011290055.1	WP_011206046.1
OG0000061	WP_011206035.1	WP_011206035.1
OG0000062	WP_020835608.1	WP_160600998.1
OG0000063	WP_014579535.1	WP_160600703.1
OG0000064	WP_020835502.1	WP_160600651.1
OG0000065	WP_014579568.1	WP_014579568.1
OG0000066	WP_011289996.1	WP_160601219.1
OG0000067	WP_011206493.1	WP_160600739.1
OG0000068	WP_020835906.1	WP_160601213.1
OG0000069	WP_044272542.1	WP_160600955.1
OG0000070	WP_011206305.1	WP_160600966.1
OG0000071	WP_044272563.1	WP_160600769.1
OG0000072	WP_044272653.1	WP_160601175.1
OG0000073	WP_011206314.1	WP_011206314.1
OG0000074	WP_011290343.1	WP_258556625.1
OG0000075	WP_011290098.1	WP_160600862.1
OG0000076	WP_228366125.1	WP_160600876.1
OG0000077	WP_011289985.1	WP_160600689.1
OG0000078	WP_228366115.1	WP_308704765.1
OG0000079	WP_044272470.1	WP_220200855.1
OG0000080	WP_011290201.1	WP_160600916.1
OG0000081	WP_014579823.1	WP_014579823.1
OG0000082	WP_011290204.1	WP_160600917.1
OG0000083	WP_011290206.1	WP_160601154.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_011206224.1	WP_160601150.1
OG0000086	WP_011290207.1	WP_160601147.1
OG0000087	WP_044272474.1	WP_220200893.1
OG0000088	WP_044272477.1	WP_160601142.1
OG0000089	WP_044272480.1	WP_020835733.1
OG0000090	WP_011290212.1	WP_011206231.1
OG0000091	WP_011289937.1	WP_011283836.1
OG0000092	WP_011289936.1	WP_011283835.1
OG0000093	WP_011289935.1	WP_160600824.1
OG0000094	WP_020835487.1	WP_160600822.1
OG0000095	WP_011205849.1	WP_011205849.1
OG0000096	WP_020835486.1	WP_160600820.1
OG0000097	WP_011205847.1	WP_011205847.1
OG0000098	WP_044272266.1	WP_020835484.1
OG0000099	WP_020835483.1	WP_014579519.1
OG0000100	WP_044272256.1	WP_160600818.1
OG0000101	WP_011289927.1	WP_160584860.1
OG0000102	WP_044272251.1	WP_044272251.1
OG0000103	WP_011206529.1	WP_011206529.1
OG0000104	WP_044272680.1	WP_160585758.1
OG0000105	WP_228366118.1	WP_146379771.1
OG0000106	WP_011290445.1	WP_160590174.1
OG0000107	WP_011290444.1	WP_160600816.1
OG0000108	WP_011290443.1	WP_160588098.1
OG0000109	WP_044272678.1	WP_041361715.1
OG0000110	WP_011290440.1	WP_011290440.1
OG0000111	WP_011206510.1	WP_011206510.1
OG0000112	WP_044272430.1	WP_135619192.1
OG0000113	WP_011290155.1	WP_160601016.1
OG0000114	WP_011290156.1	WP_160601018.1
OG0000115	WP_011290214.1	WP_160601114.1
OG0000116	WP_011206239.1	WP_011206239.1
OG0000117	WP_011284163.1	WP_011284163.1
OG0000118	WP_011290216.1	WP_160588282.1
OG0000119	WP_044272492.1	WP_011206243.1
OG0000120	WP_011290218.1	WP_011284167.1
OG0000121	WP_011284169.1	WP_011284169.1
OG0000122	WP_011206247.1	WP_011206247.1
OG0000123	WP_011290256.1	WP_160601201.1
OG0000124	WP_044272514.1	WP_258556696.1
OG0000125	WP_011290254.1	WP_160601197.1
OG0000126	WP_228366098.1	WP_258556695.1
OG0000127	WP_011206271.1	WP_011206271.1
OG0000128	WP_014579864.1	WP_160601227.1
OG0000129	WP_044272509.1	WP_258555507.1
OG0000130	WP_011290245.1	WP_011290245.1
OG0000131	WP_011290102.1	WP_011205977.1
OG0000132	WP_011290103.1	WP_160600860.1
OG0000133	WP_044272388.1	WP_160600858.1
OG0000134	WP_044272391.1	WP_258556636.1
OG0000135	WP_020835635.1	WP_135618680.1
OG0000136	WP_011290108.1	WP_011284023.1
OG0000137	WP_011290109.1	WP_160600850.1
OG0000138	WP_020835639.1	WP_160600848.1
OG0000139	WP_011205965.1	WP_160600846.1
OG0000140	WP_011284027.1	WP_160600844.1
OG0000141	WP_044272393.1	WP_044284614.1
OG0000142	WP_011290114.1	WP_011284032.1
OG0000143	WP_044272399.1	WP_020835643.1
OG0000144	WP_011205956.1	WP_020835645.1
OG0000145	WP_011205954.1	WP_011205954.1
OG0000146	WP_011290118.1	WP_160600842.1
OG0000147	WP_011205952.1	WP_011205952.1
OG0000148	WP_011290120.1	WP_146379560.1
OG0000149	WP_044272402.1	WP_160600838.1
OG0000150	WP_011290122.1	WP_011290122.1
OG0000151	WP_044272405.1	WP_160600836.1
OG0000152	WP_044272408.1	WP_160600834.1
OG0000153	WP_014579732.1	WP_160600832.1
OG0000154	WP_011290126.1	WP_160600830.1
OG0000155	WP_011284046.1	WP_160600828.1
OG0000156	WP_011284047.1	WP_146379566.1
OG0000157	WP_014579735.1	WP_014579735.1
OG0000158	WP_044272410.1	WP_094521636.1
OG0000159	WP_041361727.1	WP_160601065.1
OG0000160	WP_044272314.1	WP_160601069.1
OG0000161	WP_014579589.1	WP_011206123.1
OG0000162	WP_228366123.1	WP_308704761.1
OG0000163	WP_011290004.1	WP_160601071.1
OG0000164	WP_011206120.1	WP_011206120.1
OG0000165	WP_011290005.1	WP_135618546.1
OG0000166	WP_011290006.1	WP_160601073.1
OG0000167	WP_044272317.1	WP_160601075.1
OG0000168	WP_011206113.1	WP_011206113.1
OG0000169	WP_011290013.1	WP_160601207.1
OG0000170	WP_011290014.1	WP_160584793.1
OG0000171	WP_011290017.1	WP_011206102.1
OG0000172	WP_011206101.1	WP_011206101.1
OG0000173	WP_011290345.1	WP_160600792.1
OG0000174	WP_011290344.1	WP_160600791.1
OG0000175	WP_011290341.1	WP_160600789.1
OG0000176	WP_011206391.1	WP_011206391.1
OG0000177	WP_011290340.1	WP_011206390.1
OG0000178	WP_044272582.1	WP_160600787.1
OG0000179	WP_044272578.1	WP_044284693.1
OG0000180	WP_011206385.1	WP_011206385.1
OG0000181	WP_011206384.1	WP_160600783.1
OG0000182	WP_011290335.1	WP_011284277.1
OG0000183	WP_011290333.1	WP_160600779.1
OG0000184	WP_011290331.1	WP_011290331.1
OG0000185	WP_044272572.1	WP_160600777.1
OG0000186	WP_011290329.1	WP_011284272.1
OG0000187	WP_011290328.1	WP_160600775.1
OG0000188	WP_044272566.1	WP_160600771.1
OG0000189	WP_020835828.1	WP_160600765.1
OG0000190	WP_228366106.1	WP_160600763.1
OG0000191	WP_011206347.1	WP_160600761.1
OG0000192	WP_011290318.1	WP_011206345.1
OG0000193	WP_011290312.1	WP_160601235.1
OG0000194	WP_011290311.1	WP_011206337.1
OG0000195	WP_011290310.1	WP_160601026.1
OG0000196	WP_011206335.1	WP_160601028.1
OG0000197	WP_011290309.1	WP_160601030.1
OG0000198	WP_044272559.1	WP_160601032.1
OG0000199	WP_011206289.1	WP_011206289.1
OG0000200	WP_011290271.1	WP_011284209.1
OG0000201	WP_011206287.1	WP_011206287.1
OG0000202	WP_011290136.1	WP_020835662.1
OG0000203	WP_011290137.1	WP_011290137.1
OG0000204	WP_011290138.1	WP_160601269.1
OG0000205	WP_014579804.1	WP_014579804.1
OG0000206	WP_011206196.1	WP_044284644.1
OG0000207	WP_011290187.1	WP_011206197.1
OG0000208	WP_044272458.1	WP_160600898.1
OG0000209	WP_011206200.1	WP_160600902.1
OG0000210	WP_011290193.1	WP_160600910.1
OG0000211	WP_011290195.1	WP_160600914.1
OG0000212	WP_011206207.1	WP_011206207.1
OG0000213	WP_044272464.1	WP_160587908.1
OG0000214	WP_044272610.1	WP_135619057.1
OG0000215	WP_011290367.1	WP_050195447.1
OG0000216	WP_011206424.1	WP_011206424.1
OG0000217	WP_011290368.1	WP_160600927.1
OG0000218	WP_011290369.1	WP_160600929.1
OG0000219	WP_044272613.1	WP_160600931.1
OG0000220	WP_011290373.1	WP_160600933.1
OG0000221	WP_044272614.1	WP_160600935.1
OG0000222	WP_011290377.1	WP_160600939.1
OG0000223	WP_020835877.1	WP_014579977.1
OG0000224	WP_044272620.1	WP_020835878.1
OG0000225	WP_044272624.1	WP_160600941.1
OG0000226	WP_014579979.1	WP_160600943.1
OG0000227	WP_011206445.1	WP_160600945.1
OG0000228	WP_011290381.1	WP_160600947.1
OG0000229	WP_044272634.1	WP_160601136.1
OG0000230	WP_011290389.1	WP_011206453.1
OG0000231	WP_014579989.1	WP_160601138.1
OG0000232	WP_011290391.1	WP_160601130.1
OG0000233	WP_011206457.1	WP_160601129.1
OG0000234	WP_011206458.1	WP_160601127.1
OG0000235	WP_011206459.1	WP_011206459.1
OG0000236	WP_044272642.1	WP_160601123.1
OG0000237	WP_011290402.1	WP_011206469.1
OG0000238	WP_011290401.1	WP_135619119.1
OG0000239	WP_011290400.1	WP_011206467.1
OG0000240	WP_011290399.1	WP_011290399.1
OG0000241	WP_011290398.1	WP_020835897.1
OG0000242	WP_044272652.1	WP_160601173.1
OG0000243	WP_011290129.1	WP_146379568.1
OG0000244	WP_020835656.1	WP_160601247.1
OG0000245	WP_011290131.1	WP_011284053.1
OG0000246	WP_020835657.1	WP_160601245.1
OG0000247	WP_011284055.1	WP_011284055.1
OG0000248	WP_011284056.1	WP_160601243.1
OG0000249	WP_011205932.1	WP_160601241.1
OG0000250	WP_044272496.1	WP_160601185.1
OG0000251	WP_011206256.1	WP_011206256.1
OG0000252	WP_020835756.1	WP_258556689.1
OG0000253	WP_020835755.1	WP_135619204.1
OG0000254	WP_011290088.1	WP_011284001.1
OG0000255	WP_011283999.1	WP_011283999.1
OG0000256	WP_044272382.1	WP_160590375.1
OG0000257	WP_011290023.1	WP_094521582.1
OG0000258	WP_011290024.1	WP_094521583.1
OG0000259	WP_011206093.1	WP_011206093.1
OG0000260	WP_020835572.1	WP_020835572.1
OG0000261	WP_179695841.1	WP_228729168.1
OG0000262	WP_044272328.1	WP_041361572.1
OG0000263	WP_011283930.1	WP_011283930.1
OG0000264	WP_011206086.1	WP_011206086.1
OG0000265	WP_020835574.1	WP_160600868.1
OG0000266	WP_044272334.1	WP_160600870.1
OG0000267	WP_020835576.1	WP_160600872.1
OG0000268	WP_011283934.1	WP_160600874.1
OG0000269	WP_011290034.1	WP_011283936.1
OG0000270	WP_020835579.1	WP_020835579.1
OG0000271	WP_020835580.1	WP_160600878.1
OG0000272	WP_011290039.1	WP_308704756.1
OG0000273	WP_011206072.1	WP_011206072.1
OG0000274	WP_011206071.1	WP_014579633.1
OG0000275	WP_020835584.1	WP_014579632.1
OG0000276	WP_020835585.1	WP_011206068.1
OG0000277	WP_011290043.1	WP_011206067.1
OG0000278	WP_011290044.1	WP_160600886.1
OG0000279	WP_011206065.1	WP_160600888.1
OG0000280	WP_011290045.1	WP_160600890.1
OG0000281	WP_011206063.1	WP_011283951.1
OG0000282	WP_011290046.1	WP_011290046.1
OG0000283	WP_011206061.1	WP_011206061.1
OG0000284	WP_011206054.1	WP_011283958.1
OG0000285	WP_011206052.1	WP_044284597.1
OG0000286	WP_011290054.1	WP_011206050.1
OG0000287	WP_011206049.1	WP_011206049.1
OG0000288	WP_011206048.1	WP_011206048.1
OG0000289	WP_011283963.1	WP_011283963.1
OG0000290	WP_011206047.1	WP_160601104.1
OG0000291	WP_011290056.1	WP_014579616.1
OG0000292	WP_011206044.1	WP_011206044.1
OG0000293	WP_011290058.1	WP_011206042.1
OG0000294	WP_011206041.1	WP_220200886.1
OG0000295	WP_011290060.1	WP_011206040.1
OG0000296	WP_011206039.1	WP_011206039.1
OG0000297	WP_011206038.1	WP_011206038.1
OG0000298	WP_041361589.1	WP_041361589.1
OG0000299	WP_020835596.1	WP_160601098.1
OG0000300	WP_011206032.1	WP_011206032.1
OG0000301	WP_011290064.1	WP_011206031.1
OG0000302	WP_041361593.1	WP_094521599.1
OG0000303	WP_011206028.1	WP_011206028.1
OG0000304	WP_011206027.1	WP_014579605.1
OG0000305	WP_011290066.1	WP_014579604.1
OG0000306	WP_011206025.1	WP_011206025.1
OG0000307	WP_011290067.1	WP_011290067.1
OG0000308	WP_014579601.1	WP_014579601.1
OG0000309	WP_011290071.1	WP_011290071.1
OG0000310	WP_044272360.1	WP_160601002.1
OG0000311	WP_011290074.1	WP_011206014.1
OG0000312	WP_020835607.1	WP_160601000.1
OG0000313	WP_011290076.1	WP_044284822.1
OG0000314	WP_011290077.1	WP_011283987.1
OG0000315	WP_011290078.1	WP_020835611.1
OG0000316	WP_011283989.1	WP_160600997.1
OG0000317	WP_044272366.1	WP_160600995.1
OG0000318	WP_011283991.1	WP_160600993.1
OG0000319	WP_011206005.1	WP_011206005.1
OG0000320	WP_044272373.1	WP_011206003.1
OG0000321	WP_044272375.1	WP_160600989.1
OG0000322	WP_044272377.1	WP_160600987.1
OG0000323	WP_011290347.1	WP_160600796.1
OG0000324	WP_020835851.1	WP_011206400.1
OG0000325	WP_011290349.1	WP_014579953.1
OG0000326	WP_044272588.1	WP_011206402.1
OG0000327	WP_011290351.1	WP_160600798.1
OG0000328	WP_011290352.1	WP_011206404.1
OG0000329	WP_041361690.1	WP_160600800.1
OG0000330	WP_228366108.1	WP_011206408.1
OG0000331	WP_011284299.1	WP_011284299.1
OG0000332	WP_041361522.1	WP_050195463.1
OG0000333	WP_020835499.1	WP_160600647.1
OG0000334	WP_011289951.1	WP_160600649.1
OG0000335	WP_020835500.1	WP_228365403.1
OG0000336	WP_011289955.1	WP_160600653.1
OG0000337	WP_011289957.1	WP_011205875.1
OG0000338	WP_044272282.1	WP_160600657.1
OG0000339	WP_011205880.1	WP_011205880.1
OG0000340	WP_020835507.1	WP_014579544.1
OG0000341	WP_011289963.1	WP_160600661.1
OG0000342	WP_011205883.1	WP_011205883.1
OG0000343	WP_011289964.1	WP_011289964.1
OG0000344	WP_020835509.1	WP_160600663.1
OG0000345	WP_044272285.1	WP_160600665.1
OG0000346	WP_020835511.1	WP_160600667.1
OG0000347	WP_011289968.1	WP_011205889.1
OG0000348	WP_044272682.1	WP_160600669.1
OG0000349	WP_044272289.1	WP_011205891.1
OG0000350	WP_014579553.1	WP_160600671.1
OG0000351	WP_011289972.1	WP_160600673.1
OG0000352	WP_011289973.1	WP_011289973.1
OG0000353	WP_011289974.1	WP_011283871.1
OG0000354	WP_020835518.1	WP_187286314.1
OG0000355	WP_011289976.1	WP_160600675.1
OG0000356	WP_011289977.1	WP_160600677.1
OG0000357	WP_020835519.1	WP_160600679.1
OG0000358	WP_228366122.1	WP_220200824.1
OG0000359	WP_011289981.1	WP_160600683.1
OG0000360	WP_011289982.1	WP_011283879.1
OG0000361	WP_011289983.1	WP_160600685.1
OG0000362	WP_044272293.1	WP_160600687.1
OG0000363	WP_041361531.1	WP_014579569.1
OG0000364	WP_011289987.1	WP_160600693.1
OG0000365	WP_011283885.1	WP_011283885.1
OG0000366	WP_011283887.1	WP_011205916.1
OG0000367	WP_044272298.1	WP_160600699.1
OG0000368	WP_011205921.1	WP_011205921.1
OG0000369	WP_011205923.1	WP_011205923.1
OG0000370	WP_020835532.1	WP_014579577.1
OG0000371	WP_011289993.1	WP_011283894.1
OG0000372	WP_011206135.1	WP_160601215.1
OG0000373	WP_011206134.1	WP_011206134.1
OG0000374	WP_011290431.1	WP_160600804.1
OG0000375	WP_044272669.1	WP_160600753.1
OG0000376	WP_020835915.1	WP_160600751.1
OG0000377	WP_011284373.1	WP_011284373.1
OG0000378	WP_011206502.1	WP_011206502.1
OG0000379	WP_187145660.1	WP_220200832.1
OG0000380	WP_011290423.1	WP_160600745.1
OG0000381	WP_228366117.1	WP_308704753.1
OG0000382	WP_011290421.1	WP_160600741.1
OG0000383	WP_011206494.1	WP_011206494.1
OG0000384	WP_011290418.1	WP_014580014.1
OG0000385	WP_011206490.1	WP_135619140.1
OG0000386	WP_011290416.1	WP_014580012.1
OG0000387	WP_011206487.1	WP_011206487.1
OG0000388	WP_044272665.1	WP_160600735.1
OG0000389	WP_044272663.1	WP_160584907.1
OG0000390	WP_011206484.1	WP_014580008.1
OG0000391	WP_011290413.1	WP_160600733.1
OG0000392	WP_044272660.1	WP_160600731.1
OG0000393	WP_044272526.1	WP_146379652.1
OG0000394	WP_011290278.1	WP_011206297.1
OG0000395	WP_011206299.1	WP_160600959.1
OG0000396	WP_020835793.1	WP_020835793.1
OG0000397	WP_044272549.1	WP_160600962.1
OG0000398	WP_011290297.1	WP_135618967.1
OG0000399	WP_011206320.1	WP_011206320.1
OG0000400	WP_044272553.1	WP_011206319.1
OG0000401	WP_020835805.1	WP_094521723.1
OG0000402	WP_041361676.1	WP_160600980.1
OG0000403	WP_011206315.1	WP_011206315.1
OG0000404	WP_041361674.1	WP_160600976.1
OG0000405	WP_011284228.1	WP_160600974.1
OG0000406	WP_011290287.1	WP_160585762.1
OG0000407	WP_044272552.1	WP_160600968.1
OG0000408	WP_011290285.1	WP_011284225.1
OG0000409	WP_011289956.1	WP_160600655.1
OG0000410	WP_011205878.1	WP_011205878.1
OG0000411	WP_041361533.1	WP_014579572.1
OG0000412	WP_011289991.1	WP_011283891.1
OG0000413	WP_014579576.1	WP_014579576.1
OG0000414	WP_011206118.1	WP_011206118.1
OG0000415	WP_011290068.1	WP_011283978.1
OG0000416	WP_044272575.1	WP_160600785.1
OG0000417	WP_044272560.1	WP_160600759.1
OG0000418	WP_011290304.1	WP_160601040.1
OG0000419	WP_044272554.1	WP_160601043.1
OG0000420	WP_011290290.1	WP_160600978.1
OG0000421	WP_044272546.1	WP_160600957.1
OG0000422	WP_011206293.1	WP_160600729.1
OG0000423	WP_011206141.1	WP_011206141.1
OG0000424	WP_011290192.1	WP_160600908.1
OG0000425	WP_011290197.1	WP_011290197.1
OG0000426	WP_014579818.1	WP_160587912.1
OG0000427	WP_011290211.1	WP_160601140.1
OG0000428	WP_011290203.1	WP_014579824.1
OG0000429	WP_228366137.1	WP_220200854.1
OG0000430	WP_044272490.1	WP_146379629.1
OG0000431	WP_011290251.1	WP_160601193.1
OG0000432	WP_011205969.1	WP_011205969.1
OG0000433	WP_011205960.1	WP_020835642.1
OG0000434	WP_011290127.1	WP_135618712.1
OG0000435	WP_011290222.1	WP_011284172.1
OG0000436	WP_011206094.1	WP_011206094.1
OG0000437	WP_044272340.1	WP_160600880.1
OG0000438	WP_011206076.1	WP_011206076.1
OG0000439	WP_011206069.1	WP_011206069.1
OG0000440	WP_041361583.1	WP_220200845.1
OG0000441	WP_225973017.1	WP_044284742.1
OG0000442	WP_044272348.1	WP_308704757.1
OG0000443	WP_011206016.1	WP_011206016.1
OG0000444	WP_011206405.1	WP_011206405.1
OG0000445	WP_011290372.1	WP_011290372.1
OG0000446	WP_011206433.1	WP_011206433.1
OG0000447	WP_044272637.1	WP_160601134.1
OG0000448	WP_044272639.1	WP_160601132.1
OG0000449	WP_011206488.1	WP_011206488.1
OG0000450	WP_041361708.1	WP_011206492.1
OG0000451	WP_044272671.1	WP_160600755.1
OG0000452	WP_011205931.1	WP_011205931.1
OG0000453	WP_011290441.1	WP_011290441.1
OG0000454	WP_011284394.1	WP_011284394.1
OG0000455	WP_011290293.1	WP_160600982.1
OG0000456	WP_011290213.1	WP_011284150.1
OG0000457	WP_011290246.1	WP_160601221.1
OG0000458	WP_011205973.1	WP_146379551.1
OG0000459	WP_011290226.1	WP_160601183.1
OG0000460	WP_011290029.1	WP_258556639.1
OG0000461	WP_011206435.1	WP_011206435.1
OG0000462	WP_011290420.1	WP_011284367.1
OG0000463	WP_011290107.1	WP_160600852.1
OG0000464	WP_052269168.1	WP_160601077.1
OG0000465	WP_014579611.1	WP_014579611.1
OG0000466	WP_232039558.1	WP_232039558.1
OG0000467	WP_081420855.1	WP_160600810.1
OG0000468	WP_011290117.1	WP_011205955.1
OG0000469	WP_225973015.1	WP_160600882.1
OG0000470	WP_020835837.1	WP_020835837.1
OG0000471	WP_011290425.1	WP_160600749.1
OG0000472	WP_011206218.1	WP_011206218.1
OG0000473	WP_044272343.1	WP_160600884.1
OG0000474	WP_228366105.1	WP_160600757.1
OG0000475	WP_011289997.1	WP_240536362.1
OG0000476	WP_011290189.1	WP_160600900.1
OG0000477	WP_011206227.1	WP_160601144.1
OG0000478	WP_044272395.1	WP_160584724.1
OG0000479	WP_228366124.1	WP_258556697.1
OG0000480	WP_020835708.1	WP_011206194.1
OG0000481	WP_228366136.1	WP_308507057.1
OG0000482	WP_228366113.1	WP_228366113.1
OG0000483	WP_011290370.1	WP_135619062.1
OG0000484	WP_228366121.1	WP_308704752.1
OG0000485	WP_225973008.1	WP_225973008.1
OG0000486	WP_011289979.1	WP_160600681.1
OG0000487	WP_011290282.1	WP_160600961.1
OG0000488	WP_011290363.1	WP_160600923.1
OG0000489	WP_269076322.1	WP_308704679.1
OG0000490	WP_020835489.1	WP_220200887.1
OG0000491	WP_011283834.1	WP_160585773.1
OG0000492	WP_011289930.1	WP_160588112.1
OG0000493	WP_044272260.1	WP_160588110.1
OG0000494	WP_011290449.1	WP_146379773.1
OG0000496	WP_011290248.1	WP_160601225.1
OG0000497	WP_011205962.1	WP_011205962.1
OG0000498	WP_044272699.1	WP_160588252.1
OG0000499	WP_020835646.1	WP_160600840.1
OG0000500	WP_044272311.1	WP_160601067.1
OG0000501	WP_011290009.1	WP_011206114.1
OG0000502	WP_052269169.1	WP_052259108.1
OG0000503	WP_228366107.1	WP_011206393.1
OG0000504	WP_011290327.1	WP_160600773.1
OG0000505	WP_011290314.1	WP_011206340.1
OG0000506	WP_011290313.1	WP_014579921.1
OG0000507	WP_011206333.1	WP_011206333.1
OG0000508	WP_020835781.1	WP_020835781.1
OG0000509	WP_081420854.1	WP_220200859.1
OG0000510	WP_187145658.1	WP_220200860.1
OG0000512	WP_011290225.1	WP_160601181.1
OG0000514	WP_011290053.1	WP_160601106.1
OG0000515	WP_044272353.1	WP_160601102.1
OG0000516	WP_011290062.1	WP_160601100.1
OG0000517	WP_011289986.1	WP_160600691.1
OG0000518	WP_044272294.1	WP_160600695.1
OG0000519	WP_011289989.1	WP_160600697.1
OG0000520	WP_011289994.1	WP_160600701.1
OG0000522	WP_011290410.1	WP_160601209.1
OG0000523	WP_044272658.1	WP_160590224.1
OG0000524	WP_014579890.1	WP_014579890.1
OG0000525	WP_011290284.1	WP_160600964.1
OG0000527	WP_011290288.1	WP_160600970.1
OG0000528	WP_011205922.1	WP_011205922.1
OG0000529	WP_011290303.1	WP_160601041.1
OG0000530	WP_011290194.1	WP_160600912.1
OG0000531	WP_011290429.1	WP_011284377.1
OG0000533	WP_081420839.1	WP_094521611.1
OG0000534	WP_044272370.1	WP_160600991.1
OG0000535	WP_011290334.1	WP_160600781.1
OG0000536	WP_011290228.1	WP_160601187.1
OG0000537	WP_011290012.1	WP_160601231.1
OG0000538	WP_011206235.1	WP_160601116.1
OG0000539	WP_011283955.1	WP_160600892.1
OG0000540	WP_011290405.1	WP_160601177.1
OG0000541	WP_011290242.1	WP_160601091.1, WP_160601093.1
OG0000542	WP_011290436.1	WP_160600814.1
OG0000543	WP_011290010.1	WP_011206110.1
OG0000544	WP_228366114.1	WP_308704763.1
OG0000545	WP_011290141.1	WP_258556706.1
OG0000547	WP_041361748.1	WP_160601167.1, WP_160585706.1
OG0000548	WP_011290296.1	WP_160600983.1
OG0000549	WP_228366139.1	WP_160601117.1
OG0000550	WP_044272715.1	WP_160600919.1
OG0000552	WP_011290175.1	WP_258556669.1, WP_258556667.1
OG0000553	WP_081420850.1	WP_160601229.1
OG0000554	WP_228366134.1	WP_258556670.1
OG0000557	WP_020835495.1	WP_014579530.1
OG0000558	WP_044272517.1	WP_160601203.1
OG0000559	WP_011290306.1	WP_160601038.1
OG0000560	WP_020835829.1	WP_258556622.1
OG0000561	WP_044272617.1	WP_160600937.1
OG0000564	WP_011290233.1	WP_160601159.1
OG0000565	WP_011289941.1	WP_160601191.1
OG0000566	WP_011289942.1	WP_160590473.1
OG0000567	WP_011290097.1	WP_160601081.1
OG0000568	WP_011205983.1	WP_011205983.1
OG0000569	WP_228366129.1	WP_308704762.1
OG0000570	WP_011205986.1	WP_044284610.1
OG0000571	WP_011290093.1	WP_160601083.1
OG0000572	WP_044272385.1	WP_160601085.1
OG0000573	WP_020835624.1	WP_160601087.1
OG0000574	WP_011290089.1	WP_011284002.1
OG0000575	WP_011290073.1	WP_011206015.1
OG0000576	WP_044272325.1	WP_011206097.1
OG0000577	WP_011290145.1	WP_011290145.1
OG0000578	WP_011290146.1	WP_160601006.1
OG0000579	WP_011290147.1	WP_160601008.1
OG0000580	WP_011290150.1	WP_160601012.1
OG0000581	WP_020835676.1	WP_160601014.1
OG0000582	WP_011290153.1	WP_014579758.1
OG0000583	WP_011290172.1	WP_014579786.1
OG0000584	WP_011284100.1	WP_011284100.1
OG0000585	WP_020835696.1	WP_160601053.1
