Orthogroup	MHP_MHP694_protein	MHP_MHP709_protein
OG0000150	WP_011205948.1	WP_011290122.1
OG0000151	WP_160606635.1	WP_160588221.1
OG0000152	WP_160600834.1	WP_160585095.1
OG0000153	WP_160606633.1	WP_020835651.1
OG0000154	WP_160606631.1	WP_160588223.1
OG0000155	WP_011284046.1	WP_011284046.1
OG0000156	WP_160606629.1	WP_160588225.1
OG0000157	WP_160606627.1	WP_014579735.1
OG0000158	WP_044272410.1	WP_160588229.1
OG0000159	WP_041361727.1	WP_041361727.1
OG0000160	WP_160606829.1	WP_160588342.1
OG0000161	WP_094521764.1	WP_094521764.1
OG0000162	WP_308704615.1	WP_228365407.1
OG0000163	WP_011290004.1	WP_011290004.1
OG0000164	WP_160606832.1	WP_011206120.1
OG0000165	WP_011206119.1	WP_011206119.1
OG0000166	WP_160606834.1	WP_160588311.1
OG0000167	WP_160606836.1	WP_160588309.1
OG0000168	WP_011206113.1	WP_160588305.1
OG0000169	WP_160606672.1	WP_160587959.1
OG0000170	WP_160606670.1	WP_160587956.1
OG0000171	WP_011206102.1	WP_011206102.1
OG0000172	WP_011206101.1	WP_160584795.1
OG0000173	WP_160606564.1	WP_146379698.1
OG0000174	WP_094521740.1	WP_160587865.1
OG0000175	WP_160606568.1	WP_011290341.1
OG0000176	WP_011206391.1	WP_011206391.1
OG0000177	WP_011206390.1	WP_011284284.1
OG0000178	WP_160606570.1	WP_160587861.1
OG0000179	WP_160606572.1	WP_020835843.1
OG0000180	WP_011206385.1	WP_011206385.1
OG0000181	WP_011206384.1	WP_011206384.1
OG0000182	WP_160606574.1	WP_020835840.1
OG0000183	WP_160587854.1	WP_160587854.1
OG0000184	WP_011206379.1	WP_011290331.1
OG0000185	WP_160606577.1	WP_160587852.1
OG0000186	WP_011284272.1	WP_146379689.1
OG0000187	WP_011206376.1	WP_135619006.1
OG0000188	WP_160606581.1	WP_160587848.1
OG0000189	WP_135618994.1	WP_020835828.1
OG0000190	WP_160606405.1	WP_020835827.1
OG0000191	WP_011206347.1	WP_011206347.1
OG0000192	WP_011206345.1	WP_160587842.1
OG0000193	WP_160606409.1	WP_146379682.1
OG0000194	WP_020835820.1	WP_020835820.1
OG0000195	WP_160606411.1	WP_160587840.1
OG0000196	WP_011206335.1	WP_160587838.1
OG0000197	WP_011206334.1	WP_160587836.1
OG0000198	WP_160606413.1	WP_160587834.1
OG0000199	WP_011206289.1	WP_011206289.1
OG0000200	WP_160590318.1	WP_179221158.1
OG0000201	WP_160606813.1	WP_146379654.1
OG0000202	WP_160606621.1	WP_135618730.1
OG0000203	WP_011206142.1	WP_011290137.1
OG0000204	WP_160606619.1	WP_146379571.1
OG0000205	WP_014579804.1	WP_014579804.1
OG0000206	WP_160606471.1	WP_011206196.1
OG0000207	WP_020835709.1	WP_160587892.1
OG0000208	WP_160606473.1	WP_160587894.1
OG0000209	WP_011206200.1	WP_011206200.1
OG0000210	WP_011290193.1	WP_011206204.1
OG0000211	WP_160606589.1	WP_160587906.1
OG0000212	WP_011206207.1	WP_011206207.1
OG0000213	WP_160606591.1	WP_160587908.1
OG0000214	WP_160606713.1	WP_044272610.1
OG0000215	WP_050195447.1	WP_146379717.1
OG0000216	WP_011206424.1	WP_011206424.1
OG0000217	WP_011284312.1	WP_160588049.1
OG0000218	WP_160606711.1	WP_160588051.1
OG0000219	WP_160606705.1	WP_160588057.1
OG0000220	WP_160606703.1	WP_135619070.1
OG0000221	WP_160606701.1	WP_160588059.1
OG0000222	WP_160606699.1	WP_160588062.1
OG0000223	WP_160606697.1	WP_160585273.1
OG0000224	WP_020835878.1	WP_160585275.1
OG0000225	WP_160606695.1	WP_160588064.1
OG0000226	WP_014579979.1	WP_020835880.1
OG0000227	WP_011206445.1	WP_081642895.1
OG0000228	WP_011284327.1	WP_160585278.1
OG0000229	WP_160606860.1	WP_020835888.1
OG0000230	WP_160585211.1	WP_011284337.1
OG0000231	WP_160606872.1	WP_160588130.1
OG0000232	WP_160606866.1	WP_160588132.1
OG0000233	WP_160606868.1	WP_044284717.1
OG0000234	WP_011206458.1	WP_011206458.1
OG0000235	WP_011206459.1	WP_011206459.1
OG0000236	WP_160606870.1	WP_160588134.1
OG0000237	WP_011206469.1	WP_011206469.1
OG0000238	WP_011206468.1	WP_160588140.1
OG0000239	WP_160606799.1	WP_146379742.1
OG0000240	WP_011290399.1	WP_011290399.1
OG0000241	WP_146379740.1	WP_160588138.1
OG0000242	WP_160606797.1	WP_160588142.1
OG0000243	WP_146379568.1	WP_011290129.1
OG0000244	WP_020835656.1	WP_020835656.1
OG0000245	WP_160606625.1	WP_011290131.1
OG0000246	WP_020835657.1	WP_020835657.1
OG0000247	WP_011284055.1	WP_011284055.1
OG0000248	WP_011284056.1	WP_160588231.1
OG0000249	WP_011205932.1	WP_011205932.1
OG0000250	WP_160606844.1	WP_160588291.1
OG0000251	WP_011206256.1	WP_146379637.1
OG0000252	WP_160606846.1	WP_160588285.1
OG0000253	WP_020835755.1	WP_020835755.1
OG0000254	WP_011284001.1	WP_160587990.1
OG0000255	WP_011283999.1	WP_094521610.1
OG0000256	WP_160606909.1	WP_094521609.1
OG0000257	WP_160606664.1	WP_011290023.1
OG0000258	WP_011283924.1	WP_094521583.1
OG0000259	WP_160606660.1	WP_011206093.1
OG0000260	WP_160606658.1	WP_160588274.1
OG0000261	WP_020835573.1	WP_179695841.1
OG0000262	WP_041361572.1	WP_041361572.1
OG0000263	WP_011206087.1	WP_011283930.1
OG0000264	WP_011206086.1	WP_011206086.1
OG0000265	WP_160606655.1	WP_020835574.1
OG0000266	WP_160588272.1	WP_160588272.1
OG0000267	WP_160606653.1	WP_016340193.1
OG0000268	WP_011283934.1	WP_011283934.1
OG0000269	WP_160606650.1	WP_011206080.1
OG0000270	WP_135618573.1	WP_020835579.1
OG0000271	WP_160606648.1	WP_146379504.1
OG0000272	WP_011290039.1	WP_160588267.1
OG0000273	WP_011206072.1	WP_160588265.1
OG0000274	WP_308704603.1	WP_160588089.1
OG0000275	WP_160606691.1	WP_160588086.1
OG0000276	WP_020835585.1	WP_135618585.1
OG0000277	WP_135618587.1	WP_135618587.1
OG0000278	WP_011290044.1	WP_011290044.1
OG0000279	WP_011206065.1	WP_011206065.1
OG0000280	WP_160606689.1	WP_011206064.1
OG0000281	WP_160606687.1	WP_094521594.1
OG0000282	WP_135618591.1	WP_011290046.1
OG0000283	WP_011206061.1	WP_011206061.1
OG0000284	WP_011206054.1	WP_011206054.1
OG0000285	WP_160606686.1	WP_011206052.1
OG0000286	WP_011206050.1	WP_011290054.1
OG0000287	WP_011206049.1	WP_011206049.1
OG0000288	WP_011206048.1	WP_011206048.1
OG0000289	WP_011283963.1	WP_011283963.1
OG0000290	WP_011206047.1	WP_160588083.1
OG0000291	WP_160606684.1	WP_014579616.1
OG0000292	WP_011206044.1	WP_160588081.1
OG0000293	WP_011290058.1	WP_011290058.1
OG0000294	WP_011206041.1	WP_020835591.1
OG0000295	WP_160606682.1	WP_020835592.1
OG0000296	WP_011206039.1	WP_011206039.1
OG0000297	WP_011206038.1	WP_011206038.1
OG0000298	WP_041361589.1	WP_160588076.1
OG0000299	WP_044284599.1	WP_160588073.1
OG0000300	WP_011206032.1	WP_011206032.1
OG0000301	WP_011206031.1	WP_011206031.1
OG0000302	WP_041361593.1	WP_041361593.1
OG0000303	WP_011206028.1	WP_011206028.1
OG0000304	WP_011206027.1	WP_014579605.1
OG0000305	WP_050195474.1	WP_014579604.1
OG0000306	WP_011206025.1	WP_011206025.1
OG0000307	WP_146379524.1	WP_011290067.1
OG0000308	WP_014579601.1	WP_014579601.1
OG0000309	WP_011290071.1	WP_011290071.1
OG0000310	WP_044272360.1	WP_160587974.1
OG0000311	WP_160606761.1	WP_011206014.1
OG0000312	WP_160606763.1	WP_160585569.1
OG0000313	WP_146379533.1	WP_160587977.1
OG0000314	WP_020835610.1	WP_011283987.1
OG0000315	WP_020835611.1	WP_160587980.1
OG0000316	WP_020835612.1	WP_011283989.1
OG0000317	WP_160606765.1	WP_160587982.1
OG0000318	WP_011283991.1	WP_011283991.1
OG0000319	WP_160606767.1	WP_011206005.1
OG0000320	WP_044272373.1	WP_044272373.1
OG0000321	WP_160606769.1	WP_160587984.1
OG0000322	WP_020835619.1	WP_020835619.1
OG0000323	WP_146379700.1	WP_011290347.1
OG0000324	WP_020835851.1	WP_020835851.1
OG0000325	WP_160588325.1	WP_160588325.1
OG0000326	WP_160585231.1	WP_044272588.1
OG0000327	WP_160606881.1	WP_160588327.1
OG0000328	WP_160606879.1	WP_146379703.1
OG0000329	WP_258555484.1	WP_041361690.1
OG0000330	WP_146379707.1	WP_146379707.1
OG0000331	WP_011284299.1	WP_011284299.1
OG0000332	WP_160606885.1	WP_050195463.1
OG0000333	WP_258555485.1	WP_258555380.1
OG0000334	WP_258555412.1	WP_308507094.1
OG0000335	WP_020835500.1	WP_020835500.1
OG0000336	WP_160606535.1	WP_160588042.1
OG0000337	WP_160584772.1	WP_160588038.1
OG0000338	WP_044272282.1	WP_160588036.1
OG0000339	WP_011205880.1	WP_011205880.1
OG0000340	WP_014579544.1	WP_020835507.1
OG0000341	WP_011289963.1	WP_011289963.1
OG0000342	WP_011205883.1	WP_011205883.1
OG0000343	WP_160606527.1	WP_160588034.1
OG0000344	WP_044284571.1	WP_044284571.1
OG0000345	WP_160600665.1	WP_160588032.1
OG0000346	WP_160600667.1	WP_014579550.1
OG0000347	WP_011205889.1	WP_011205889.1
OG0000348	WP_044272682.1	WP_044272682.1
OG0000349	WP_020835513.1	WP_135618497.1
OG0000350	WP_014579553.1	WP_160588031.1
OG0000351	WP_160606525.1	WP_020835515.1
OG0000352	WP_011289973.1	WP_160588029.1
OG0000353	WP_011289974.1	WP_011289974.1
OG0000354	WP_220200685.1	WP_020835518.1
OG0000355	WP_146379469.1	WP_146379469.1
OG0000356	WP_011289977.1	WP_011289977.1
OG0000357	WP_135618505.1	WP_135618505.1
OG0000358	WP_258555282.1	WP_041361723.1
OG0000359	WP_160606523.1	WP_011289981.1
OG0000360	WP_094521550.1	WP_011289982.1
OG0000361	WP_160606521.1	WP_160588027.1
OG0000362	WP_160606519.1	WP_160588025.1
OG0000363	WP_041361531.1	WP_041361531.1
OG0000364	WP_160606513.1	WP_160584756.1
OG0000365	WP_160606511.1	WP_160585532.1
OG0000366	WP_011283887.1	WP_011283887.1
OG0000367	WP_160606505.1	WP_146379476.1
OG0000368	WP_011205921.1	WP_011205921.1
OG0000369	WP_011205923.1	WP_011205923.1
OG0000370	WP_014579577.1	WP_014579577.1
OG0000371	WP_011283894.1	WP_160588019.1
OG0000372	WP_011206135.1	WP_160588017.1
OG0000373	WP_160606874.1	WP_160584741.1
OG0000374	WP_146379761.1	WP_146379761.1
OG0000375	WP_020835916.1	WP_160588154.1
OG0000376	WP_020835915.1	WP_160588152.1
OG0000377	WP_011284373.1	WP_160588150.1
OG0000378	WP_011206502.1	WP_011206502.1
OG0000379	WP_220200719.1	WP_160588175.1
OG0000380	WP_094521521.1	WP_160588177.1
OG0000381	WP_228366117.1	WP_160588179.1
OG0000382	WP_160606755.1	WP_011290421.1
OG0000383	WP_011206494.1	WP_011206494.1
OG0000384	WP_258555459.1	WP_160588183.1
OG0000385	WP_011206490.1	WP_094521520.1
OG0000386	WP_081430772.1	WP_014580012.1
OG0000387	WP_011206487.1	WP_011206487.1
OG0000388	WP_160606749.1	WP_160588184.1
OG0000389	WP_044272663.1	WP_011206485.1
OG0000390	WP_160585585.1	WP_011206484.1
OG0000391	WP_160606747.1	WP_160584909.1
OG0000392	WP_160606745.1	WP_160588187.1
OG0000393	WP_160606821.1	WP_146379652.1
OG0000394	WP_011284216.1	WP_011284216.1
OG0000395	WP_011284218.1	WP_011206299.1
OG0000396	WP_160606443.1	WP_020835793.1
OG0000397	WP_011206303.1	WP_044272549.1
OG0000398	WP_011284237.1	WP_011284237.1
OG0000399	WP_011206320.1	WP_011206320.1
OG0000400	WP_044284681.1	WP_160587820.1
OG0000401	WP_160606429.1	WP_160587817.1
OG0000402	WP_160587813.1	WP_160587813.1
OG0000403	WP_011206315.1	WP_011206315.1
OG0000404	WP_220200668.1	WP_160587811.1
OG0000405	WP_160606431.1	WP_160587809.1
OG0000406	WP_160606435.1	WP_160585762.1
OG0000407	WP_160606437.1	WP_044272552.1
OG0000408	WP_011284225.1	WP_160588315.1
OG0000409	WP_160606533.1	WP_160588040.1
OG0000410	WP_160606529.1	WP_094521545.1
OG0000411	WP_041361533.1	WP_041361533.1
OG0000412	WP_011283891.1	WP_011283891.1
OG0000413	WP_014579576.1	WP_014579576.1
OG0000414	WP_146379484.1	WP_146379484.1
OG0000415	WP_011283978.1	WP_011283978.1
OG0000416	WP_014579943.1	WP_160587859.1
OG0000417	WP_011206346.1	WP_160587844.1
OG0000418	WP_160606417.1	WP_160587829.1
OG0000419	WP_020835811.1	WP_044284683.1
OG0000420	WP_011206313.1	WP_011206313.1
OG0000421	WP_160606445.1	WP_160588319.1
OG0000422	WP_160606809.1	WP_011206293.1
OG0000423	WP_011206141.1	WP_011206141.1
OG0000424	WP_160606479.1	WP_160587902.1
OG0000425	WP_160606593.1	WP_011290197.1
OG0000426	WP_160606597.1	WP_160587912.1
OG0000427	WP_146379589.1	WP_160585126.1
OG0000428	WP_014579824.1	WP_014579824.1
OG0000429	WP_220200697.1	WP_220191051.1
OG0000430	WP_044272490.1	WP_160588280.1
OG0000431	WP_160606735.1	WP_160588217.1
OG0000432	WP_011205969.1	WP_011205969.1
OG0000433	WP_020835642.1	WP_020835642.1
OG0000434	WP_160606645.1	WP_160588227.1
OG0000435	WP_094521693.1	WP_160588283.1
OG0000436	WP_160606662.1	WP_011206094.1
OG0000437	WP_160588270.1	WP_160588270.1
OG0000438	WP_160584807.1	WP_146379506.1
OG0000439	WP_011206069.1	WP_011206069.1
OG0000440	WP_041361583.1	WP_041361583.1
OG0000441	WP_225973017.1	WP_011206056.1
OG0000442	WP_044272348.1	WP_044272348.1
OG0000443	WP_011206016.1	WP_011206016.1
OG0000444	WP_146379704.1	WP_146379704.1
OG0000445	WP_011290372.1	WP_011290372.1
OG0000446	WP_011206433.1	WP_011206433.1
OG0000447	WP_160606862.1	WP_044272637.1
OG0000448	WP_160606864.1	WP_160588128.1
OG0000449	WP_011206488.1	WP_011206488.1
OG0000450	WP_160606751.1	WP_160585582.1
OG0000451	WP_160588156.1	WP_160588156.1
OG0000452	WP_160606623.1	WP_011205931.1
OG0000453	WP_050195472.1	WP_011290441.1
OG0000454	WP_011284394.1	WP_160584861.1
OG0000455	WP_160587815.1	WP_160587815.1
OG0000456	WP_011290213.1	WP_011284150.1
OG0000457	WP_160606957.1	WP_160585719.1
OG0000458	WP_011205973.1	WP_160588380.1
OG0000459	WP_011290226.1	WP_160588289.1
OG0000460	WP_160606656.1	WP_011290029.1
OG0000461	WP_011206435.1	WP_011206435.1
OG0000462	WP_160606753.1	WP_146379753.1
OG0000463	WP_160606558.1	WP_160588237.1
OG0000464	WP_160606838.1	WP_160588307.1
OG0000465	WP_014579611.1	WP_014579611.1
OG0000466	WP_308507030.1	WP_232039558.1
OG0000467	WP_160606927.1	WP_160588161.1
OG0000468	WP_160606560.1	WP_011205955.1
OG0000469	WP_240536364.1	WP_225973015.1
OG0000470	WP_020835837.1	WP_020835837.1
OG0000471	WP_160606759.1	WP_160588173.1
OG0000472	WP_011206218.1	WP_011206218.1
OG0000473	WP_308704598.1	WP_308507052.1
OG0000474	WP_160606407.1	WP_258555238.1
OG0000475	WP_308704616.1	WP_160588011.1
OG0000476	WP_160606475.1	WP_160587896.1
OG0000477	WP_160606609.1	WP_160587946.1
OG0000478	WP_160584724.1	WP_160588248.1
OG0000479	WP_308704602.1	WP_308507053.1
OG0000480	WP_011206194.1	WP_020835708.1
OG0000481	WP_308704593.1	WP_308507057.1
OG0000482	WP_228366113.1	WP_011206427.1
OG0000483	WP_160606709.1	WP_160588052.1
OG0000484	WP_228365405.1	WP_225973007.1
OG0000485	WP_225973008.1	WP_225973008.1
OG0000486	WP_011289979.1	WP_011289979.1
OG0000487	WP_160606441.1	WP_160588317.1
OG0000488	WP_160606715.1	WP_020835860.1
OG0000489	WP_308704597.1	WP_233417364.1
OG0000490	WP_233688593.1	WP_225973002.1
OG0000491	WP_011283834.1	WP_011283834.1
OG0000492	WP_011289930.1	WP_160588112.1
OG0000493	WP_044272260.1	WP_160588110.1
OG0000494	WP_160606487.1	WP_160584863.1
OG0000495	WP_160606921.1	WP_160588169.1
OG0000496	WP_160585298.1	WP_160585722.1
OG0000497	WP_011205962.1	WP_011205962.1
OG0000498	WP_160588252.1	WP_160588252.1
OG0000499	WP_160606562.1	WP_160588262.1
OG0000500	WP_044272311.1	WP_044272311.1
OG0000501	WP_160606840.1	WP_146379488.1
OG0000502	WP_160606666.1	WP_052269169.1
OG0000503	WP_228366107.1	WP_228366107.1
OG0000504	WP_011284271.1	WP_011206375.1
OG0000505	WP_011206340.1	WP_011290314.1
OG0000506	WP_014579921.1	WP_011290313.1
OG0000507	WP_011284249.1	WP_011206333.1
OG0000508	WP_160606819.1	WP_160585153.1
OG0000510	WP_220200714.1	WP_020835873.1
OG0000512	WP_160585790.1	WP_160588287.1
OG0000513	WP_146379514.1	WP_146379514.1
OG0000514	WP_011290053.1	WP_011290053.1
OG0000515	WP_020835590.1	WP_160588078.1
OG0000516	WP_011206036.1	WP_011290062.1
OG0000517	WP_160606515.1	WP_011289986.1
OG0000518	WP_160606509.1	WP_160585531.1
OG0000519	WP_160606507.1	WP_160588021.1
OG0000520	WP_011206136.1	WP_011206136.1
OG0000522	WP_160606741.1	WP_160588189.1
OG0000523	WP_020835904.1	WP_020835904.1
OG0000524	WP_011206301.1	WP_011206301.1
OG0000525	WP_160606439.1	WP_160585006.1
OG0000526	WP_160606433.1	WP_160587807.1
OG0000527	WP_094521720.1	WP_011206309.1
OG0000528	WP_011205922.1	WP_011205922.1
OG0000529	WP_160606419.1	WP_160587827.1
OG0000531	WP_011284377.1	WP_160588158.1
OG0000532	WP_160606907.1	WP_160588160.1
OG0000533	WP_160606911.1	WP_160587986.1
OG0000534	WP_020835615.1	WP_020835615.1
OG0000535	WP_160606575.1	WP_160587856.1
OG0000536	WP_160588293.1	WP_160588293.1
OG0000537	WP_160606674.1	WP_160587963.1
OG0000538	WP_160606963.1	WP_160588366.1
OG0000539	WP_146379513.1	WP_146379513.1
OG0000540	WP_160606793.1	WP_160588146.1
OG0000542	WP_160606923.1	WP_160588166.1
OG0000544	WP_160606801.1	WP_308507097.1, WP_258555308.1
OG0000545	WP_308507102.1	WP_308507102.1
OG0000546	WP_146379706.1	WP_011206407.1
OG0000548	WP_160606427.1	WP_160587822.1
OG0000549	WP_160606961.1	WP_258555378.1
OG0000550	WP_160606603.1	WP_160587921.1
OG0000551	WP_258555438.1	WP_160588372.1, WP_160585744.1
OG0000551	WP_160606891.1	WP_160588333.1
OG0000552	WP_160606457.1	WP_160587882.1
OG0000553	WP_258555457.1	WP_258555346.1
OG0000554	WP_258555394.1	WP_225972970.1
OG0000557	WP_258555486.1	WP_020835495.1
OG0000558	WP_160606725.1	WP_160585727.1
OG0000559	WP_011206330.1	WP_160587832.1
OG0000560	WP_258555239.1	WP_258555239.1
OG0000561	WP_094521504.1, WP_160606971.1	WP_044284704.1
OG0000565	WP_160606895.1	WP_160588124.1
OG0000566	WP_160606893.1	WP_160588374.1
OG0000567	WP_160606546.1	WP_160588001.1
OG0000568	WP_160606544.1	WP_011205983.1
OG0000569	WP_308704591.1	WP_233688696.1
OG0000570	WP_160606542.1	WP_135618664.1
OG0000571	WP_160606917.1	WP_160587999.1
OG0000572	WP_160587997.1	WP_160587997.1
OG0000573	WP_160606915.1	WP_160587995.1
OG0000574	WP_160606913.1	WP_014579697.1
OG0000575	WP_011290073.1	WP_160584672.1
OG0000576	WP_044272325.1	WP_044272325.1
OG0000577	WP_011290145.1	WP_160585066.1
OG0000578	WP_160606786.1	WP_160588207.1
OG0000579	WP_160606784.1	WP_160588205.1
OG0000580	WP_160606779.1	WP_011290150.1
OG0000581	WP_020835676.1	WP_135618777.1
OG0000582	WP_020835677.1	WP_011206161.1
OG0000583	WP_011290172.1	WP_160587877.1
OG0000584	WP_160606454.1	WP_011284100.1
OG0000585	WP_146379618.1	WP_146379618.1
OG0000586	WP_225972971.1	WP_258555255.1
OG0000587	WP_160606459.1	WP_160587884.1
OG0000588	WP_135618818.1	WP_160587888.1
OG0000589	WP_160606463.1	WP_011290181.1
OG0000590	WP_258555377.1	WP_258555377.1
