Orthogroup	MHP_168_genes	MHP_TB1_genes
OG0000043	MHP168_RS01205	B5M19_RS02270
OG0000044	MHP168_RS01880	B5M19_RS00620
OG0000045	MHP168_RS01795	B5M19_RS03325
OG0000046	MHP168_RS03265	B5M19_RS03125
OG0000047	MHP168_RS03530	B5M19_RS04440
OG0000047	MHP168_RS01230	B5M19_RS02295
OG0000048	MHP168_RS02190	B5M19_RS03695
OG0000049	MHP168_RS03035	B5M19_RS01455
OG0000050	MHP168_RS02450	B5M19_RS02825
OG0000051	MHP168_RS04010	B5M19_RS04110
OG0000051	MHP168_RS02660	B5M19_RS00915
OG0000052	MHP168_RS00070	B5M19_RS00005
OG0000053	MHP168_RS01535	B5M19_RS01120
OG0000054	MHP168_RS02475	B5M19_RS02800
OG0000055	MHP168_RS00110	B5M19_RS00045
OG0000056	MHP168_RS03500	B5M19_RS00375
OG0000057	MHP168_RS02935	B5M19_RS01340
OG0000058	MHP168_RS01190	B5M19_RS02250
OG0000058	MHP168_RS03570	B5M19_RS02905
OG0000059	MHP168_RS03925	B5M19_RS02265
OG0000059	MHP168_RS03560	B5M19_RS03935
OG0000060	MHP168_RS01270	B5M19_RS04370
OG0000060	MHP168_RS00075	B5M19_RS03995
OG0000061	MHP168_RS01940	B5M19_RS00680
OG0000061	MHP168_RS01655	B5M19_RS03265
OG0000062	MHP168_RS03625	B5M19_RS01970
OG0000063	MHP168_RS03620	B5M19_RS01975
OG0000064	MHP168_RS03610	B5M19_RS01990
OG0000065	MHP168_RS02125	B5M19_RS02925
OG0000066	MHP168_RS01440	B5M19_RS01220
OG0000067	MHP168_RS00505	B5M19_RS02375
OG0000068	MHP168_RS03810	B5M19_RS04480
OG0000069	MHP168_RS02825	B5M19_RS03520
OG0000070	MHP168_RS02480	B5M19_RS02795
OG0000071	MHP168_RS03250	B5M19_RS02995
OG0000072	MHP168_RS03255	B5M19_RS02990
OG0000073	MHP168_RS00950	B5M19_RS01840
OG0000074	MHP168_RS00760	B5M19_RS01645
OG0000075	MHP168_RS00315	B5M19_RS00265
OG0000076	MHP168_RS00330	B5M19_RS00280
OG0000077	MHP168_RS00420	B5M19_RS03440
OG0000078	MHP168_RS01745	B5M19_RS02055
OG0000079	MHP168_RS02565	B5M19_RS01010
OG0000080	MHP168_RS03900	B5M19_RS03900
OG0000081	MHP168_RS00310	B5M19_RS00260
OG0000082	MHP168_RS03995	B5M19_RS04420
OG0000082	MHP168_RS04000	B5M19_RS04415
OG0000083	MHP168_RS02095	B5M19_RS00845
OG0000084	MHP168_RS02245	B5M19_RS02760
OG0000085	MHP168_RS02240	B5M19_RS02755
OG0000086	MHP168_RS02230	B5M19_RS02745
OG0000087	MHP168_RS02215	B5M19_RS02730
OG0000088	MHP168_RS02210	B5M19_RS02725
OG0000089	MHP168_RS02195	B5M19_RS03690
OG0000090	MHP168_RS00065	B5M19_RS03775
OG0000091	MHP168_RS00055	B5M19_RS04280
OG0000092	MHP168_RS00040	B5M19_RS01895
OG0000093	MHP168_RS00035	B5M19_RS01900
OG0000094	MHP168_RS00030	B5M19_RS01905
OG0000095	MHP168_RS00005	B5M19_RS04290
OG0000096	MHP168_RS03660	B5M19_RS01935
OG0000097	MHP168_RS03640	B5M19_RS01955
OG0000098	MHP168_RS03630	B5M19_RS04295
OG0000099	MHP168_RS03510	B5M19_RS00370
OG0000100	MHP168_RS03490	B5M19_RS00385
OG0000101	MHP168_RS03485	B5M19_RS00390
OG0000102	MHP168_RS01720	B5M19_RS02080
OG0000103	MHP168_RS02160	B5M19_RS02960
OG0000104	MHP168_RS02155	B5M19_RS04460
OG0000105	MHP168_RS02140	B5M19_RS02940
OG0000106	MHP168_RS02130	B5M19_RS02930
OG0000107	MHP168_RS02120	B5M19_RS04455
OG0000108	MHP168_RS02115	B5M19_RS04620
OG0000109	MHP168_RS02110	B5M19_RS02910
OG0000110	MHP168_RS02385	B5M19_RS02660
OG0000111	MHP168_RS02380	B5M19_RS02665
OG0000112	MHP168_RS02370	B5M19_RS02675
OG0000113	MHP168_RS02350	B5M19_RS02700
OG0000114	MHP168_RS02340	B5M19_RS02710
OG0000115	MHP168_RS02325	B5M19_RS03610
OG0000116	MHP168_RS01380	B5M19_RS02580
OG0000117	MHP168_RS01385	B5M19_RS02575
OG0000118	MHP168_RS01425	B5M19_RS01235
OG0000119	MHP168_RS01430	B5M19_RS01230
OG0000120	MHP168_RS01445	B5M19_RS01215
OG0000121	MHP168_RS01470	B5M19_RS01190
OG0000122	MHP168_RS01475	B5M19_RS01185
OG0000123	MHP168_RS01495	B5M19_RS01165
OG0000124	MHP168_RS01500	B5M19_RS01160
OG0000125	MHP168_RS01505	B5M19_RS01155
OG0000126	MHP168_RS01515	B5M19_RS01145
OG0000127	MHP168_RS01525	B5M19_RS01135
OG0000128	MHP168_RS01540	B5M19_RS01115
OG0000129	MHP168_RS01545	B5M19_RS01110
OG0000130	MHP168_RS01555	B5M19_RS01100
OG0000131	MHP168_RS01585	B5M19_RS01075
OG0000132	MHP168_RS01600	B5M19_RS01060
OG0000133	MHP168_RS00510	B5M19_RS02380
OG0000134	MHP168_RS00515	B5M19_RS02385
OG0000135	MHP168_RS00530	B5M19_RS02400
OG0000136	MHP168_RS00535	B5M19_RS02405
OG0000137	MHP168_RS00570	B5M19_RS02445
OG0000138	MHP168_RS01030	B5M19_RS03090
OG0000139	MHP168_RS01000	B5M19_RS03070
OG0000140	MHP168_RS00995	B5M19_RS03065
OG0000141	MHP168_RS02945	B5M19_RS01330
OG0000142	MHP168_RS02940	B5M19_RS01335
OG0000143	MHP168_RS02915	B5M19_RS01360
OG0000144	MHP168_RS02905	B5M19_RS01370
OG0000145	MHP168_RS02895	B5M19_RS01380
OG0000146	MHP168_RS02885	B5M19_RS01390
OG0000147	MHP168_RS02880	B5M19_RS01395
OG0000148	MHP168_RS02865	B5M19_RS01410
OG0000149	MHP168_RS02855	B5M19_RS01420
OG0000150	MHP168_RS02840	B5M19_RS04180
OG0000151	MHP168_RS02790	B5M19_RS02540
OG0000152	MHP168_RS02785	B5M19_RS02535
OG0000153	MHP168_RS02780	B5M19_RS02530
OG0000154	MHP168_RS02770	B5M19_RS02520
OG0000155	MHP168_RS02730	B5M19_RS02480
OG0000156	MHP168_RS02720	B5M19_RS00860
OG0000157	MHP168_RS02715	B5M19_RS00865
OG0000158	MHP168_RS04090	B5M19_RS04580
OG0000159	MHP168_RS02465	B5M19_RS02810
OG0000160	MHP168_RS02460	B5M19_RS02815
OG0000161	MHP168_RS02455	B5M19_RS02820
OG0000162	MHP168_RS02445	B5M19_RS02830
OG0000163	MHP168_RS02440	B5M19_RS02835
OG0000164	MHP168_RS01810	B5M19_RS04495
OG0000165	MHP168_RS02010	B5M19_RS00760
OG0000166	MHP168_RS02035	B5M19_RS00785
OG0000167	MHP168_RS02050	B5M19_RS00800
OG0000168	MHP168_RS02055	B5M19_RS00805
OG0000169	MHP168_RS03030	B5M19_RS01450
OG0000170	MHP168_RS03045	B5M19_RS01465
OG0000171	MHP168_RS03055	B5M19_RS01475
OG0000172	MHP168_RS03060	B5M19_RS01480
OG0000173	MHP168_RS03065	B5M19_RS01490
OG0000174	MHP168_RS03070	B5M19_RS01495
OG0000175	MHP168_RS03085	B5M19_RS01510
OG0000176	MHP168_RS03135	B5M19_RS01560
OG0000177	MHP168_RS03140	B5M19_RS01565
OG0000178	MHP168_RS03145	B5M19_RS04200
OG0000179	MHP168_RS03155	B5M19_RS01580
OG0000180	MHP168_RS03160	B5M19_RS01585
OG0000181	MHP168_RS03200	B5M19_RS03045
OG0000182	MHP168_RS03210	B5M19_RS03035
OG0000183	MHP168_RS03245	B5M19_RS03000
OG0000184	MHP168_RS03285	B5M19_RS03105
OG0000185	MHP168_RS03270	B5M19_RS03120
OG0000186	MHP168_RS01610	B5M19_RS03550
OG0000187	MHP168_RS01625	B5M19_RS03535
OG0000188	MHP168_RS01635	B5M19_RS03525
OG0000189	MHP168_RS02300	B5M19_RS03210
OG0000190	MHP168_RS02295	B5M19_RS03215
OG0000191	MHP168_RS02275	B5M19_RS03235
OG0000192	MHP168_RS01290	B5M19_RS03675
OG0000193	MHP168_RS01280	B5M19_RS02360
OG0000194	MHP168_RS00965	B5M19_RS01855
OG0000195	MHP168_RS00960	B5M19_RS01850
OG0000196	MHP168_RS00940	B5M19_RS01830
OG0000197	MHP168_RS00935	B5M19_RS01825
OG0000198	MHP168_RS00920	B5M19_RS01810
OG0000199	MHP168_RS00915	B5M19_RS01805
OG0000200	MHP168_RS00905	B5M19_RS01790
OG0000201	MHP168_RS00895	B5M19_RS01780
OG0000202	MHP168_RS00840	B5M19_RS01725
OG0000203	MHP168_RS00835	B5M19_RS01720
OG0000204	MHP168_RS00830	B5M19_RS01715
OG0000205	MHP168_RS00825	B5M19_RS01710
OG0000206	MHP168_RS00805	B5M19_RS01690
OG0000207	MHP168_RS00790	B5M19_RS01675
OG0000208	MHP168_RS00785	B5M19_RS01670
OG0000209	MHP168_RS00780	B5M19_RS01665
OG0000210	MHP168_RS00730	B5M19_RS01620
OG0000211	MHP168_RS00715	B5M19_RS03415
OG0000212	MHP168_RS00705	B5M19_RS03405
OG0000213	MHP168_RS03705	B5M19_RS03400
OG0000214	MHP168_RS00700	B5M19_RS03395
OG0000215	MHP168_RS00695	B5M19_RS03390
OG0000216	MHP168_RS00690	B5M19_RS03385
OG0000217	MHP168_RS00685	B5M19_RS03380
OG0000218	MHP168_RS00675	B5M19_RS03370
OG0000219	MHP168_RS00670	B5M19_RS03365
OG0000220	MHP168_RS00665	B5M19_RS03360
OG0000221	MHP168_RS00660	B5M19_RS03355
OG0000222	MHP168_RS00655	B5M19_RS03350
OG0000223	MHP168_RS00650	B5M19_RS03345
OG0000224	MHP168_RS00640	B5M19_RS03130
OG0000225	MHP168_RS00630	B5M19_RS03140
OG0000226	MHP168_RS00625	B5M19_RS03145
OG0000227	MHP168_RS00620	B5M19_RS03150
OG0000228	MHP168_RS04100	B5M19_RS04630
OG0000229	MHP168_RS00610	B5M19_RS03160
OG0000230	MHP168_RS00605	B5M19_RS03165
OG0000231	MHP168_RS00595	B5M19_RS03175
OG0000232	MHP168_RS00585	B5M19_RS03185
OG0000233	MHP168_RS01075	B5M19_RS02225
OG0000234	MHP168_RS01110	B5M19_RS04335
OG0000235	MHP168_RS01120	B5M19_RS02175
OG0000236	MHP168_RS01125	B5M19_RS02170
OG0000237	MHP168_RS01130	B5M19_RS02165
OG0000238	MHP168_RS01140	B5M19_RS02155
OG0000239	MHP168_RS02955	B5M19_RS01315
OG0000240	MHP168_RS02960	B5M19_RS01310
OG0000241	MHP168_RS02970	B5M19_RS01300
OG0000242	MHP168_RS02975	B5M19_RS04160
OG0000243	MHP168_RS02980	B5M19_RS01290
OG0000244	MHP168_RS02990	B5M19_RS01280
OG0000245	MHP168_RS03000	B5M19_RS01270
OG0000246	MHP168_RS00115	B5M19_RS00050
OG0000247	MHP168_RS00125	B5M19_RS00060
OG0000248	MHP168_RS00135	B5M19_RS00070
OG0000249	MHP168_RS00140	B5M19_RS00075
OG0000250	MHP168_RS00155	B5M19_RS03880
OG0000251	MHP168_RS00180	B5M19_RS00125
OG0000252	MHP168_RS00190	B5M19_RS00135
OG0000253	MHP168_RS00195	B5M19_RS00140
OG0000254	MHP168_RS00205	B5M19_RS00150
OG0000255	MHP168_RS00215	B5M19_RS00160
OG0000256	MHP168_RS00220	B5M19_RS00165
OG0000257	MHP168_RS00245	B5M19_RS00190
OG0000258	MHP168_RS00255	B5M19_RS04020
OG0000259	MHP168_RS00285	B5M19_RS00230
OG0000260	MHP168_RS00295	B5M19_RS00240
OG0000261	MHP168_RS00305	B5M19_RS00250
OG0000262	MHP168_RS00320	B5M19_RS00270
OG0000263	MHP168_RS00335	B5M19_RS00285
OG0000264	MHP168_RS00350	B5M19_RS04030
OG0000265	MHP168_RS00360	B5M19_RS00315
OG0000266	MHP168_RS00375	B5M19_RS00335
OG0000267	MHP168_RS00390	B5M19_RS04035
OG0000268	MHP168_RS00395	B5M19_RS00355
OG0000269	MHP168_RS00410	B5M19_RS03680
OG0000270	MHP168_RS03460	B5M19_RS00415
OG0000271	MHP168_RS03455	B5M19_RS00420
OG0000272	MHP168_RS03450	B5M19_RS00425
OG0000273	MHP168_RS03445	B5M19_RS00430
OG0000274	MHP168_RS03425	B5M19_RS00450
OG0000275	MHP168_RS03420	B5M19_RS00455
OG0000276	MHP168_RS03415	B5M19_RS00460
OG0000277	MHP168_RS03405	B5M19_RS00470
OG0000278	MHP168_RS03400	B5M19_RS00475
OG0000279	MHP168_RS03390	B5M19_RS00485
OG0000280	MHP168_RS03385	B5M19_RS00490
OG0000281	MHP168_RS03790	B5M19_RS00495
OG0000282	MHP168_RS03360	B5M19_RS00520
OG0000283	MHP168_RS03355	B5M19_RS00525
OG0000284	MHP168_RS03350	B5M19_RS00530
OG0000285	MHP168_RS03345	B5M19_RS00535
OG0000286	MHP168_RS02425	B5M19_RS02850
OG0000287	MHP168_RS02525	B5M19_RS01050
OG0000288	MHP168_RS02535	B5M19_RS01040
OG0000289	MHP168_RS02540	B5M19_RS01035
OG0000290	MHP168_RS02650	B5M19_RS04120
OG0000291	MHP168_RS02640	B5M19_RS00935
OG0000292	MHP168_RS02635	B5M19_RS00940
OG0000293	MHP168_RS02630	B5M19_RS00945
OG0000294	MHP168_RS02620	B5M19_RS00955
OG0000295	MHP168_RS02615	B5M19_RS00960
OG0000296	MHP168_RS02575	B5M19_RS01000
OG0000297	MHP168_RS02570	B5M19_RS01005
OG0000298	MHP168_RS00150	B5M19_RS00085
OG0000299	MHP168_RS03690	B5M19_RS00110
OG0000300	MHP168_RS00345	B5M19_RS00300
OG0000301	MHP168_RS00380	B5M19_RS00340
OG0000302	MHP168_RS00385	B5M19_RS00345
OG0000303	MHP168_RS00540	B5M19_RS02410
OG0000304	MHP168_RS00580	B5M19_RS03190
OG0000305	MHP168_RS02890	B5M19_RS01385
OG0000306	MHP168_RS02810	B5M19_RS02560
OG0000307	MHP168_RS02775	B5M19_RS02525
OG0000308	MHP168_RS02675	B5M19_RS00905
OG0000309	MHP168_RS02605	B5M19_RS00970
OG0000310	MHP168_RS02530	B5M19_RS01045
OG0000311	MHP168_RS02485	B5M19_RS02790
OG0000312	MHP168_RS02470	B5M19_RS02805
OG0000313	MHP168_RS01820	B5M19_RS03300
OG0000314	MHP168_RS02030	B5M19_RS00780
OG0000315	MHP168_RS02060	B5M19_RS00810
OG0000316	MHP168_RS02070	B5M19_RS00820
OG0000317	MHP168_RS02205	B5M19_RS02720
OG0000318	MHP168_RS02075	B5M19_RS00825
OG0000319	MHP168_RS02145	B5M19_RS02945
OG0000320	MHP168_RS02360	B5M19_RS04425
OG0000321	MHP168_RS01420	B5M19_RS01240
OG0000322	MHP168_RS01465	B5M19_RS01195
OG0000323	MHP168_RS01595	B5M19_RS01065
OG0000324	MHP168_RS02270	B5M19_RS03240
OG0000325	MHP168_RS00955	B5M19_RS01845
OG0000326	MHP168_RS00865	B5M19_RS01750
OG0000327	MHP168_RS00860	B5M19_RS01745
OG0000328	MHP168_RS00775	B5M19_RS01660
OG0000329	MHP168_RS00750	B5M19_RS01640
OG0000330	MHP168_RS01085	B5M19_RS02210
OG0000331	MHP168_RS02985	B5M19_RS01285
OG0000332	MHP168_RS03095	B5M19_RS01520
OG0000333	MHP168_RS03105	B5M19_RS01530
OG0000334	MHP168_RS03205	B5M19_RS03040
OG0000335	MHP168_RS03215	B5M19_RS03030
OG0000336	MHP168_RS03375	B5M19_RS00505
OG0000337	MHP168_RS03615	B5M19_RS01985
OG0000338	MHP168_RS03655	B5M19_RS01940
OG0000339	MHP168_RS02330	B5M19_RS03615
OG0000340	MHP168_RS01395	B5M19_RS02565
OG0000341	MHP168_RS02290	B5M19_RS03220
OG0000342	MHP168_RS00925	B5M19_RS01815
OG0000343	MHP168_RS03115	B5M19_RS04195
OG0000344	MHP168_RS00555	B5M19_RS02425
OG0000345	MHP168_RS00635	B5M19_RS03135
OG0000346	MHP168_RS03380	B5M19_RS04590
OG0000347	MHP168_RS01490	B5M19_RS01170
OG0000348	MHP168_RS00855	B5M19_RS01740
OG0000349	MHP168_RS03435	B5M19_RS00440
OG0000350	MHP168_RS02765	B5M19_RS02515
OG0000351	MHP168_RS00475	B5M19_RS03490
OG0000352	MHP168_RS02005	B5M19_RS00755
OG0000353	MHP168_RS01460	B5M19_RS01200
OG0000354	MHP168_RS01015	B5M19_RS03080
OG0000355	MHP168_RS01975	B5M19_RS00725
OG0000356	MHP168_RS02065	B5M19_RS00815
OG0000357	MHP168_RS03075	B5M19_RS01500
OG0000358	MHP168_RS03080	B5M19_RS01505
OG0000359	MHP168_RS00885	B5M19_RS01770
OG0000360	MHP168_RS00250	B5M19_RS00195
OG0000361	MHP168_RS00280	B5M19_RS00225
OG0000362	MHP168_RS02550	B5M19_RS01025
OG0000363	MHP168_RS01530	B5M19_RS01125
OG0000364	MHP168_RS01955	B5M19_RS00700
OG0000365	MHP168_RS02260	B5M19_RS02775
OG0000366	MHP168_RS02235	B5M19_RS02750
OG0000367	MHP168_RS02225	B5M19_RS02740
OG0000368	MHP168_RS00060	B5M19_RS04270
OG0000369	MHP168_RS00025	B5M19_RS01910
OG0000370	MHP168_RS00020	B5M19_RS01915
OG0000371	MHP168_RS00015	B5M19_RS01920
OG0000372	MHP168_RS00010	B5M19_RS01925
OG0000373	MHP168_RS03645	B5M19_RS01950
OG0000374	MHP168_RS03635	B5M19_RS01960
OG0000375	MHP168_RS02150	B5M19_RS02950
OG0000376	MHP168_RS02375	B5M19_RS02670
OG0000377	MHP168_RS02365	B5M19_RS02680
OG0000378	MHP168_RS01375	B5M19_RS02585
OG0000379	MHP168_RS01455	B5M19_RS01205
OG0000380	MHP168_RS01480	B5M19_RS01180
OG0000381	MHP168_RS01520	B5M19_RS01140
OG0000382	MHP168_RS01550	B5M19_RS01105
OG0000383	MHP168_RS01590	B5M19_RS01070
OG0000384	MHP168_RS00495	B5M19_RS02365
OG0000385	MHP168_RS00500	B5M19_RS02370
OG0000386	MHP168_RS00520	B5M19_RS02390
OG0000387	MHP168_RS00545	B5M19_RS02415
OG0000388	MHP168_RS00550	B5M19_RS02420
OG0000389	MHP168_RS01035	B5M19_RS03095
OG0000390	MHP168_RS02910	B5M19_RS01365
OG0000391	MHP168_RS02900	B5M19_RS01375
OG0000392	MHP168_RS02875	B5M19_RS01400
OG0000393	MHP168_RS02815	B5M19_RS03515
OG0000394	MHP168_RS02740	B5M19_RS02490
OG0000395	MHP168_RS02735	B5M19_RS02485
OG0000396	MHP168_RS02430	B5M19_RS02845
OG0000397	MHP168_RS01990	B5M19_RS00740
OG0000398	MHP168_RS01995	B5M19_RS00745
OG0000399	MHP168_RS02045	B5M19_RS00795
OG0000400	MHP168_RS03040	B5M19_RS01460
OG0000401	MHP168_RS03100	B5M19_RS01525
OG0000402	MHP168_RS03110	B5M19_RS01535
OG0000404	MHP168_RS03150	B5M19_RS04205
OG0000405	MHP168_RS03165	B5M19_RS01590
OG0000406	MHP168_RS03220	B5M19_RS03025
OG0000407	MHP168_RS03225	B5M19_RS03020
OG0000408	MHP168_RS03230	B5M19_RS03015
OG0000409	MHP168_RS03235	B5M19_RS03010
OG0000410	MHP168_RS03290	B5M19_RS03100
OG0000411	MHP168_RS03280	B5M19_RS03110
OG0000412	MHP168_RS03275	B5M19_RS03115
OG0000413	MHP168_RS01605	B5M19_RS03555
OG0000414	MHP168_RS01615	B5M19_RS03545
OG0000415	MHP168_RS01620	B5M19_RS03540
OG0000416	MHP168_RS01630	B5M19_RS03530
OG0000417	MHP168_RS03990	B5M19_RS03225
OG0000418	MHP168_RS02280	B5M19_RS03230
OG0000419	MHP168_RS00945	B5M19_RS01835
OG0000420	MHP168_RS00910	B5M19_RS01800
OG0000421	MHP168_RS00880	B5M19_RS01765
OG0000422	MHP168_RS00870	B5M19_RS01755
OG0000423	MHP168_RS00815	B5M19_RS01700
OG0000424	MHP168_RS00810	B5M19_RS01695
OG0000425	MHP168_RS00800	B5M19_RS01685
OG0000426	MHP168_RS00795	B5M19_RS01680
OG0000427	MHP168_RS00770	B5M19_RS01655
OG0000428	MHP168_RS00740	B5M19_RS01630
OG0000430	MHP168_RS00600	B5M19_RS03170
OG0000431	MHP168_RS00590	B5M19_RS03180
OG0000432	MHP168_RS01080	B5M19_RS04345
OG0000433	MHP168_RS01095	B5M19_RS02200
OG0000434	MHP168_RS01100	B5M19_RS02195
OG0000435	MHP168_RS01115	B5M19_RS02180
OG0000436	MHP168_RS01145	B5M19_RS02150
OG0000437	MHP168_RS01155	B5M19_RS02140
OG0000438	MHP168_RS01160	B5M19_RS02135
OG0000439	MHP168_RS01165	B5M19_RS02130
OG0000440	MHP168_RS02965	B5M19_RS04165
OG0000441	MHP168_RS03010	B5M19_RS01265
OG0000442	MHP168_RS00120	B5M19_RS00055
OG0000443	MHP168_RS00165	B5M19_RS00105
OG0000444	MHP168_RS00175	B5M19_RS00120
OG0000445	MHP168_RS00200	B5M19_RS00145
OG0000446	MHP168_RS00230	B5M19_RS00175
OG0000447	MHP168_RS00235	B5M19_RS00180
OG0000448	MHP168_RS00265	B5M19_RS00210
OG0000449	MHP168_RS00290	B5M19_RS00235
OG0000450	MHP168_RS00300	B5M19_RS00245
OG0000451	MHP168_RS00340	B5M19_RS00295
OG0000452	MHP168_RS00365	B5M19_RS00330
OG0000453	MHP168_RS00400	B5M19_RS04040
OG0000454	MHP168_RS01785	B5M19_RS04505
OG0000455	MHP168_RS03480	B5M19_RS00395
OG0000456	MHP168_RS03365	B5M19_RS00515
OG0000457	MHP168_RS03340	B5M19_RS00540
OG0000458	MHP168_RS02520	B5M19_RS01055
OG0000459	MHP168_RS02545	B5M19_RS01030
OG0000460	MHP168_RS02555	B5M19_RS01020
OG0000461	MHP168_RS02600	B5M19_RS04125
OG0000462	MHP168_RS02595	B5M19_RS00980
OG0000463	MHP168_RS02590	B5M19_RS04130
OG0000464	MHP168_RS02585	B5M19_RS00990
OG0000465	MHP168_RS02580	B5M19_RS00995
OG0000467	MHP168_RS02685	B5M19_RS00895
OG0000468	MHP168_RS02040	B5M19_RS00790
OG0000469	MHP168_RS02100	B5M19_RS00850
OG0000470	MHP168_RS03855	B5M19_RS03910
OG0000471	MHP168_RS00735	B5M19_RS01625
OG0000472	MHP168_RS03300	B5M19_RS00580
OG0000473	MHP168_RS03465	B5M19_RS00410
OG0000474	MHP168_RS03470	B5M19_RS00405
OG0000475	MHP168_RS03475	B5M19_RS00400
OG0000476	MHP168_RS01640	B5M19_RS03280
OG0000477	MHP168_RS02625	B5M19_RS00950
OG0000478	MHP168_RS03410	B5M19_RS00465
OG0000479	MHP168_RS01415	B5M19_RS04145
OG0000480	MHP168_RS03890	B5M19_RS03895
OG0000481	MHP168_RS00845	B5M19_RS01730
OG0000482	MHP168_RS01285	B5M19_RS03730
OG0000483	MHP168_RS02220	B5M19_RS02735
OG0000484	MHP168_RS00170	B5M19_RS00115
