Orthogroup	MFC_MF29_protein	MHP_MHP682_protein
OG0000084	WP_002557451.1	WP_011206222.1
OG0000085	WP_160581449.1	WP_011206224.1
OG0000086	WP_160581447.1	WP_160585778.1
OG0000087	WP_160581445.1	WP_220190703.1
OG0000088	WP_258555794.1	WP_044272477.1
OG0000089	WP_160581443.1	WP_044272480.1
OG0000090	WP_002557461.1	WP_011206231.1
OG0000091	WP_002557464.1	WP_146379447.1
OG0000092	WP_160581085.1	WP_160585750.1
OG0000093	WP_160581089.1	WP_160585774.1
OG0000094	WP_002557468.1	WP_020835487.1
OG0000095	WP_160581091.1	WP_160584852.1
OG0000096	WP_002557470.1	WP_160584854.1
OG0000097	WP_160581094.1	WP_011205847.1
OG0000098	WP_002557472.1	WP_020835484.1
OG0000099	WP_160581096.1	WP_014579519.1
OG0000100	WP_002557477.1	WP_146379443.1
OG0000101	WP_002557478.1	WP_160584860.1
OG0000102	WP_002557479.1	WP_160585829.1
OG0000103	WP_002557480.1	WP_011206529.1
OG0000104	WP_160581100.1	WP_160585758.1
OG0000105	WP_160581102.1	WP_258555535.1
OG0000106	WP_160581104.1	WP_160585759.1
OG0000107	WP_160581106.1	WP_160585760.1
OG0000108	WP_160581109.1	WP_011206522.1
OG0000109	WP_160581110.1	WP_160585761.1
OG0000110	WP_160581114.1	WP_011290440.1
OG0000111	WP_002557497.1	WP_011206510.1
OG0000112	WP_160581128.1	WP_160585050.1
OG0000113	WP_160581130.1	WP_160585693.1
OG0000114	WP_160581132.1	WP_160585692.1
OG0000115	WP_160581150.1	WP_160585769.1
OG0000116	WP_002557510.1	WP_011206239.1
OG0000117	WP_002557511.1	WP_011284163.1
OG0000118	WP_160581154.1	WP_135618882.1
OG0000119	WP_160581156.1	WP_160585770.1
OG0000120	WP_160581158.1	WP_160585771.1
OG0000121	WP_002557518.1	WP_011284169.1
OG0000122	WP_308704655.1	WP_192894278.1
OG0000123	WP_160581160.1	WP_160585726.1
OG0000124	WP_220200563.1	WP_258555345.1
OG0000125	WP_160581163.1	WP_160585724.1
OG0000126	WP_160581165.1	WP_237697204.1
OG0000127	WP_160581167.1	WP_011206271.1
OG0000128	WP_002557528.1	WP_160585296.1
OG0000129	WP_258555776.1	WP_258555347.1
OG0000130	WP_002557532.1	WP_160585718.1
OG0000131	WP_160581174.1	WP_160585556.1
OG0000132	WP_160581176.1	WP_135618674.1
OG0000133	WP_160581178.1	WP_160585555.1
OG0000134	WP_160581180.1	WP_160585681.1
OG0000135	WP_160581182.1	WP_160585680.1
OG0000136	WP_160581185.1	WP_011290108.1
OG0000137	WP_160581187.1	WP_160585678.1
OG0000138	WP_002557542.1	WP_160585677.1
OG0000139	WP_002557543.1	WP_011205965.1
OG0000140	WP_160581189.1	WP_160585676.1
OG0000141	WP_160581190.1	WP_044284614.1
OG0000142	WP_160581194.1	WP_011284032.1
OG0000143	WP_002557549.1	WP_160585674.1
OG0000144	WP_160581198.1	WP_160585673.1
OG0000145	WP_160581199.1	WP_011205954.1
OG0000146	WP_160581201.1	WP_011205953.1
OG0000147	WP_160581203.1	WP_011205952.1
OG0000148	WP_160581207.1	WP_160585671.1
OG0000149	WP_160581209.1	WP_160585670.1
OG0000150	WP_160581211.1	WP_011290122.1
OG0000151	WP_220200596.1	WP_160585821.1
OG0000152	WP_160581457.1	WP_160585820.1
OG0000153	WP_160581459.1	WP_014579732.1
OG0000154	WP_160581461.1	WP_160585810.1
OG0000155	WP_002557565.1	WP_011284046.1
OG0000156	WP_002557566.1	WP_146379566.1
OG0000157	WP_002557567.1	WP_160585809.1
OG0000158	WP_160581465.1	WP_094521636.1
OG0000159	WP_160581005.1	WP_160585832.1
OG0000160	WP_160580850.1	WP_160585740.1
OG0000161	WP_002557574.1	WP_094521764.1
OG0000162	WP_160580852.1	WP_308507009.1
OG0000163	WP_002557576.1	WP_011206121.1
OG0000164	WP_002557577.1	WP_011206120.1
OG0000165	WP_160580854.1	WP_011206119.1
OG0000166	WP_160580858.1	WP_160585739.1
OG0000167	WP_160580860.1	WP_160585142.1
OG0000168	WP_002557585.1	WP_011206113.1
OG0000169	WP_002557589.1	WP_160584791.1
OG0000170	WP_160580868.1	WP_160585793.1
OG0000171	WP_160580872.1	WP_011206102.1
OG0000172	WP_002557595.1	WP_011206101.1
OG0000173	WP_002557602.1	WP_146379698.1
OG0000174	WP_002557603.1	WP_160585625.1
OG0000175	WP_160580878.1	WP_160585624.1
OG0000176	WP_160580880.1	WP_011206391.1
OG0000177	WP_160580882.1	WP_011290340.1
OG0000178	WP_160580884.1	WP_160585623.1
OG0000179	WP_160580886.1	WP_020835843.1
OG0000180	WP_002557613.1	WP_011206385.1
OG0000181	WP_002557614.1	WP_011206384.1
OG0000182	WP_160580892.1	WP_160585621.1
OG0000183	WP_160580896.1	WP_135619012.1
OG0000184	WP_160580900.1	WP_011290331.1
OG0000185	WP_160580902.1	WP_160585619.1
OG0000186	WP_160580903.1	WP_146379689.1
OG0000187	WP_002557623.1	WP_135619006.1
OG0000188	WP_160580907.1	WP_160585683.1
OG0000189	WP_160580918.1	WP_160585685.1
OG0000190	WP_160580920.1	WP_160585686.1
OG0000191	WP_160580922.1	WP_011206347.1
OG0000192	WP_160580926.1	WP_011206345.1
OG0000193	WP_160580928.1	WP_160585121.1
OG0000194	WP_002557642.1	WP_020835820.1
OG0000195	WP_160580939.1	WP_160585657.1
OG0000196	WP_160580941.1	WP_160585658.1
OG0000197	WP_002557648.1	WP_014579918.1
OG0000198	WP_002557650.1	WP_146379680.1
OG0000199	WP_002557667.1	WP_011206289.1
OG0000200	WP_160580992.1	WP_160590318.1
OG0000201	WP_160580994.1	WP_011206287.1
OG0000202	WP_160581410.1	WP_011290136.1
OG0000203	WP_160581412.1	WP_011284063.1
OG0000204	WP_160581414.1	WP_135618732.1
OG0000205	WP_160581416.1	WP_014579804.1
OG0000206	WP_160581417.1	WP_011206196.1
OG0000207	WP_160581419.1	WP_146379611.1
OG0000208	WP_160581421.1	WP_160585603.1
OG0000209	WP_002557684.1	WP_011206200.1
OG0000210	WP_160581423.1	WP_011284126.1
OG0000211	WP_220190081.1	WP_160585597.1
OG0000212	WP_160581429.1	WP_011206207.1
OG0000213	WP_002557693.1	WP_160585173.1
OG0000214	WP_002557703.1	WP_160585652.1
OG0000215	WP_160581256.1	WP_160585650.1
OG0000216	WP_002557707.1	WP_011206424.1
OG0000217	WP_002557708.1	WP_160585649.1
OG0000218	WP_002557709.1	WP_160585648.1
OG0000219	WP_160581261.1	WP_160585644.1
OG0000220	WP_160581263.1	WP_011206432.1
OG0000221	WP_160581265.1	WP_160585643.1
OG0000222	WP_160581268.1	WP_011284321.1
OG0000223	WP_160581270.1	WP_160585273.1
OG0000224	WP_002557721.1	WP_044272620.1
OG0000225	WP_160581272.1	WP_160585640.1
OG0000226	WP_160581274.1	WP_160585639.1
OG0000227	WP_002557725.1	WP_160585638.1
OG0000228	WP_002557726.1	WP_160585637.1
OG0000229	WP_039387691.1	WP_160585796.1
OG0000230	WP_002557729.1	WP_160585798.1
OG0000231	WP_002557731.1	WP_160585802.1
OG0000232	WP_160581280.1	WP_160585800.1
OG0000233	WP_002557733.1	WP_044284717.1
OG0000234	WP_002557734.1	WP_160585801.1
OG0000235	WP_002557735.1	WP_011206459.1
OG0000237	WP_002557739.1	WP_011206469.1
OG0000238	WP_160581467.1	WP_011206468.1
OG0000239	WP_160581469.1	WP_160585787.1
OG0000240	WP_002557742.1	WP_146379741.1
OG0000241	WP_002557743.1	WP_020835897.1
OG0000242	WP_160581401.1	WP_160585783.1
OG0000243	WP_160581290.1	WP_146379568.1
OG0000244	WP_160581292.1	WP_160585782.1
OG0000245	WP_002557751.1	WP_011290131.1
OG0000246	WP_002557752.1	WP_135618720.1
OG0000247	WP_002557753.1	WP_160585781.1
OG0000248	WP_002557754.1	WP_011284056.1
OG0000249	WP_002557755.1	WP_011205932.1
OG0000250	WP_160581293.1	WP_160585791.1
OG0000251	WP_002557757.1	WP_011206256.1
OG0000252	WP_002557760.1	WP_160585789.1
OG0000253	WP_002557761.1	WP_020835755.1
OG0000254	WP_160581299.1	WP_011284001.1
OG0000255	WP_002557766.1	WP_011283999.1
OG0000256	WP_160581301.1	WP_160585563.1
OG0000257	WP_002557768.1	WP_011283923.1
OG0000258	WP_002557769.1	WP_094521583.1
OG0000259	WP_039387630.1	WP_160584799.1
OG0000260	WP_002557773.1	WP_160585616.1
OG0000261	WP_160581303.1	WP_228729168.1
OG0000262	WP_002557775.1	WP_160584800.1
OG0000263	WP_002557778.1	WP_011283930.1
OG0000264	WP_002557779.1	WP_011206086.1
OG0000265	WP_220200575.1	WP_020835574.1
OG0000266	WP_002557781.1	WP_160585615.1
OG0000267	WP_160581305.1	WP_020835576.1
OG0000268	WP_002557783.1	WP_011283934.1
OG0000269	WP_002557784.1	WP_011290034.1
OG0000270	WP_002557785.1	WP_160585613.1
OG0000271	WP_160581307.1	WP_146379504.1
OG0000272	WP_002557791.1	WP_160584809.1
OG0000273	WP_160581315.1	WP_011206072.1
OG0000274	WP_160581361.1	WP_160585611.1
OG0000275	WP_160581359.1	WP_160585610.1
OG0000276	WP_002557796.1	WP_135618585.1
OG0000277	WP_160581357.1	WP_011290043.1
OG0000278	WP_002557798.1	WP_011290044.1
OG0000279	WP_002557799.1	WP_011206065.1
OG0000280	WP_258555790.1	WP_011206064.1
OG0000281	WP_160581354.1	WP_160585609.1
OG0000282	WP_002557802.1	WP_135618591.1
OG0000283	WP_002557803.1	WP_011206061.1
OG0000284	WP_160581348.1	WP_135618601.1
OG0000285	WP_160581347.1	WP_135618604.1
OG0000286	WP_002557813.1	WP_011290054.1
OG0000287	WP_002557814.1	WP_011206049.1
OG0000288	WP_002557815.1	WP_011206048.1
OG0000289	WP_002557816.1	WP_160585195.1
OG0000290	WP_002557817.1	WP_011206047.1
OG0000291	WP_160581343.1	WP_160585193.1
OG0000292	WP_160581341.1	WP_160585731.1
OG0000293	WP_160581339.1	WP_011290058.1
OG0000294	WP_002557823.1	WP_220190714.1
OG0000295	WP_002557824.1	WP_160585732.1
OG0000296	WP_002557825.1	WP_160585733.1
OG0000297	WP_002557826.1	WP_011206038.1
OG0000298	WP_002557827.1	WP_041361589.1
OG0000299	WP_002557831.1	WP_160585734.1
OG0000300	WP_002557832.1	WP_011206032.1
OG0000301	WP_002557833.1	WP_011206031.1
OG0000302	WP_002557834.1	WP_160585735.1
OG0000303	WP_002557835.1	WP_011206028.1
OG0000304	WP_160581335.1	WP_011206027.1
OG0000305	WP_002557837.1	WP_011290066.1
OG0000306	WP_160581334.1	WP_011206025.1
OG0000307	WP_002557839.1	WP_011290067.1
OG0000308	WP_002557840.1	WP_014579601.1
OG0000309	WP_160581330.1	WP_011290071.1
OG0000310	WP_160581328.1	WP_160585570.1
OG0000311	WP_002557845.1	WP_011206014.1
OG0000312	WP_160581326.1	WP_160585569.1
OG0000313	WP_318026671.1	WP_160585568.1
OG0000314	WP_002557849.1	WP_160584678.1
OG0000315	WP_002557850.1	WP_160585567.1
OG0000316	WP_160581215.1	WP_011283989.1
OG0000317	WP_002557855.1	WP_160585566.1
OG0000318	WP_002557856.1	WP_011283991.1
OG0000319	WP_002557857.1	WP_011206005.1
OG0000320	WP_160581219.1	WP_014579672.1
OG0000321	WP_160581221.1	WP_160585565.1
OG0000322	WP_160581223.1	WP_160585564.1
OG0000323	WP_002557863.1	WP_011290347.1
OG0000324	WP_002557864.1	WP_160585627.1
OG0000325	WP_160581244.1	WP_160585628.1
OG0000326	WP_002557866.1	WP_044284696.1
OG0000327	WP_160581246.1	WP_160585629.1
OG0000328	WP_002557868.1	WP_160585630.1
OG0000329	WP_002557870.1	WP_160585631.1
OG0000330	WP_002557872.1	WP_160585633.1
OG0000331	WP_160581250.1	WP_011284299.1
OG0000332	WP_160581082.1	WP_050195463.1
OG0000333	WP_160581080.1	WP_160585550.1
OG0000334	WP_160581077.1	WP_160585549.1
OG0000335	WP_160581069.1	WP_020835500.1
OG0000336	WP_160581063.1	WP_160585547.1
OG0000337	WP_160581059.1	WP_160584772.1
OG0000338	WP_160581057.1	WP_044272282.1
OG0000339	WP_160581053.1	WP_011205880.1
OG0000340	WP_002557891.1	WP_014579544.1
OG0000341	WP_002557892.1	WP_160585545.1
OG0000342	WP_160581051.1	WP_011205883.1
OG0000343	WP_160581049.1	WP_135618489.1
OG0000344	WP_002557895.1	WP_160585544.1
OG0000345	WP_160581047.1	WP_160585543.1
OG0000346	WP_002557898.1	WP_014579550.1
OG0000347	WP_002557899.1	WP_011205889.1
OG0000348	WP_002557900.1	WP_044272682.1
OG0000349	WP_002557901.1	WP_160585542.1
OG0000350	WP_002557902.1	WP_014579553.1
OG0000351	WP_002557903.1	WP_160585541.1
OG0000352	WP_002557904.1	WP_160585540.1
OG0000353	WP_160581044.1	WP_011289974.1
OG0000354	WP_220190183.1	WP_020835518.1
OG0000355	WP_160581042.1	WP_011205897.1
OG0000356	WP_160581040.1	WP_160585539.1
OG0000357	WP_160581038.1	WP_160585538.1
OG0000358	WP_160581036.1	WP_041361723.1
OG0000359	WP_002557912.1	WP_160585537.1
OG0000360	WP_160581035.1	WP_011289982.1
OG0000361	WP_002557914.1	WP_160585536.1
OG0000362	WP_160581032.1	WP_160585535.1
OG0000363	WP_002557919.1	WP_135618519.1
OG0000364	WP_160581024.1	WP_160584756.1
OG0000365	WP_160581022.1	WP_160585532.1
OG0000366	WP_160581017.1	WP_011283887.1
OG0000367	WP_002557927.1	WP_146379476.1
OG0000368	WP_002557928.1	WP_011205921.1
OG0000369	WP_002557930.1	WP_011205923.1
OG0000370	WP_160581015.1	WP_014579577.1
OG0000371	WP_160581013.1	WP_160585530.1
OG0000372	WP_002557935.1	WP_160585807.1
OG0000373	WP_002557936.1	WP_011206134.1
OG0000374	WP_160581138.1	WP_160585576.1
OG0000375	WP_160581371.1	WP_160585579.1
OG0000376	WP_002557946.1	WP_020835915.1
OG0000377	WP_002557947.1	WP_011284373.1
OG0000378	WP_002557948.1	WP_011206502.1
OG0000379	WP_160581373.1	WP_220191147.1
OG0000380	WP_160581375.1	WP_011290423.1
OG0000381	WP_160581377.1	WP_308507002.1
OG0000382	WP_002557954.1	WP_011290421.1
OG0000383	WP_160581382.1	WP_011206494.1
OG0000384	WP_002557959.1	WP_011290418.1
OG0000385	WP_002557960.1	WP_094521520.1
OG0000386	WP_002557961.1	WP_014580012.1
OG0000387	WP_160581386.1	WP_160585583.1
OG0000388	WP_160581388.1	WP_160585584.1
OG0000389	WP_002557965.1	WP_014580009.1
OG0000390	WP_160581390.1	WP_160585585.1
OG0000391	WP_002557967.1	WP_160585586.1
OG0000392	WP_160581392.1	WP_160585587.1
OG0000393	WP_160580983.1	WP_160585702.1
OG0000394	WP_002557978.1	WP_160585766.1
OG0000395	WP_002557980.1	WP_160585765.1
OG0000396	WP_160580975.1	WP_160585764.1
OG0000397	WP_002557984.1	WP_044272549.1
OG0000398	WP_002558003.1	WP_160585665.1
OG0000399	WP_002558005.1	WP_011206320.1
OG0000400	WP_160580955.1	WP_160585667.1
OG0000401	WP_002558007.1	WP_160585668.1
OG0000402	WP_160580957.1	WP_160585803.1
OG0000403	WP_160580958.1	WP_011206315.1
OG0000404	WP_160580962.1	WP_220191203.1
OG0000405	WP_002558013.1	WP_011284228.1
OG0000406	WP_002558017.1	WP_160585762.1
OG0000407	WP_160580964.1	WP_044272552.1
OG0000408	WP_160580966.1	WP_146379664.1
OG0000409	WP_160581061.1	WP_160585546.1
OG0000410	WP_039387487.1	WP_094521545.1
OG0000411	WP_039387496.1	WP_041361533.1
OG0000412	WP_039387501.1	WP_011283891.1
OG0000413	WP_039387504.1	WP_014579576.1
OG0000414	WP_160580856.1	WP_160585146.1
OG0000415	WP_160580864.1	WP_011283978.1
OG0000416	WP_258555751.1	WP_160585622.1
OG0000417	WP_160580924.1	WP_020835826.1
OG0000418	WP_220200546.1	WP_160585660.1
OG0000419	WP_160580950.1	WP_020835811.1
OG0000420	WP_160580960.1	WP_146379668.1
OG0000421	WP_160580977.1	WP_011206298.1
OG0000422	WP_039387548.1	WP_011206293.1
OG0000423	WP_039387554.1	WP_011206141.1
OG0000424	WP_039387562.1	WP_160585599.1
OG0000425	WP_160581431.1	WP_160585171.1
OG0000426	WP_160581432.1	WP_160585596.1
OG0000427	WP_160581441.1	WP_160585126.1
OG0000428	WP_039387592.1	WP_014579824.1
OG0000429	WP_160581470.1	WP_220190711.1
OG0000430	WP_308704654.1	WP_044272490.1
OG0000431	WP_160581169.1	WP_160585723.1
OG0000432	WP_039387610.1	WP_011205969.1
OG0000433	WP_039387613.1	WP_020835642.1
OG0000434	WP_160581463.1	WP_160585808.1
OG0000435	WP_160581297.1	WP_094521693.1
OG0000436	WP_039387628.1	WP_011206094.1
OG0000437	WP_039387636.1	WP_160585612.1
OG0000438	WP_160581309.1	WP_160584807.1
OG0000439	WP_039387641.1	WP_011206069.1
OG0000440	WP_220200580.1	WP_041361583.1
OG0000441	WP_160581352.1	WP_160585607.1
OG0000442	WP_039387651.1	WP_160585606.1
OG0000443	WP_039387658.1	WP_011206016.1
OG0000444	WP_039387665.1	WP_011206405.1
OG0000445	WP_039387681.1	WP_011290372.1
OG0000446	WP_039387683.1	WP_011206433.1
OG0000447	WP_160581276.1	WP_160585797.1
OG0000448	WP_160581278.1	WP_160585799.1
OG0000449	WP_039387704.1	WP_011206488.1
OG0000450	WP_039387707.1	WP_160585582.1
OG0000451	WP_039387713.1	WP_044272671.1
OG0000452	WP_039387719.1	WP_011205931.1
OG0000453	WP_160581112.1	WP_050195472.1
OG0000454	WP_039387723.1	WP_011284394.1
OG0000455	WP_039387750.1	WP_011290293.1
OG0000456	WP_160581439.1	WP_160585777.1
OG0000457	WP_160581172.1	WP_160585719.1
OG0000458	WP_039387777.1	WP_011205973.1
OG0000459	WP_039387782.1	WP_011290226.1
OG0000460	WP_039387785.1	WP_011290029.1
OG0000461	WP_039387808.1	WP_011206435.1
OG0000462	WP_160581379.1	WP_146379753.1
OG0000463	WP_258555777.1	WP_160585679.1
OG0000464	WP_051054279.1	WP_160585738.1
OG0000465	WP_051054304.1	WP_014579611.1
OG0000466	WP_081605287.1	WP_232039558.1
OG0000467	WP_160581124.1	WP_160585574.1
OG0000468	WP_081605280.1	WP_011205955.1
OG0000469	WP_308704659.1	WP_240536364.1
OG0000470	WP_160580898.1	WP_011206380.1
OG0000471	WP_155897264.1	WP_094521522.1
OG0000472	WP_169742226.1	WP_011206218.1
OG0000473	WP_308704660.1	WP_228729169.1
OG0000474	WP_220200545.1	WP_146379684.1
OG0000475	WP_220190748.1	WP_308507015.1
OG0000476	WP_220190833.1	WP_160585602.1
OG0000477	WP_236681784.1	WP_011206227.1
OG0000478	WP_308704656.1	WP_146379556.1
OG0000479	WP_220200544.1	WP_308507014.1
OG0000480	WP_231237866.1	WP_020835708.1
OG0000481	WP_308507120.1	WP_308506994.1
OG0000482	WP_002557710.1	WP_308507005.1
OG0000483	WP_160581259.1	WP_160585646.1
OG0000484	WP_231237877.1	WP_225973007.1
OG0000485	WP_231237879.1	WP_225973008.1
OG0000486	WP_258555761.1	WP_011289979.1
OG0000487	WP_255454460.1	WP_160585763.1
OG0000488	WP_308704657.1	WP_160585653.1
OG0000489	WP_334199004.1	WP_308507006.1
OG0000491	WP_160581087.1	WP_160585773.1
OG0000492	WP_308704650.1	WP_160585775.1
OG0000493	WP_002557476.1	WP_160585776.1
OG0000494	WP_160581098.1	WP_160585828.1
OG0000495	WP_160581116.1	WP_160585812.1
OG0000496	WP_160581171.1	WP_160585722.1
OG0000497	WP_002557546.1	WP_011205962.1
OG0000498	WP_160581196.1	WP_146379558.1
OG0000499	WP_160581205.1	WP_160585672.1
OG0000500	WP_160580848.1	WP_160585716.1
OG0000501	WP_160580862.1	WP_160585737.1
OG0000502	WP_160580870.1	WP_020835567.1
OG0000503	WP_002557605.1	WP_225972997.1
OG0000504	WP_160580905.1	WP_011206375.1
OG0000505	WP_002557639.1	WP_011290314.1
OG0000506	WP_002557640.1	WP_160585688.1
OG0000507	WP_160580943.1	WP_011284249.1
OG0000508	WP_002557673.1	WP_014579876.1
OG0000509	WP_160581254.1	WP_220191163.1
OG0000510	WP_160581266.1	WP_220191162.1
OG0000512	WP_160581295.1	WP_160585790.1
OG0000513	WP_160581350.1	WP_135618599.1
OG0000514	WP_160581345.1	WP_011290053.1
OG0000515	WP_002557821.1	WP_020835590.1
OG0000516	WP_160581337.1	WP_011206036.1
OG0000517	WP_160581026.1	WP_160585533.1
OG0000518	WP_160581019.1	WP_160585531.1
OG0000519	WP_002557926.1	WP_014579573.1
OG0000522	WP_160581395.1	WP_160585589.1
OG0000523	WP_160581397.1	WP_160584917.1
OG0000524	WP_160580973.1	WP_014579890.1
OG0000525	WP_002557985.1	WP_160585006.1
OG0000526	WP_002558014.1	WP_011206310.1
OG0000527	WP_002558016.1	WP_011206309.1
OG0000528	WP_039387498.1	WP_011205922.1
OG0000529	WP_220200547.1	WP_160585661.1
OG0000530	WP_160581425.1	WP_160585598.1
OG0000531	WP_160581369.1	WP_160585578.1
OG0000532	WP_220200585.1	WP_160585577.1
OG0000533	WP_201771017.1	WP_160585562.1
OG0000534	WP_039387661.1	WP_020835615.1
OG0000535	WP_160580894.1	WP_160585620.1
OG0000536	WP_258555787.1	WP_160585249.1
OG0000538	WP_160581434.1	WP_160585767.1
OG0000539	WP_002557806.1	WP_011283955.1
OG0000540	WP_308704662.1	WP_160585785.1
OG0000541	WP_160581228.1	WP_160585715.1, WP_240536615.1
OG0000542	WP_160581120.1	WP_160585813.1
OG0000543	WP_160581332.1	WP_160584784.1
OG0000546	WP_258555783.1	WP_160585632.1
OG0000549	WP_160581495.1	WP_308507012.1
OG0000550	WP_160581454.1	WP_160585591.1
OG0000564	WP_011290233.1	WP_160585709.1
OG0000605	WP_160581489.1	WP_160585824.1
OG0000606	WP_014579679.1	WP_160585713.1
OG0000607	WP_014579687.1	WP_160585711.1
OG0000619	WP_002557988.1	WP_002557988.1
OG0000620	WP_160581480.1	WP_011284157.1
OG0000621	WP_160581232.1	WP_160585712.1
OG0000622	WP_258555775.1	WP_160585768.1
OG0000625	WP_002557992.1	WP_002557992.1
OG0000630	WP_160581482.1	WP_160585819.1
OG0000632	WP_011290238.1	WP_088172525.1
OG0000633	WP_160581237.1	WP_160584945.1
OG0000636	WP_014579683.1	WP_135618745.1
OG0000637	WP_258555782.1	WP_258555832.1
