Orthogroup	MHP_ES2_protein	MHP_MHP650_protein
OG0000126	WP_240536330.1	WP_258556695.1
OG0000127	WP_135618921.1	WP_011206271.1
OG0000128	WP_011206268.1	WP_160601227.1
OG0000129	WP_225972979.1	WP_258555507.1
OG0000130	WP_011206264.1	WP_011290245.1
OG0000131	WP_135618672.1	WP_011205977.1
OG0000132	WP_135618674.1	WP_160600860.1
OG0000133	WP_135618676.1	WP_160600858.1
OG0000134	WP_135618678.1	WP_258556636.1
OG0000135	WP_135618680.1	WP_135618680.1
OG0000136	WP_228729171.1	WP_011284023.1
OG0000137	WP_135618686.1	WP_160600850.1
OG0000138	WP_011205966.1	WP_160600848.1
OG0000139	WP_011205965.1	WP_160600846.1
OG0000140	WP_011284027.1	WP_160600844.1
OG0000141	WP_044284614.1	WP_044284614.1
OG0000142	WP_011284032.1	WP_011284032.1
OG0000143	WP_135618690.1	WP_020835643.1
OG0000144	WP_020835645.1	WP_020835645.1
OG0000145	WP_011205954.1	WP_011205954.1
OG0000146	WP_011290118.1	WP_160600842.1
OG0000147	WP_011205952.1	WP_011205952.1
OG0000148	WP_011205950.1	WP_146379560.1
OG0000149	WP_135618699.1	WP_160600838.1
OG0000150	WP_135618701.1	WP_011290122.1
OG0000151	WP_135618705.1	WP_160600836.1
OG0000152	WP_135618707.1	WP_160600834.1
OG0000153	WP_020835651.1	WP_160600832.1
OG0000154	WP_135618709.1	WP_160600830.1
OG0000155	WP_011284046.1	WP_160600828.1
OG0000156	WP_135618710.1	WP_146379566.1
OG0000157	WP_014579735.1	WP_014579735.1
OG0000158	WP_135618714.1	WP_094521636.1
OG0000159	WP_014579586.1	WP_160601065.1
OG0000160	WP_135618544.1	WP_160601069.1
OG0000161	WP_014579589.1	WP_011206123.1
OG0000162	WP_233688635.1	WP_308704761.1
OG0000163	WP_011206121.1	WP_160601071.1
OG0000164	WP_011206120.1	WP_011206120.1
OG0000165	WP_135618546.1	WP_135618546.1
OG0000166	WP_135618548.1	WP_160601073.1
OG0000167	WP_135618550.1	WP_160601075.1
OG0000168	WP_011206113.1	WP_011206113.1
OG0000169	WP_135618561.1	WP_160601207.1
OG0000170	WP_135618563.1	WP_160584793.1
OG0000171	WP_011206102.1	WP_011206102.1
OG0000172	WP_011206101.1	WP_011206101.1
OG0000173	WP_011284290.1	WP_160600792.1
OG0000174	WP_135619030.1	WP_160600791.1
OG0000175	WP_135619028.1	WP_160600789.1
OG0000176	WP_135619026.1	WP_011206391.1
OG0000177	WP_135619024.1	WP_011206390.1
OG0000178	WP_135619022.1	WP_160600787.1
OG0000179	WP_240536347.1	WP_044284693.1
OG0000180	WP_011206385.1	WP_011206385.1
OG0000181	WP_135619018.1	WP_160600783.1
OG0000182	WP_135619016.1	WP_011284277.1
OG0000183	WP_135619012.1	WP_160600779.1
OG0000184	WP_011290331.1	WP_011290331.1
OG0000185	WP_135619010.1	WP_160600777.1
OG0000186	WP_135619008.1	WP_011284272.1
OG0000187	WP_135619006.1	WP_160600775.1
OG0000188	WP_135619000.1	WP_160600771.1
OG0000189	WP_135618994.1	WP_160600765.1
OG0000190	WP_020835827.1	WP_160600763.1
OG0000191	WP_135618992.1	WP_160600761.1
OG0000192	WP_094521730.1	WP_011206345.1
OG0000193	WP_135618986.1	WP_160601235.1
OG0000194	WP_135618984.1	WP_011206337.1
OG0000195	WP_135618982.1	WP_160601026.1
OG0000196	WP_011206335.1	WP_160601028.1
OG0000197	WP_014579918.1	WP_160601030.1
OG0000198	WP_135618980.1	WP_160601032.1
OG0000199	WP_011206289.1	WP_011206289.1
OG0000200	WP_011284209.1	WP_011284209.1
OG0000201	WP_011206287.1	WP_011206287.1
OG0000202	WP_135618730.1	WP_020835662.1
OG0000203	WP_011284063.1	WP_011290137.1
OG0000204	WP_135618732.1	WP_160601269.1
OG0000205	WP_014579804.1	WP_014579804.1
OG0000206	WP_011206196.1	WP_044284644.1
OG0000207	WP_011290187.1	WP_011206197.1
OG0000208	WP_135618828.1	WP_160600898.1
OG0000209	WP_011206200.1	WP_160600902.1
OG0000210	WP_135618840.1	WP_160600910.1
OG0000211	WP_135618843.1	WP_160600914.1
OG0000212	WP_135618846.1	WP_011206207.1
OG0000213	WP_135618848.1	WP_160587908.1
OG0000214	WP_135619057.1	WP_135619057.1
OG0000215	WP_011206422.1	WP_050195447.1
OG0000216	WP_011206424.1	WP_011206424.1
OG0000217	WP_135619059.1	WP_160600927.1
OG0000218	WP_011290369.1	WP_160600929.1
OG0000219	WP_135619066.1	WP_160600931.1
OG0000220	WP_135619070.1	WP_160600933.1
OG0000221	WP_135619073.1	WP_160600935.1
OG0000222	WP_135619075.1	WP_160600939.1
OG0000223	WP_135619077.1	WP_014579977.1
OG0000224	WP_011206441.1	WP_020835878.1
OG0000225	WP_135619079.1	WP_160600941.1
OG0000226	WP_011206444.1	WP_160600943.1
OG0000227	WP_011206445.1	WP_160600945.1
OG0000228	WP_135619081.1	WP_160600947.1
OG0000229	WP_135619094.1	WP_160601136.1
OG0000230	WP_011206453.1	WP_011206453.1
OG0000231	WP_135619227.1	WP_160601138.1
OG0000232	WP_135619098.1	WP_160601130.1
OG0000233	WP_011206457.1	WP_160601129.1
OG0000234	WP_011206458.1	WP_160601127.1
OG0000235	WP_135619099.1	WP_011206459.1
OG0000236	WP_135619105.1	WP_160601123.1
OG0000237	WP_011206469.1	WP_011206469.1
OG0000238	WP_135619119.1	WP_135619119.1
OG0000239	WP_011290400.1	WP_011206467.1
OG0000240	WP_135619118.1	WP_011290399.1
OG0000241	WP_135619116.1	WP_020835897.1
OG0000242	WP_135619122.1	WP_160601173.1
OG0000243	WP_135618716.1	WP_146379568.1
OG0000244	WP_135618718.1	WP_160601247.1
OG0000245	WP_011290131.1	WP_011284053.1
OG0000246	WP_135618720.1	WP_160601245.1
OG0000247	WP_011284055.1	WP_011284055.1
OG0000248	WP_011284056.1	WP_160601243.1
OG0000249	WP_011205932.1	WP_160601241.1
OG0000250	WP_135618893.1	WP_160601185.1
OG0000251	WP_011206256.1	WP_011206256.1
OG0000252	WP_240536314.1	WP_258556689.1
OG0000253	WP_135619204.1	WP_135619204.1
OG0000254	WP_011205992.1	WP_011284001.1
OG0000255	WP_011283999.1	WP_011283999.1
OG0000256	WP_135618652.1	WP_160590375.1
OG0000257	WP_011283923.1	WP_094521582.1
OG0000258	WP_094521583.1	WP_094521583.1
OG0000259	WP_011206093.1	WP_011206093.1
OG0000260	WP_020835572.1	WP_020835572.1
OG0000261	WP_228729168.1	WP_228729168.1
OG0000262	WP_041361572.1	WP_041361572.1
OG0000263	WP_011283930.1	WP_011283930.1
OG0000264	WP_011206086.1	WP_011206086.1
OG0000265	WP_020835574.1	WP_160600868.1
OG0000266	WP_014579644.1	WP_160600870.1
OG0000267	WP_020835576.1	WP_160600872.1
OG0000268	WP_011283934.1	WP_160600874.1
OG0000269	WP_011290034.1	WP_011283936.1
OG0000270	WP_135618573.1	WP_020835579.1
OG0000271	WP_135618575.1	WP_160600878.1
OG0000272	WP_011290039.1	WP_308704756.1
OG0000273	WP_011206072.1	WP_011206072.1
OG0000274	WP_011206071.1	WP_014579633.1
OG0000275	WP_135618583.1	WP_014579632.1
OG0000276	WP_135618585.1	WP_011206068.1
OG0000277	WP_135618587.1	WP_011206067.1
OG0000278	WP_135618589.1	WP_160600886.1
OG0000279	WP_011206065.1	WP_160600888.1
OG0000280	WP_011206064.1	WP_160600890.1
OG0000281	WP_011206063.1	WP_011283951.1
OG0000282	WP_135618591.1	WP_011290046.1
OG0000283	WP_011206061.1	WP_011206061.1
OG0000284	WP_135618601.1	WP_011283958.1
OG0000285	WP_135618604.1	WP_044284597.1
OG0000286	WP_135618610.1	WP_011206050.1
OG0000287	WP_011206049.1	WP_011206049.1
OG0000288	WP_011206048.1	WP_011206048.1
OG0000289	WP_011283963.1	WP_011283963.1
OG0000290	WP_011206047.1	WP_160601104.1
OG0000291	WP_011283965.1	WP_014579616.1
OG0000292	WP_135618612.1	WP_011206044.1
OG0000293	WP_011206042.1	WP_011206042.1
OG0000294	WP_228729170.1	WP_220200886.1
OG0000295	WP_135618616.1	WP_011206040.1
OG0000296	WP_011206039.1	WP_011206039.1
OG0000297	WP_011206038.1	WP_011206038.1
OG0000298	WP_041361589.1	WP_041361589.1
OG0000299	WP_135618620.1	WP_160601098.1
OG0000300	WP_011206032.1	WP_011206032.1
OG0000301	WP_011290064.1	WP_011206031.1
OG0000302	WP_135618622.1	WP_094521599.1
OG0000303	WP_011206028.1	WP_011206028.1
OG0000304	WP_014579605.1	WP_014579605.1
OG0000305	WP_014579604.1	WP_014579604.1
OG0000306	WP_011206025.1	WP_011206025.1
OG0000307	WP_011290067.1	WP_011290067.1
OG0000308	WP_014579601.1	WP_014579601.1
OG0000309	WP_011290071.1	WP_011290071.1
OG0000310	WP_135618631.1	WP_160601002.1
OG0000311	WP_011206014.1	WP_011206014.1
OG0000312	WP_020835607.1	WP_160601000.1
OG0000313	WP_135618635.1	WP_044284822.1
OG0000314	WP_020835610.1	WP_011283987.1
OG0000315	WP_135618637.1	WP_020835611.1
OG0000316	WP_135618639.1	WP_160600997.1
OG0000317	WP_135618641.1	WP_160600995.1
OG0000318	WP_011206006.1	WP_160600993.1
OG0000319	WP_011206005.1	WP_011206005.1
OG0000320	WP_014579672.1	WP_011206003.1
OG0000321	WP_135618644.1	WP_160600989.1
OG0000322	WP_020835619.1	WP_160600987.1
OG0000323	WP_011206399.1	WP_160600796.1
OG0000324	WP_135619034.1	WP_011206400.1
OG0000325	WP_020835852.1	WP_014579953.1
OG0000326	WP_135619036.1	WP_011206402.1
OG0000327	WP_135619038.1	WP_160600798.1
OG0000328	WP_011290352.1	WP_011206404.1
OG0000329	WP_011206406.1	WP_160600800.1
OG0000330	WP_135619044.1	WP_011206408.1
OG0000331	WP_135619046.1	WP_011284299.1
OG0000332	WP_050195463.1	WP_050195463.1
OG0000333	WP_135618466.1	WP_160600647.1
OG0000334	WP_135618468.1	WP_160600649.1
OG0000335	WP_020835500.1	WP_228365403.1
OG0000336	WP_135618472.1	WP_160600653.1
OG0000337	WP_135618476.1	WP_011205875.1
OG0000338	WP_135618480.1	WP_160600657.1
OG0000339	WP_011205880.1	WP_011205880.1
OG0000340	WP_014579544.1	WP_014579544.1
OG0000341	WP_135618487.1	WP_160600661.1
OG0000342	WP_011205883.1	WP_011205883.1
OG0000343	WP_135618489.1	WP_011289964.1
OG0000344	WP_135618491.1	WP_160600663.1
OG0000345	WP_020835510.1	WP_160600665.1
OG0000346	WP_014579550.1	WP_160600667.1
OG0000347	WP_011205889.1	WP_011205889.1
OG0000348	WP_135618495.1	WP_160600669.1
OG0000349	WP_135618497.1	WP_011205891.1
OG0000350	WP_014579553.1	WP_160600671.1
OG0000351	WP_135618499.1	WP_160600673.1
OG0000352	WP_135618501.1	WP_011289973.1
OG0000353	WP_135618503.1	WP_011283871.1
OG0000354	WP_020835518.1	WP_187286314.1
OG0000355	WP_011289976.1	WP_160600675.1
OG0000356	WP_011289977.1	WP_160600677.1
OG0000357	WP_135618505.1	WP_160600679.1
OG0000358	WP_020835520.1	WP_220200824.1
OG0000359	WP_135618507.1	WP_160600683.1
OG0000360	WP_135618509.1	WP_011283879.1
OG0000361	WP_135618511.1	WP_160600685.1
OG0000362	WP_135618513.1	WP_160600687.1
OG0000363	WP_135618519.1	WP_014579569.1
OG0000364	WP_135618521.1	WP_160600693.1
OG0000365	WP_011283885.1	WP_011283885.1
OG0000366	WP_011283887.1	WP_011205916.1
OG0000367	WP_135618527.1	WP_160600699.1
OG0000368	WP_011205921.1	WP_011205921.1
OG0000369	WP_011205923.1	WP_011205923.1
OG0000370	WP_014579577.1	WP_014579577.1
OG0000371	WP_011283894.1	WP_011283894.1
OG0000372	WP_011206135.1	WP_160601215.1
OG0000373	WP_014579579.1	WP_011206134.1
OG0000374	WP_135619156.1	WP_160600804.1
OG0000375	WP_011206505.1	WP_160600753.1
OG0000376	WP_135619152.1	WP_160600751.1
OG0000377	WP_011206503.1	WP_011284373.1
OG0000378	WP_011206502.1	WP_011206502.1
OG0000379	WP_228729166.1	WP_220200832.1
OG0000380	WP_135619148.1	WP_160600745.1
OG0000381	WP_238374142.1	WP_308704753.1
OG0000382	WP_011290421.1	WP_160600741.1
OG0000383	WP_011206494.1	WP_011206494.1
OG0000384	WP_014580014.1	WP_014580014.1
OG0000385	WP_135619140.1	WP_135619140.1
OG0000386	WP_014580012.1	WP_014580012.1
OG0000387	WP_011206487.1	WP_011206487.1
OG0000388	WP_240536356.1	WP_160600735.1
OG0000389	WP_044272663.1	WP_160584907.1
OG0000390	WP_011206484.1	WP_014580008.1
OG0000391	WP_011290413.1	WP_160600733.1
OG0000392	WP_135619136.1	WP_160600731.1
OG0000393	WP_135618934.1	WP_146379652.1
OG0000394	WP_135618946.1	WP_011206297.1
OG0000395	WP_011284218.1	WP_160600959.1
OG0000396	WP_020835793.1	WP_020835793.1
OG0000397	WP_011206303.1	WP_160600962.1
OG0000398	WP_135618967.1	WP_135618967.1
OG0000399	WP_011206320.1	WP_011206320.1
OG0000400	WP_011206319.1	WP_011206319.1
OG0000401	WP_135618964.1	WP_094521723.1
OG0000402	WP_135618960.1	WP_160600980.1
OG0000403	WP_011206315.1	WP_011206315.1
OG0000404	WP_135618956.1	WP_160600976.1
OG0000405	WP_011284228.1	WP_160600974.1
OG0000406	WP_135618953.1	WP_160585762.1
OG0000407	WP_041361673.1	WP_160600968.1
OG0000408	WP_020835798.1	WP_011284225.1
OG0000409	WP_135618474.1	WP_160600655.1
OG0000410	WP_135618482.1	WP_011205878.1
OG0000411	WP_014579572.1	WP_014579572.1
OG0000412	WP_135618529.1	WP_011283891.1
OG0000413	WP_011205925.1	WP_014579576.1
OG0000414	WP_011206118.1	WP_011206118.1
OG0000415	WP_011283978.1	WP_011283978.1
OG0000416	WP_135619020.1	WP_160600785.1
OG0000417	WP_135618990.1	WP_160600759.1
OG0000418	WP_135618974.1	WP_160601040.1
OG0000419	WP_020835811.1	WP_160601043.1
OG0000420	WP_135618958.1	WP_160600978.1
OG0000421	WP_135618948.1	WP_160600957.1
OG0000422	WP_011206293.1	WP_160600729.1
OG0000423	WP_011206141.1	WP_011206141.1
OG0000424	WP_135618838.1	WP_160600908.1
OG0000425	WP_135618850.1	WP_011290197.1
OG0000426	WP_014579818.1	WP_160587912.1
OG0000427	WP_135618864.1	WP_160601140.1
OG0000428	WP_014579824.1	WP_014579824.1
OG0000429	WP_240536307.1	WP_220200854.1
OG0000430	WP_135618880.1	WP_146379629.1
OG0000431	WP_135618919.1	WP_160601193.1
OG0000432	WP_011205969.1	WP_011205969.1
OG0000433	WP_020835642.1	WP_020835642.1
OG0000434	WP_135618712.1	WP_135618712.1
OG0000435	WP_135618886.1	WP_011284172.1
OG0000436	WP_011206094.1	WP_011206094.1
OG0000437	WP_135618577.1	WP_160600880.1
OG0000438	WP_135618579.1	WP_011206076.1
OG0000439	WP_011206069.1	WP_011206069.1
OG0000440	WP_041361583.1	WP_220200845.1
OG0000441	WP_135618597.1	WP_044284742.1
OG0000442	WP_135618603.1	WP_308704757.1
OG0000443	WP_011206016.1	WP_011206016.1
OG0000444	WP_135619040.1	WP_011206405.1
OG0000445	WP_135619068.1	WP_011290372.1
OG0000446	WP_135619072.1	WP_011206433.1
OG0000447	WP_135619225.1	WP_160601134.1
OG0000448	WP_135619096.1	WP_160601132.1
OG0000449	WP_135619138.1	WP_011206488.1
OG0000450	WP_135619142.1	WP_011206492.1
OG0000451	WP_011206506.1	WP_160600755.1
OG0000452	WP_135618722.1	WP_011205931.1
OG0000453	WP_050195472.1	WP_011290441.1
OG0000454	WP_011284394.1	WP_011284394.1
OG0000455	WP_135618962.1	WP_160600982.1
OG0000456	WP_135618866.1	WP_011284150.1
OG0000457	WP_135618913.1	WP_160601221.1
OG0000458	WP_011205973.1	WP_146379551.1
OG0000459	WP_135618892.1	WP_160601183.1
OG0000460	WP_135618571.1	WP_258556639.1
OG0000461	WP_011206435.1	WP_011206435.1
OG0000462	WP_135619146.1	WP_011284367.1
OG0000463	WP_135618682.1	WP_160600852.1
OG0000464	WP_052269168.1	WP_160601077.1
OG0000465	WP_014579611.1	WP_014579611.1
OG0000466	WP_014580011.1	WP_232039558.1
OG0000467	WP_135619162.1	WP_160600810.1
OG0000468	WP_135618695.1	WP_011205955.1
OG0000469	WP_240536364.1	WP_160600882.1
OG0000470	WP_020835837.1	WP_020835837.1
OG0000471	WP_135619151.1	WP_160600749.1
OG0000472	WP_011206218.1	WP_011206218.1
OG0000473	WP_228729169.1	WP_160600884.1
OG0000474	WP_044284839.1	WP_160600757.1
OG0000475	WP_240536362.1	WP_240536362.1
OG0000476	WP_135618830.1	WP_160600900.1
OG0000477	WP_011206227.1	WP_160601144.1
OG0000478	WP_135618688.1	WP_160584724.1
OG0000479	WP_233417361.1	WP_258556697.1
OG0000480	WP_011206194.1	WP_011206194.1
OG0000481	WP_240536306.1	WP_308507057.1
OG0000482	WP_240536352.1	WP_228366113.1
OG0000483	WP_135619062.1	WP_135619062.1
OG0000484	WP_225973007.1	WP_308704752.1
OG0000485	WP_225973008.1	WP_225973008.1
OG0000486	WP_011289979.1	WP_160600681.1
OG0000487	WP_094521719.1	WP_160600961.1
OG0000488	WP_240536351.1	WP_160600923.1
OG0000489	WP_276310470.1	WP_308704679.1
OG0000491	WP_011283834.1	WP_160585773.1
OG0000492	WP_011205844.1	WP_160588112.1
OG0000493	WP_135618444.1	WP_160588110.1
OG0000494	WP_011206527.1	WP_146379773.1
OG0000497	WP_011205962.1	WP_011205962.1
OG0000498	WP_135618693.1	WP_160588252.1
OG0000499	WP_135618697.1	WP_160600840.1
OG0000500	WP_135618542.1	WP_160601067.1
OG0000501	WP_135618552.1	WP_011206114.1
OG0000502	WP_052259108.1	WP_052259108.1
OG0000503	WP_228366107.1	WP_011206393.1
OG0000504	WP_011206375.1	WP_160600773.1
OG0000506	WP_011290313.1	WP_014579921.1
OG0000509	WP_318026018.1	WP_220200859.1
OG0000510	WP_187145658.1	WP_220200860.1
OG0000511	WP_135618754.1, WP_240536323.1	WP_160601161.1
OG0000512	WP_135618890.1	WP_160601181.1
OG0000516	WP_135618618.1	WP_160601100.1
OG0000518	WP_135618523.1	WP_160600695.1
OG0000519	WP_135618525.1	WP_160600697.1
OG0000520	WP_135618531.1	WP_160600701.1
OG0000522	WP_135619132.1	WP_160601209.1
OG0000523	WP_020835904.1	WP_160590224.1
OG0000524	WP_011206301.1	WP_014579890.1
OG0000525	WP_135618950.1	WP_160600964.1
OG0000526	WP_135618955.1	WP_160600972.1
OG0000527	WP_011206309.1	WP_160600970.1
OG0000528	WP_011205922.1	WP_011205922.1
OG0000530	WP_135618841.1	WP_160600912.1
OG0000531	WP_011284377.1	WP_011284377.1
OG0000533	WP_014579695.1	WP_094521611.1
OG0000534	WP_135618643.1	WP_160600991.1
OG0000535	WP_135619014.1	WP_160600781.1
OG0000536	WP_135618895.1	WP_160601187.1
OG0000537	WP_135618559.1	WP_160601231.1
OG0000538	WP_081430767.1	WP_160601116.1
OG0000539	WP_135618595.1	WP_160600892.1
OG0000540	WP_135619126.1	WP_160601177.1
OG0000541	WP_135618911.1	WP_160601091.1
OG0000541	WP_135618741.1	WP_160601093.1
OG0000542	WP_135619166.1	WP_160600814.1
OG0000543	WP_011206110.1	WP_011206110.1
OG0000545	WP_135618761.1	WP_258556706.1
OG0000547	WP_135618906.1	WP_160601167.1, WP_160585706.1
OG0000548	WP_135618965.1	WP_160600983.1
OG0000549	WP_240536417.1	WP_160601117.1
OG0000550	WP_135619202.1	WP_160600919.1
OG0000551	WP_240536381.1	WP_258556703.1
OG0000552	WP_014579790.1	WP_258556669.1, WP_258556667.1
OG0000553	WP_240536326.1	WP_160601229.1
OG0000554	WP_240536396.1	WP_258556670.1
OG0000558	WP_135618928.1	WP_160601203.1
OG0000559	WP_135618976.1	WP_160601038.1
OG0000562	WP_240536382.1	WP_258556704.1
OG0000564	WP_135618908.1, WP_135618753.1	WP_160601159.1
OG0000565	WP_135618450.1	WP_160601191.1
OG0000566	WP_135618452.1	WP_160590473.1
OG0000567	WP_135618666.1	WP_160601081.1
OG0000568	WP_011205983.1	WP_011205983.1
OG0000569	WP_240536369.1	WP_308704762.1
OG0000570	WP_135618664.1	WP_044284610.1
OG0000571	WP_135618662.1	WP_160601083.1
OG0000572	WP_135618660.1	WP_160601085.1
OG0000573	WP_135618658.1	WP_160601087.1
OG0000574	WP_135618654.1	WP_011284002.1
OG0000575	WP_240536365.1	WP_011206015.1
OG0000576	WP_135618569.1	WP_011206097.1
OG0000577	WP_011206153.1	WP_011290145.1
OG0000578	WP_135618767.1	WP_160601006.1
OG0000579	WP_135618769.1	WP_160601008.1
OG0000580	WP_135618773.1	WP_160601012.1
OG0000581	WP_135618777.1	WP_160601014.1
OG0000582	WP_011206161.1	WP_014579758.1
OG0000583	WP_135618808.1	WP_014579786.1
OG0000584	WP_011206182.1	WP_011284100.1
OG0000585	WP_135618812.1	WP_160601053.1
OG0000586	WP_240536393.1	WP_308704760.1
