Orthogroup	MHP_MHP679_protein	MHP_MHP699_protein
OG0000081	WP_160590043.1	WP_011206216.1
OG0000082	WP_160590046.1	WP_160585132.1
OG0000083	WP_011206221.1	WP_011284141.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_146379594.1	WP_011206224.1
OG0000086	WP_160590052.1	WP_160585130.1
OG0000087	WP_220200603.1	WP_220190703.1
OG0000088	WP_020835732.1	WP_044272477.1
OG0000089	WP_160590058.1	WP_044272480.1
OG0000090	WP_011206231.1	WP_011206231.1
OG0000091	WP_160590168.1	WP_160584845.1
OG0000092	WP_094521535.1	WP_011283835.1
OG0000093	WP_160590170.1	WP_160584847.1
OG0000094	WP_160584849.1	WP_160584849.1
OG0000095	WP_160584852.1	WP_160584852.1
OG0000096	WP_160584854.1	WP_160584854.1
OG0000097	WP_011205847.1	WP_011205847.1
OG0000098	WP_020835484.1	WP_160584856.1
OG0000099	WP_014579519.1	WP_014579519.1
OG0000100	WP_044272256.1	WP_160584858.1
OG0000101	WP_160590172.1	WP_160584860.1
OG0000102	WP_044272251.1	WP_044272251.1
OG0000103	WP_011206529.1	WP_011206529.1
OG0000104	WP_160585758.1	WP_160584865.1
OG0000105	WP_146379771.1	WP_258555934.1
OG0000106	WP_160590174.1	WP_160584866.1
OG0000107	WP_146379769.1	WP_160584867.1
OG0000108	WP_094521530.1	WP_094521530.1
OG0000109	WP_041361715.1	WP_160584870.1
OG0000110	WP_011290440.1	WP_160584872.1
OG0000111	WP_011206510.1	WP_011206510.1
OG0000112	WP_135619192.1	WP_160585050.1
OG0000113	WP_135618779.1	WP_160585048.1
OG0000114	WP_160590230.1	WP_160585046.1
OG0000115	WP_160590311.1	WP_160585202.1
OG0000116	WP_011206239.1	WP_011206239.1
OG0000117	WP_146379628.1	WP_146379628.1
OG0000118	WP_160588282.1	WP_146379630.1
OG0000119	WP_014579831.1	WP_014579831.1
OG0000120	WP_146379631.1	WP_160585203.1
OG0000121	WP_011284169.1	WP_011284169.1
OG0000122	WP_192894278.1	WP_308506995.1
OG0000123	WP_146379648.1	WP_146379648.1
OG0000124	WP_258555712.1	WP_280996668.1
OG0000125	WP_160590440.1	WP_160585080.1
OG0000126	WP_258555585.1	WP_280996666.1
OG0000127	WP_160590444.1	WP_041361661.1
OG0000128	WP_160590507.1	WP_160585296.1
OG0000129	WP_258555347.1	WP_243216202.1
OG0000130	WP_011290245.1	WP_160585302.1
OG0000131	WP_011290102.1	WP_160584712.1
OG0000132	WP_160590505.1	WP_135618674.1
OG0000133	WP_160590503.1	WP_160584714.1
OG0000134	WP_160590299.1	WP_160584718.1
OG0000135	WP_160590297.1	WP_160584720.1
OG0000136	WP_179696056.1	WP_011290108.1
OG0000137	WP_135618686.1	WP_135618686.1
OG0000138	WP_160588241.1	WP_020835639.1
OG0000139	WP_160588243.1	WP_011205965.1
OG0000140	WP_160590292.1	WP_011284027.1
OG0000141	WP_044284614.1	WP_020835640.1
OG0000142	WP_011284032.1	WP_011284032.1
OG0000143	WP_020835643.1	WP_020835643.1
OG0000144	WP_160590288.1	WP_020835645.1
OG0000145	WP_011205954.1	WP_011205954.1
OG0000146	WP_011205953.1	WP_011290118.1
OG0000147	WP_011205952.1	WP_011205952.1
OG0000148	WP_011290120.1	WP_160585089.1
OG0000149	WP_160590284.1	WP_160585091.1
OG0000150	WP_160590282.1	WP_011290122.1
OG0000151	WP_160590280.1	WP_160585093.1
OG0000152	WP_160590278.1	WP_160585095.1
OG0000153	WP_014579732.1	WP_014579732.1
OG0000154	WP_160590276.1	WP_160585097.1
OG0000155	WP_160590274.1	WP_011284046.1
OG0000156	WP_146379566.1	WP_160585099.1
OG0000157	WP_014579735.1	WP_014579735.1
OG0000158	WP_160590270.1	WP_094521636.1
OG0000159	WP_041361727.1	WP_041361727.1
OG0000160	WP_160590329.1	WP_160585150.1
OG0000161	WP_014579589.1	WP_014579589.1
OG0000162	WP_233688635.1	WP_228365407.1
OG0000163	WP_011206121.1	WP_011290004.1
OG0000164	WP_011206120.1	WP_160585148.1
OG0000165	WP_135618546.1	WP_011206119.1
OG0000166	WP_160590331.1	WP_160585144.1
OG0000167	WP_160590333.1	WP_160585142.1
OG0000168	WP_011206113.1	WP_011206113.1
OG0000169	WP_160590407.1	WP_160584791.1
OG0000170	WP_160584793.1	WP_160584793.1
OG0000171	WP_011206102.1	WP_011290017.1
OG0000172	WP_160584795.1	WP_160584795.1
OG0000173	WP_011290345.1	WP_160584965.1
OG0000174	WP_160587865.1	WP_011284289.1
OG0000175	WP_011284286.1	WP_020835845.1
OG0000176	WP_135619026.1	WP_011206391.1
OG0000177	WP_160590163.1	WP_160584967.1
OG0000178	WP_044272582.1	WP_160584969.1
OG0000179	WP_160590161.1	WP_020835843.1
OG0000180	WP_011206385.1	WP_011206385.1
OG0000181	WP_011206384.1	WP_011206384.1
OG0000182	WP_020835840.1	WP_160584971.1
OG0000183	WP_160587854.1	WP_135619012.1
OG0000184	WP_011290331.1	WP_011290331.1
OG0000185	WP_160590155.1	WP_160584976.1
OG0000186	WP_146379689.1	WP_135619008.1
OG0000187	WP_160590153.1	WP_160584978.1
OG0000188	WP_160590149.1	WP_160584982.1
OG0000189	WP_160590464.1	WP_135618994.1
OG0000190	WP_160590462.1	WP_280996773.1
OG0000191	WP_011206347.1	WP_160585267.1
OG0000192	WP_160587842.1	WP_160585263.1
OG0000193	WP_160585121.1	WP_160585121.1
OG0000194	WP_020835820.1	WP_160585119.1
OG0000195	WP_160590426.1	WP_146379681.1
OG0000196	WP_011206335.1	WP_011206335.1
OG0000197	WP_014579918.1	WP_020835818.1
OG0000198	WP_160590424.1	WP_160585117.1
OG0000199	WP_160590317.1	WP_011206289.1
OG0000200	WP_160590318.1	WP_179221158.1
OG0000201	WP_011206287.1	WP_011206287.1
OG0000202	WP_135618730.1	WP_160585290.1
OG0000203	WP_011290137.1	WP_011284063.1
OG0000204	WP_146379571.1	WP_135618732.1
OG0000205	WP_160585024.1	WP_160585024.1
OG0000206	WP_160585022.1	WP_160585022.1
OG0000207	WP_146379611.1	WP_146379611.1
OG0000208	WP_146379610.1	WP_146379610.1
OG0000209	WP_011206200.1	WP_011206200.1
OG0000210	WP_160590029.1	WP_160585013.1
OG0000211	WP_160590031.1	WP_160585175.1
OG0000212	WP_011206207.1	WP_011206207.1
OG0000213	WP_160585173.1	WP_160585173.1
OG0000214	WP_160590199.1	WP_044272610.1
OG0000215	WP_160590197.1	WP_160584923.1
OG0000216	WP_011206424.1	WP_160584925.1
OG0000217	WP_160585649.1	WP_011290368.1
OG0000218	WP_160590195.1	WP_160584927.1
OG0000219	WP_160590191.1	WP_160584933.1
OG0000220	WP_135619070.1	WP_135619070.1
OG0000221	WP_160590189.1	WP_020835872.1
OG0000222	WP_160590187.1	WP_160585271.1
OG0000223	WP_160585273.1	WP_160585273.1
OG0000224	WP_044272620.1	WP_160585275.1
OG0000225	WP_160590185.1	WP_160585277.1
OG0000226	WP_160590183.1	WP_020835880.1
OG0000227	WP_160590181.1	WP_081642895.1
OG0000228	WP_160590179.1	WP_160585278.1
OG0000229	WP_160590523.1	WP_020835888.1
OG0000230	WP_011206453.1	WP_160585211.1
OG0000231	WP_160590340.1	WP_160585215.1
OG0000232	WP_160590342.1	WP_160585217.1
OG0000233	WP_011206457.1	WP_011206457.1
OG0000234	WP_011206458.1	WP_011206458.1
OG0000235	WP_011206459.1	WP_011206459.1
OG0000236	WP_160590344.1	WP_160585221.1
OG0000237	WP_011206469.1	WP_011206469.1
OG0000238	WP_011206468.1	WP_160585238.1
OG0000239	WP_160590352.1	WP_011290400.1
OG0000240	WP_160590350.1	WP_011290399.1
OG0000241	WP_020835897.1	WP_020835897.1
OG0000242	WP_160590452.1	WP_160585258.1
OG0000243	WP_146379568.1	WP_160585101.1
OG0000244	WP_160590268.1	WP_160585103.1
OG0000245	WP_011290131.1	WP_011284053.1
OG0000246	WP_160590266.1	WP_160585105.1
OG0000247	WP_011284055.1	WP_011284055.1
OG0000248	WP_011284056.1	WP_160585107.1
OG0000249	WP_011205932.1	WP_011205932.1
OG0000250	WP_160590301.1	WP_160585247.1
OG0000251	WP_011206256.1	WP_011206256.1
OG0000252	WP_258555694.1	WP_160585242.1
OG0000253	WP_135619204.1	WP_020835755.1
OG0000254	WP_011284001.1	WP_160584698.1
OG0000255	WP_011283999.1	WP_160584694.1
OG0000256	WP_160590375.1	WP_160584692.1
OG0000257	WP_160590430.1	WP_011290023.1
OG0000258	WP_011290024.1	WP_094521583.1
OG0000259	WP_011206093.1	WP_160584799.1
OG0000260	WP_160590432.1	WP_020835572.1
OG0000261	WP_179695841.1	WP_228729168.1
OG0000262	WP_041361572.1	WP_160584800.1
OG0000263	WP_011283930.1	WP_011283930.1
OG0000264	WP_011206086.1	WP_011206086.1
OG0000265	WP_020835574.1	WP_020835574.1
OG0000266	WP_020835575.1	WP_020835575.1
OG0000267	WP_020835576.1	WP_020835576.1
OG0000268	WP_011283934.1	WP_011283934.1
OG0000269	WP_011206080.1	WP_011290034.1
OG0000270	WP_160590497.1	WP_160584803.1
OG0000271	WP_146379504.1	WP_146379504.1
OG0000272	WP_160590491.1	WP_160584809.1
OG0000273	WP_011206072.1	WP_011206072.1
OG0000274	WP_308704708.1	WP_011206071.1
OG0000275	WP_160585610.1	WP_160584811.1
OG0000276	WP_135618585.1	WP_160584813.1
OG0000277	WP_135618587.1	WP_160584816.1
OG0000278	WP_011290044.1	WP_011290044.1
OG0000279	WP_011206065.1	WP_011206065.1
OG0000280	WP_011206064.1	WP_011206064.1
OG0000281	WP_094521594.1	WP_011206063.1
OG0000282	WP_160590413.1	WP_160584818.1
OG0000283	WP_011206061.1	WP_011206061.1
OG0000284	WP_011206054.1	WP_011206054.1
OG0000285	WP_011206052.1	WP_160584820.1
OG0000286	WP_011206050.1	WP_011290054.1
OG0000287	WP_011206049.1	WP_011206049.1
OG0000288	WP_011206048.1	WP_011206048.1
OG0000289	WP_011283963.1	WP_160585195.1
OG0000290	WP_011206047.1	WP_011206047.1
OG0000291	WP_160590389.1	WP_160585193.1
OG0000292	WP_011206044.1	WP_011206044.1
OG0000293	WP_011290058.1	WP_011290058.1
OG0000294	WP_011206041.1	WP_220190714.1
OG0000295	WP_160590391.1	WP_135618616.1
OG0000296	WP_011206039.1	WP_011206039.1
OG0000297	WP_011206038.1	WP_011206038.1
OG0000298	WP_041361589.1	WP_041361589.1
OG0000299	WP_160590395.1	WP_044284599.1
OG0000300	WP_011206032.1	WP_011206032.1
OG0000301	WP_011206031.1	WP_160585189.1
OG0000302	WP_094521599.1	WP_160585187.1
OG0000303	WP_011206028.1	WP_011206028.1
OG0000304	WP_160585185.1	WP_160585185.1
OG0000305	WP_094521600.1	WP_011290066.1
OG0000306	WP_011206025.1	WP_160585183.1
OG0000307	WP_160590397.1	WP_011283976.1
OG0000308	WP_014579601.1	WP_014579601.1
OG0000309	WP_011290071.1	WP_160584666.1
OG0000310	WP_160590251.1	WP_160584668.1
OG0000311	WP_011206014.1	WP_011206014.1
OG0000312	WP_160590253.1	WP_160584674.1
OG0000313	WP_160590255.1	WP_160584676.1
OG0000314	WP_160584678.1	WP_160584678.1
OG0000315	WP_011290078.1	WP_160584680.1
OG0000316	WP_011283989.1	WP_011283989.1
OG0000317	WP_160590257.1	WP_160584682.1
OG0000318	WP_011283991.1	WP_011206006.1
OG0000319	WP_011206005.1	WP_011206005.1
OG0000320	WP_160590259.1	WP_160584684.1
OG0000321	WP_160590261.1	WP_160584686.1
OG0000322	WP_160590263.1	WP_160584688.1
OG0000323	WP_146379700.1	WP_011290347.1
OG0000324	WP_020835851.1	WP_160585227.1
OG0000325	WP_160585229.1	WP_160585229.1
OG0000326	WP_044272588.1	WP_160585231.1
OG0000327	WP_146379702.1	WP_160585233.1
OG0000328	WP_146379703.1	WP_011290352.1
OG0000329	WP_011206406.1	WP_041361690.1
OG0000330	WP_135619044.1	WP_011206408.1
OG0000331	WP_135619046.1	WP_011284299.1
OG0000332	WP_258555717.1	WP_258555948.1
OG0000333	WP_258555718.1	WP_280996517.1
OG0000334	WP_308704696.1	WP_160584780.1
OG0000335	WP_243215933.1	WP_020835500.1
OG0000336	WP_146379459.1	WP_160584776.1
OG0000337	WP_011289957.1	WP_160584772.1
OG0000338	WP_044272282.1	WP_044272282.1
OG0000339	WP_011205880.1	WP_011205880.1
OG0000340	WP_146379462.1	WP_020835507.1
OG0000341	WP_146379463.1	WP_011289963.1
OG0000342	WP_011205883.1	WP_011205883.1
OG0000343	WP_160589983.1	WP_160584769.1
OG0000344	WP_044284571.1	WP_044284571.1
OG0000345	WP_160589986.1	WP_160584767.1
OG0000346	WP_014579550.1	WP_014579550.1
OG0000347	WP_011205889.1	WP_011205889.1
OG0000348	WP_094521758.1	WP_044272682.1
OG0000349	WP_135618497.1	WP_135618497.1
OG0000350	WP_014579553.1	WP_160584765.1
OG0000351	WP_146379468.1	WP_020835515.1
OG0000352	WP_011289973.1	WP_011289973.1
OG0000353	WP_011289974.1	WP_011289974.1
OG0000354	WP_020835518.1	WP_020835518.1
OG0000355	WP_011205897.1	WP_011289976.1
OG0000356	WP_011289977.1	WP_011289977.1
OG0000357	WP_135618505.1	WP_135618505.1
OG0000358	WP_020835520.1	WP_020835520.1
OG0000359	WP_160584763.1	WP_160584763.1
OG0000360	WP_011289982.1	WP_011289982.1
OG0000361	WP_160589995.1	WP_160584761.1
OG0000362	WP_160589998.1	WP_160584760.1
OG0000363	WP_135618519.1	WP_135618519.1
OG0000364	WP_160584756.1	WP_160584756.1
OG0000365	WP_160590002.1	WP_160584754.1
OG0000366	WP_011283887.1	WP_160584751.1
OG0000367	WP_044284579.1	WP_044284579.1
OG0000368	WP_160584747.1	WP_160584747.1
OG0000369	WP_011205923.1	WP_011205923.1
OG0000370	WP_146379477.1	WP_044284773.1
OG0000371	WP_146379478.1	WP_160584745.1
OG0000372	WP_160590007.1	WP_011206135.1
OG0000373	WP_011206134.1	WP_160584741.1
OG0000374	WP_160590360.1	WP_160584890.1
OG0000375	WP_160590356.1	WP_020835916.1
OG0000376	WP_160590354.1	WP_160584898.1
OG0000377	WP_146379758.1	WP_011284373.1
OG0000378	WP_011206502.1	WP_011206502.1
OG0000379	WP_220191147.1	WP_220190660.1
OG0000380	WP_160590207.1	WP_160584902.1
OG0000381	WP_228366117.1	WP_228366117.1
OG0000382	WP_011290421.1	WP_011290421.1
OG0000383	WP_011206494.1	WP_011206494.1
OG0000384	WP_011290418.1	WP_011290418.1
OG0000385	WP_011206490.1	WP_094521520.1
OG0000386	WP_011290416.1	WP_014580012.1
OG0000387	WP_011206487.1	WP_011206487.1
OG0000388	WP_160590212.1	WP_160584906.1
OG0000389	WP_160590214.1	WP_160584907.1
OG0000390	WP_160590216.1	WP_011206484.1
OG0000391	WP_160584909.1	WP_160584909.1
OG0000392	WP_160590218.1	WP_160584911.1
OG0000393	WP_146379652.1	WP_044272526.1
OG0000394	WP_160590143.1	WP_160585011.1
OG0000395	WP_011206299.1	WP_160585009.1
OG0000396	WP_160590139.1	WP_160585008.1
OG0000397	WP_044272549.1	WP_044272549.1
OG0000398	WP_160590123.1	WP_160584996.1
OG0000399	WP_011206320.1	WP_011206320.1
OG0000400	WP_160590127.1	WP_044272553.1
OG0000401	WP_160590129.1	WP_160584999.1
OG0000402	WP_160590133.1	WP_160585001.1
OG0000403	WP_160590135.1	WP_011206315.1
OG0000404	WP_220200762.1	WP_160585002.1
OG0000405	WP_011284228.1	WP_011284228.1
OG0000406	WP_011284227.1	WP_160585004.1
OG0000407	WP_041361673.1	WP_041361673.1
OG0000408	WP_011284225.1	WP_160585005.1
OG0000409	WP_160589980.1	WP_160584774.1
OG0000410	WP_011205878.1	WP_094521545.1
OG0000411	WP_041361533.1	WP_041361533.1
OG0000412	WP_160590003.1	WP_011283891.1
OG0000413	WP_011205925.1	WP_011205925.1
OG0000414	WP_011206118.1	WP_160585146.1
OG0000415	WP_011283978.1	WP_220190741.1
OG0000416	WP_160590159.1	WP_135619020.1
OG0000417	WP_160590460.1	WP_160585265.1
OG0000418	WP_160590113.1	WP_160585113.1
OG0000419	WP_160590117.1	WP_160584992.1
OG0000420	WP_160590137.1	WP_011206313.1
OG0000421	WP_160590141.1	WP_011206298.1
OG0000422	WP_011206293.1	WP_011206293.1
OG0000423	WP_011206141.1	WP_011206141.1
OG0000424	WP_160590026.1	WP_160585015.1
OG0000425	WP_160585171.1	WP_160585171.1
OG0000426	WP_160590036.1	WP_160585167.1
OG0000427	WP_146379589.1	WP_160585126.1
OG0000428	WP_014579824.1	WP_014579824.1
OG0000429	WP_220190711.1	WP_220190711.1
OG0000430	WP_308704706.1	WP_135618880.1
OG0000431	WP_160590446.1	WP_160585076.1
OG0000432	WP_011205969.1	WP_011205969.1
OG0000433	WP_020835642.1	WP_160584725.1
OG0000434	WP_160590272.1	WP_041361746.1
OG0000435	WP_094521693.1	WP_094521693.1
OG0000436	WP_011206094.1	WP_011206094.1
OG0000437	WP_160590495.1	WP_160584805.1
OG0000438	WP_160590493.1	WP_160584807.1
OG0000439	WP_011206069.1	WP_011206069.1
OG0000440	WP_041361583.1	WP_041361583.1
OG0000441	WP_011206056.1	WP_225973017.1
OG0000442	WP_014579622.1	WP_135618603.1
OG0000443	WP_011206016.1	WP_160584670.1
OG0000444	WP_146379704.1	WP_160585235.1
OG0000445	WP_011290372.1	WP_011290372.1
OG0000446	WP_011206433.1	WP_011206433.1
OG0000447	WP_160590521.1	WP_160585209.1
OG0000448	WP_160590338.1	WP_160585213.1
OG0000449	WP_011206488.1	WP_011206488.1
OG0000450	WP_041361708.1	WP_041361708.1
OG0000451	WP_160588156.1	WP_160584896.1
OG0000452	WP_011205931.1	WP_160585109.1
OG0000453	WP_011290441.1	WP_011290441.1
OG0000454	WP_011284394.1	WP_160584861.1
OG0000455	WP_160590131.1	WP_160585000.1
OG0000456	WP_160590061.1	WP_011284150.1
OG0000457	WP_160590509.1	WP_160585300.1
OG0000458	WP_011205973.1	WP_146379551.1
OG0000459	WP_160590303.1	WP_160585246.1
OG0000460	WP_094521586.1	WP_011290029.1
OG0000461	WP_011206435.1	WP_011206435.1
OG0000462	WP_160590209.1	WP_011284367.1
OG0000463	WP_160590295.1	WP_160584722.1
OG0000464	WP_160590335.1	WP_160585140.1
OG0000465	WP_160590393.1	WP_014579611.1
OG0000466	WP_232039558.1	WP_232039558.1
OG0000467	WP_160590364.1	WP_160584884.1
OG0000468	WP_011205955.1	WP_011205955.1
OG0000469	WP_240536364.1	WP_240536364.1
OG0000470	WP_020835837.1	WP_160584974.1
OG0000471	WP_094521522.1	WP_094521522.1
OG0000472	WP_011206218.1	WP_011206218.1
OG0000473	WP_308704712.1	WP_228729169.1
OG0000474	WP_160590468.1	WP_146379684.1
OG0000475	WP_308704698.1	WP_160584739.1
OG0000476	WP_160590018.1	WP_160585020.1
OG0000477	WP_160590070.1	WP_160585128.1
OG0000478	WP_160590290.1	WP_160584724.1
OG0000479	WP_308507047.1	WP_225973014.1
OG0000480	WP_011206194.1	WP_011206194.1
OG0000481	WP_308704699.1	WP_308506994.1
OG0000482	WP_228366113.1	WP_011206427.1
OG0000483	WP_160588052.1	WP_160584929.1
OG0000484	WP_225973007.1	WP_225973007.1
OG0000485	WP_225973008.1	WP_225973008.1
OG0000486	WP_160589992.1	WP_011289979.1
OG0000487	WP_011290282.1	WP_011290282.1
OG0000488	WP_160590201.1	WP_160584921.1
OG0000489	WP_308704679.1	WP_269076322.1
OG0000491	WP_011283834.1	WP_011283834.1
OG0000492	WP_160588112.1	WP_011289930.1
OG0000493	WP_044272260.1	WP_044272260.1
OG0000494	WP_146379773.1	WP_160584863.1
OG0000496	WP_146379640.1	WP_160585298.1
OG0000497	WP_011205962.1	WP_011205962.1
OG0000498	WP_146379558.1	WP_160584727.1
OG0000500	WP_160590327.1	WP_044272311.1
OG0000501	WP_160585737.1	WP_160585138.1
OG0000502	WP_160590403.1	WP_052269169.1
OG0000504	WP_160590151.1	WP_160584980.1
OG0000505	WP_011290314.1	WP_011290314.1
OG0000506	WP_160590539.1	WP_160585123.1
OG0000507	WP_011206333.1	WP_020835817.1
OG0000508	WP_160585153.1	WP_160585153.1
OG0000509	WP_220200770.1	WP_220190663.1
OG0000510	WP_220200769.1	WP_187145658.1
OG0000512	WP_160590305.1	WP_160585244.1
OG0000513	WP_146379514.1	WP_146379514.1
OG0000514	WP_011290053.1	WP_011290053.1
OG0000515	WP_160585191.1	WP_160585191.1
OG0000516	WP_011206036.1	WP_011290062.1
OG0000517	WP_011289986.1	WP_011289986.1
OG0000518	WP_011205913.1	WP_160584753.1
OG0000519	WP_020835528.1	WP_160584749.1
OG0000520	WP_160590005.1	WP_160584743.1
OG0000521	WP_160590247.1	WP_160584957.1
OG0000522	WP_160590222.1	WP_160584915.1
OG0000523	WP_160590224.1	WP_160584917.1
OG0000524	WP_014579890.1	WP_160585007.1
OG0000525	WP_160585006.1	WP_160585006.1
OG0000526	WP_011206310.1	WP_160585003.1
OG0000527	WP_011206309.1	WP_011206309.1
OG0000528	WP_011205922.1	WP_011205922.1
OG0000529	WP_160590115.1	WP_160585111.1
OG0000530	WP_011290194.1	WP_160585177.1
OG0000531	WP_041361711.1	WP_160584894.1
OG0000532	WP_160590358.1	WP_160584892.1
OG0000533	WP_160590377.1	WP_160584696.1
OG0000534	WP_020835615.1	WP_020835615.1
OG0000535	WP_160590157.1	WP_160584973.1
OG0000536	WP_160585249.1	WP_160585249.1
OG0000539	WP_011283955.1	WP_011283955.1
OG0000540	WP_160590456.1	WP_160585255.1
OG0000541	WP_160590097.1	WP_160584937.1, WP_160601093.1
OG0000543	WP_160584784.1	WP_160584784.1
OG0000544	WP_160590348.1	WP_160585240.1
OG0000545	WP_160590479.1	WP_280996806.1
OG0000546	WP_135619042.1	WP_160585237.1
OG0000547	WP_220191275.1	WP_094521762.1
OG0000548	WP_160590125.1	WP_160584998.1
OG0000552	WP_160590087.1	WP_160585032.1
OG0000553	WP_258555725.1	WP_280996663.1
OG0000554	WP_258555664.1	WP_280996623.1
OG0000557	WP_014579530.1	WP_220190649.1
OG0000558	WP_160590436.1	WP_160585081.1
OG0000559	WP_160590422.1	WP_020835815.1
OG0000560	WP_258555239.1	WP_258555624.1
OG0000561	WP_094521504.1	WP_160584935.1
OG0000564	WP_011290233.1	WP_160584949.1
OG0000565	WP_160590470.1	WP_160584840.1
OG0000566	WP_160590473.1	WP_160584838.1
OG0000567	WP_160590387.1	WP_160584708.1
OG0000568	WP_011205983.1	WP_011205983.1
OG0000569	WP_308704707.1	WP_308506985.1
OG0000570	WP_011205986.1	WP_160584706.1
OG0000571	WP_160590385.1	WP_160584704.1
OG0000572	WP_160590383.1	WP_160584703.1
OG0000573	WP_160590381.1	WP_160584701.1
OG0000574	WP_146379542.1	WP_160584699.1
OG0000575	WP_011290073.1	WP_160584672.1
OG0000576	WP_160590428.1	WP_044272325.1
OG0000577	WP_011290145.1	WP_160585066.1
OG0000578	WP_160590243.1	WP_160585064.1
OG0000579	WP_160590241.1	WP_160585062.1
OG0000580	WP_160590236.1	WP_160585056.1
OG0000581	WP_160590232.1	WP_160585052.1
OG0000582	WP_014579758.1	WP_011206161.1
OG0000583	WP_160590085.1	WP_160585033.1
OG0000584	WP_011284100.1	WP_011284100.1
OG0000585	WP_160585755.1	WP_146379618.1
OG0000586	WP_308704700.1	WP_308506990.1
OG0000587	WP_160590099.1	WP_160585030.1
OG0000588	WP_011290180.1	WP_146379613.1
OG0000589	WP_146379612.1	WP_160585027.1
OG0000590	WP_160585200.1	WP_160585200.1
OG0000591	WP_258555672.1	WP_160585115.1
