Orthogroup	MHP_MHP679_protein	MHP_UFV02_protein
OG0000119	WP_014579831.1	WP_011206243.1
OG0000120	WP_146379631.1	WP_243216184.1
OG0000121	WP_011284169.1	WP_011284169.1
OG0000122	WP_192894278.1	WP_179696020.1
OG0000123	WP_146379648.1	WP_243216208.1
OG0000124	WP_258555712.1	WP_243216207.1
OG0000125	WP_160590440.1	WP_243216206.1
OG0000126	WP_258555585.1	WP_243216205.1
OG0000127	WP_160590444.1	WP_011206271.1
OG0000128	WP_160590507.1	WP_020835765.1
OG0000129	WP_258555347.1	WP_243216202.1
OG0000130	WP_011290245.1	WP_014579859.1
OG0000131	WP_011290102.1	WP_179221065.1
OG0000132	WP_160590505.1	WP_243216047.1
OG0000133	WP_160590503.1	WP_243216048.1
OG0000134	WP_160590299.1	WP_243216049.1
OG0000135	WP_160590297.1	WP_233688705.1
OG0000136	WP_179696056.1	WP_228729171.1
OG0000137	WP_135618686.1	WP_179696055.1
OG0000138	WP_160588241.1	WP_011205966.1
OG0000139	WP_160588243.1	WP_243216052.1
OG0000140	WP_160590292.1	WP_011284027.1
OG0000141	WP_044284614.1	WP_044284614.1
OG0000142	WP_011284032.1	WP_011284032.1
OG0000143	WP_020835643.1	WP_011205958.1
OG0000144	WP_160590288.1	WP_011205956.1
OG0000145	WP_011205954.1	WP_243216054.1
OG0000146	WP_011205953.1	WP_011205953.1
OG0000147	WP_011205952.1	WP_011205952.1
OG0000148	WP_011290120.1	WP_011205950.1
OG0000149	WP_160590284.1	WP_243216055.1
OG0000150	WP_160590282.1	WP_011290122.1
OG0000151	WP_160590280.1	WP_243216057.1
OG0000152	WP_160590278.1	WP_243216059.1
OG0000153	WP_014579732.1	WP_014579732.1
OG0000154	WP_160590276.1	WP_243216060.1
OG0000155	WP_160590274.1	WP_011284046.1
OG0000156	WP_146379566.1	WP_160588225.1
OG0000157	WP_014579735.1	WP_014579735.1
OG0000158	WP_160590270.1	WP_135618714.1
OG0000159	WP_041361727.1	WP_041361727.1
OG0000160	WP_160590329.1	WP_044272314.1
OG0000161	WP_014579589.1	WP_014579589.1
OG0000162	WP_233688635.1	WP_020835541.1
OG0000163	WP_011206121.1	WP_011290004.1
OG0000164	WP_011206120.1	WP_011206120.1
OG0000165	WP_135618546.1	WP_011206119.1
OG0000166	WP_160590331.1	WP_243215975.1
OG0000167	WP_160590333.1	WP_243215976.1
OG0000168	WP_011206113.1	WP_011206113.1
OG0000169	WP_160590407.1	WP_243215983.1
OG0000170	WP_160584793.1	WP_135618563.1
OG0000171	WP_011206102.1	WP_011206102.1
OG0000172	WP_160584795.1	WP_243215985.1
OG0000173	WP_011290345.1	WP_011284290.1
OG0000174	WP_160587865.1	WP_011284289.1
OG0000175	WP_011284286.1	WP_020835845.1
OG0000176	WP_135619026.1	WP_135619026.1
OG0000177	WP_160590163.1	WP_011290340.1
OG0000178	WP_044272582.1	WP_044272582.1
OG0000179	WP_160590161.1	WP_044272578.1
OG0000180	WP_011206385.1	WP_011206385.1
OG0000181	WP_011206384.1	WP_011206384.1
OG0000182	WP_020835840.1	WP_243216301.1
OG0000183	WP_160587854.1	WP_243216296.1
OG0000184	WP_011290331.1	WP_011206379.1
OG0000185	WP_160590155.1	WP_243216292.1
OG0000186	WP_146379689.1	WP_243216290.1
OG0000187	WP_160590153.1	WP_243216288.1
OG0000188	WP_160590149.1	WP_243216285.1
OG0000189	WP_160590464.1	WP_020835828.1
OG0000190	WP_160590462.1	WP_020835827.1
OG0000191	WP_011206347.1	WP_011206347.1
OG0000192	WP_160587842.1	WP_243216280.1
OG0000193	WP_160585121.1	WP_243216274.1
OG0000194	WP_020835820.1	WP_011290311.1
OG0000195	WP_160590426.1	WP_243216273.1
OG0000196	WP_011206335.1	WP_011206335.1
OG0000197	WP_014579918.1	WP_011290309.1
OG0000198	WP_160590424.1	WP_308704549.1
OG0000199	WP_160590317.1	WP_011206289.1
OG0000200	WP_160590318.1	WP_011290271.1
OG0000201	WP_011206287.1	WP_011206287.1
OG0000202	WP_135618730.1	WP_243216071.1
OG0000203	WP_011290137.1	WP_011290137.1
OG0000204	WP_146379571.1	WP_160601269.1
OG0000205	WP_160585024.1	WP_243216144.1
OG0000206	WP_160585022.1	WP_243216145.1
OG0000207	WP_146379611.1	WP_243216146.1
OG0000208	WP_146379610.1	WP_243216147.1
OG0000209	WP_011206200.1	WP_011206200.1
OG0000210	WP_160590029.1	WP_011290193.1
OG0000211	WP_160590031.1	WP_160600914.1
OG0000212	WP_011206207.1	WP_011206207.1
OG0000213	WP_160585173.1	WP_233688406.1
OG0000214	WP_160590199.1	WP_243216310.1
OG0000215	WP_160590197.1	WP_011290367.1
OG0000216	WP_011206424.1	WP_011206424.1
OG0000217	WP_160585649.1	WP_243216312.1
OG0000218	WP_160590195.1	WP_011290369.1
OG0000219	WP_160590191.1	WP_243216317.1
OG0000220	WP_135619070.1	WP_135619070.1
OG0000221	WP_160590189.1	WP_243216318.1
OG0000222	WP_160590187.1	WP_243216326.1
OG0000223	WP_160585273.1	WP_233688536.1
OG0000224	WP_044272620.1	WP_011206441.1
OG0000225	WP_160590185.1	WP_243216329.1
OG0000226	WP_160590183.1	WP_179221227.1
OG0000227	WP_160590181.1	WP_160590181.1
OG0000228	WP_160590179.1	WP_243216331.1
OG0000229	WP_160590523.1	WP_020835888.1
OG0000230	WP_011206453.1	WP_011206453.1
OG0000231	WP_160590340.1	WP_014579989.1
OG0000232	WP_160590342.1	WP_243216339.1
OG0000233	WP_011206457.1	WP_044284717.1
OG0000234	WP_011206458.1	WP_011206458.1
OG0000235	WP_011206459.1	WP_011206459.1
OG0000236	WP_160590344.1	WP_243216342.1
OG0000237	WP_011206469.1	WP_011206469.1
OG0000238	WP_011206468.1	WP_160585238.1
OG0000239	WP_160590352.1	WP_146379742.1
OG0000240	WP_160590350.1	WP_011290399.1
OG0000241	WP_020835897.1	WP_011206465.1
OG0000242	WP_160590452.1	WP_243234997.1
OG0000243	WP_146379568.1	WP_243216061.1
OG0000244	WP_160590268.1	WP_020835656.1
OG0000245	WP_011290131.1	WP_011290131.1
OG0000246	WP_160590266.1	WP_020835657.1
OG0000247	WP_011284055.1	WP_243216062.1
OG0000248	WP_011284056.1	WP_160601243.1
OG0000249	WP_011205932.1	WP_011205932.1
OG0000250	WP_160590301.1	WP_243216195.1
OG0000251	WP_011206256.1	WP_011206256.1
OG0000252	WP_258555694.1	WP_243216189.1
OG0000253	WP_135619204.1	WP_011206251.1
OG0000254	WP_011284001.1	WP_011205992.1
OG0000255	WP_011283999.1	WP_011283999.1
OG0000256	WP_160590375.1	WP_243216028.1
OG0000257	WP_160590430.1	WP_243215993.1
OG0000258	WP_011290024.1	WP_011283924.1
OG0000259	WP_011206093.1	WP_011206093.1
OG0000260	WP_160590432.1	WP_011206092.1
OG0000261	WP_179695841.1	WP_228729168.1
OG0000262	WP_041361572.1	WP_011206090.1
OG0000263	WP_011283930.1	WP_243215996.1
OG0000264	WP_011206086.1	WP_011206086.1
OG0000265	WP_020835574.1	WP_020835574.1
OG0000266	WP_020835575.1	WP_020835575.1
OG0000267	WP_020835576.1	WP_020835576.1
OG0000268	WP_011283934.1	WP_011283934.1
OG0000269	WP_011206080.1	WP_011290034.1
OG0000270	WP_160590497.1	WP_135618573.1
OG0000271	WP_146379504.1	WP_243215999.1
OG0000272	WP_160590491.1	WP_011283943.1
OG0000273	WP_011206072.1	WP_011283944.1
OG0000274	WP_308704708.1	WP_014579633.1
OG0000275	WP_160585610.1	WP_243216001.1
OG0000276	WP_135618585.1	WP_011206068.1
OG0000277	WP_135618587.1	WP_011206067.1
OG0000278	WP_011290044.1	WP_011206066.1
OG0000279	WP_011206065.1	WP_011206065.1
OG0000280	WP_011206064.1	WP_011283950.1
OG0000281	WP_094521594.1	WP_011283951.1
OG0000282	WP_160590413.1	WP_011206062.1
OG0000283	WP_011206061.1	WP_011206061.1
OG0000284	WP_011206054.1	WP_243216004.1
OG0000285	WP_011206052.1	WP_243216005.1
OG0000286	WP_011206050.1	WP_011290054.1
OG0000287	WP_011206049.1	WP_011206049.1
OG0000288	WP_011206048.1	WP_011206048.1
OG0000289	WP_011283963.1	WP_011283963.1
OG0000290	WP_011206047.1	WP_011206047.1
OG0000291	WP_160590389.1	WP_014579616.1
OG0000292	WP_011206044.1	WP_011206044.1
OG0000293	WP_011290058.1	WP_011290058.1
OG0000294	WP_011206041.1	WP_011206041.1
OG0000295	WP_160590391.1	WP_020835592.1
OG0000296	WP_011206039.1	WP_011206039.1
OG0000297	WP_011206038.1	WP_011206038.1
OG0000298	WP_041361589.1	WP_041361589.1
OG0000299	WP_160590395.1	WP_020835596.1
OG0000300	WP_011206032.1	WP_011206032.1
OG0000301	WP_011206031.1	WP_011290064.1
OG0000302	WP_094521599.1	WP_160608021.1
OG0000303	WP_011206028.1	WP_011206028.1
OG0000304	WP_160585185.1	WP_014579605.1
OG0000305	WP_094521600.1	WP_243216006.1
OG0000306	WP_011206025.1	WP_011206025.1
OG0000307	WP_160590397.1	WP_146379524.1
OG0000308	WP_014579601.1	WP_014579601.1
OG0000309	WP_011290071.1	WP_011290071.1
OG0000310	WP_160590251.1	WP_243216010.1
OG0000311	WP_011206014.1	WP_011206014.1
OG0000312	WP_160590253.1	WP_233688674.1
OG0000313	WP_160590255.1	WP_044284822.1
OG0000314	WP_160584678.1	WP_020835610.1
OG0000315	WP_011290078.1	WP_243216014.1
OG0000316	WP_011283989.1	WP_011283989.1
OG0000317	WP_160590257.1	WP_243216016.1
OG0000318	WP_011283991.1	WP_011283991.1
OG0000319	WP_011206005.1	WP_011206005.1
OG0000320	WP_160590259.1	WP_233688689.1
OG0000321	WP_160590261.1	WP_243216021.1
OG0000322	WP_160590263.1	WP_243216023.1
OG0000323	WP_146379700.1	WP_011290347.1
OG0000324	WP_020835851.1	WP_020835851.1
OG0000325	WP_160585229.1	WP_243216303.1
OG0000326	WP_044272588.1	WP_135619036.1
OG0000327	WP_146379702.1	WP_243216305.1
OG0000328	WP_146379703.1	WP_011290352.1
OG0000329	WP_011206406.1	WP_041361690.1
OG0000330	WP_135619044.1	WP_020835856.1
OG0000331	WP_135619046.1	WP_020835857.1
OG0000332	WP_258555717.1	WP_232039502.1
OG0000333	WP_258555718.1	WP_243215931.1
OG0000334	WP_308704696.1	WP_243215932.1
OG0000335	WP_243215933.1	WP_020835500.1
OG0000336	WP_146379459.1	WP_243215935.1
OG0000337	WP_011289957.1	WP_243215937.1
OG0000338	WP_044272282.1	WP_243215940.1
OG0000339	WP_011205880.1	WP_011205880.1
OG0000340	WP_146379462.1	WP_014579544.1
OG0000341	WP_146379463.1	WP_160600661.1
OG0000342	WP_011205883.1	WP_011205883.1
OG0000343	WP_160589983.1	WP_011283860.1
OG0000344	WP_044284571.1	WP_044284571.1
OG0000345	WP_160589986.1	WP_014579548.1
OG0000346	WP_014579550.1	WP_044284572.1
OG0000347	WP_011205889.1	WP_011283865.1
OG0000348	WP_094521758.1	WP_233688611.1
OG0000349	WP_135618497.1	WP_233688612.1
OG0000350	WP_014579553.1	WP_243215941.1
OG0000351	WP_146379468.1	WP_243235002.1
OG0000352	WP_011289973.1	WP_011205894.1
OG0000353	WP_011289974.1	WP_011283871.1
OG0000354	WP_020835518.1	WP_193325077.1
OG0000355	WP_011205897.1	WP_011283873.1
OG0000356	WP_011289977.1	WP_011289977.1
OG0000357	WP_135618505.1	WP_243215943.1
OG0000358	WP_020835520.1	WP_243215945.1
OG0000359	WP_160584763.1	WP_243215947.1
OG0000360	WP_011289982.1	WP_243215948.1
OG0000361	WP_160589995.1	WP_160600685.1
OG0000362	WP_160589998.1	WP_243215950.1
OG0000363	WP_135618519.1	WP_135618519.1
OG0000364	WP_160584756.1	WP_243215957.1
OG0000365	WP_160590002.1	WP_011283885.1
OG0000366	WP_011283887.1	WP_011205916.1
OG0000367	WP_044284579.1	WP_243215961.1
OG0000368	WP_160584747.1	WP_011205921.1
OG0000369	WP_011205923.1	WP_011205923.1
OG0000370	WP_146379477.1	WP_014579577.1
OG0000371	WP_146379478.1	WP_011289993.1
OG0000372	WP_160590007.1	WP_011206135.1
OG0000373	WP_011206134.1	WP_011206134.1
OG0000374	WP_160590360.1	WP_243215890.1
OG0000375	WP_160590356.1	WP_243215887.1
OG0000376	WP_160590354.1	WP_135619152.1
OG0000377	WP_146379758.1	WP_243215885.1
OG0000378	WP_011206502.1	WP_011206502.1
OG0000379	WP_220191147.1	WP_243234999.1
OG0000380	WP_160590207.1	WP_243215879.1
OG0000381	WP_228366117.1	WP_011206497.1
OG0000382	WP_011290421.1	WP_243234998.1
OG0000383	WP_011206494.1	WP_011206494.1
OG0000384	WP_011290418.1	WP_243215875.1
OG0000385	WP_011206490.1	WP_044284728.1
OG0000386	WP_011290416.1	WP_081430772.1
OG0000387	WP_011206487.1	WP_011206487.1
OG0000388	WP_160590212.1	WP_243215874.1
OG0000389	WP_160590214.1	WP_044272663.1
OG0000390	WP_160590216.1	WP_011206484.1
OG0000391	WP_160584909.1	WP_243215870.1
OG0000392	WP_160590218.1	WP_243215868.1
OG0000393	WP_146379652.1	WP_146379652.1
OG0000394	WP_160590143.1	WP_243216240.1
OG0000395	WP_011206299.1	WP_160600959.1
OG0000396	WP_160590139.1	WP_243216242.1
OG0000397	WP_044272549.1	WP_011206303.1
OG0000398	WP_160590123.1	WP_243216258.1
OG0000399	WP_011206320.1	WP_011206320.1
OG0000400	WP_160590127.1	WP_243216256.1
OG0000401	WP_160590129.1	WP_243216254.1
OG0000402	WP_160590133.1	WP_243216251.1
OG0000403	WP_160590135.1	WP_243216250.1
OG0000404	WP_220200762.1	WP_243216245.1
OG0000405	WP_011284228.1	WP_011284228.1
OG0000406	WP_011284227.1	WP_233688477.1
OG0000407	WP_041361673.1	WP_233688476.1
OG0000408	WP_011284225.1	WP_011206306.1
OG0000409	WP_160589980.1	WP_243215936.1
OG0000410	WP_011205878.1	WP_011205878.1
OG0000411	WP_041361533.1	WP_014579572.1
OG0000412	WP_160590003.1	WP_011283891.1
OG0000413	WP_011205925.1	WP_014579576.1
OG0000414	WP_011206118.1	WP_011206118.1
OG0000415	WP_011283978.1	WP_011283978.1
OG0000416	WP_160590159.1	WP_044272575.1
OG0000417	WP_160590460.1	WP_044284687.1
OG0000418	WP_160590113.1	WP_243234991.1
OG0000419	WP_160590117.1	WP_243216263.1
OG0000420	WP_160590137.1	WP_243216248.1
OG0000421	WP_160590141.1	WP_160606445.1
OG0000422	WP_011206293.1	WP_011206293.1
OG0000423	WP_011206141.1	WP_011206141.1
OG0000424	WP_160590026.1	WP_094521675.1
OG0000425	WP_160585171.1	WP_243216153.1
OG0000426	WP_160590036.1	WP_014579818.1
OG0000427	WP_146379589.1	WP_011290211.1
OG0000428	WP_014579824.1	WP_014579824.1
OG0000429	WP_220190711.1	WP_243216157.1
OG0000430	WP_308704706.1	WP_146379629.1
OG0000431	WP_160590446.1	WP_243216204.1
OG0000432	WP_011205969.1	WP_011205969.1
OG0000433	WP_020835642.1	WP_020835642.1
OG0000434	WP_160590272.1	WP_135618712.1
OG0000435	WP_094521693.1	WP_243216187.1
OG0000436	WP_011206094.1	WP_243215994.1
OG0000437	WP_160590495.1	WP_243216000.1
OG0000438	WP_160590493.1	WP_011206076.1
OG0000439	WP_011206069.1	WP_243216002.1
OG0000440	WP_041361583.1	WP_011206060.1
OG0000441	WP_011206056.1	WP_225973017.1
OG0000442	WP_014579622.1	WP_094521595.1
OG0000443	WP_011206016.1	WP_011206016.1
OG0000444	WP_146379704.1	WP_011206405.1
OG0000445	WP_011290372.1	WP_011290372.1
OG0000446	WP_011206433.1	WP_011206433.1
OG0000447	WP_160590521.1	WP_160601134.1
OG0000448	WP_160590338.1	WP_243216335.1
OG0000449	WP_011206488.1	WP_011284361.1
OG0000450	WP_041361708.1	WP_243215876.1
OG0000451	WP_160588156.1	WP_243215889.1
OG0000452	WP_011205931.1	WP_243216064.1
OG0000453	WP_011290441.1	WP_011206520.1
OG0000454	WP_011284394.1	WP_243215903.1
OG0000455	WP_160590131.1	WP_243216252.1
OG0000456	WP_160590061.1	WP_243216169.1
OG0000457	WP_160590509.1	WP_243216236.1
OG0000458	WP_011205973.1	WP_011205973.1
OG0000459	WP_160590303.1	WP_243216193.1
OG0000460	WP_094521586.1	WP_011290029.1
OG0000461	WP_011206435.1	WP_011206435.1
OG0000462	WP_160590209.1	WP_243215877.1
OG0000463	WP_160590295.1	WP_243216050.1
OG0000464	WP_160590335.1	WP_243215977.1
OG0000465	WP_160590393.1	WP_014579611.1
OG0000466	WP_232039558.1	WP_232039558.1
OG0000467	WP_160590364.1	WP_243215894.1
OG0000468	WP_011205955.1	WP_243216053.1
OG0000469	WP_240536364.1	WP_160600882.1
OG0000470	WP_020835837.1	WP_243216293.1
OG0000471	WP_094521522.1	WP_243215882.1
OG0000472	WP_011206218.1	WP_011206218.1
OG0000473	WP_308704712.1	WP_160600884.1
OG0000474	WP_160590468.1	WP_228366105.1
OG0000475	WP_308704698.1	WP_233688626.1
OG0000476	WP_160590018.1	WP_243216148.1
OG0000477	WP_160590070.1	WP_011206227.1
OG0000478	WP_160590290.1	WP_044284615.1
OG0000479	WP_308507047.1	WP_237697228.1
OG0000480	WP_011206194.1	WP_243216143.1
OG0000481	WP_308704699.1	WP_243234974.1
OG0000482	WP_228366113.1	WP_011206427.1
OG0000483	WP_160588052.1	WP_243216314.1
OG0000484	WP_225973007.1	WP_233688609.1
OG0000485	WP_225973008.1	WP_228365406.1
OG0000486	WP_160589992.1	WP_243215944.1
OG0000487	WP_011290282.1	WP_011206302.1
OG0000488	WP_160590201.1	WP_011290363.1
OG0000489	WP_308704679.1	WP_269076322.1
OG0000491	WP_011283834.1	WP_011283834.1
OG0000492	WP_160588112.1	WP_243215913.1
OG0000493	WP_044272260.1	WP_135618444.1
OG0000494	WP_146379773.1	WP_243215902.1
OG0000496	WP_146379640.1	WP_011284186.1
OG0000497	WP_011205962.1	WP_011205962.1
OG0000498	WP_146379558.1	WP_233688710.1
OG0000499	WP_160590286.1	WP_160607802.1
OG0000500	WP_160590327.1	WP_243215971.1
OG0000501	WP_160585737.1	WP_179221015.1
OG0000502	WP_160590403.1	WP_052259108.1
OG0000504	WP_160590151.1	WP_011284271.1
OG0000505	WP_011290314.1	WP_011290314.1
OG0000506	WP_160590539.1	WP_011290313.1
OG0000507	WP_011206333.1	WP_011206333.1
OG0000508	WP_160585153.1	WP_160585153.1
OG0000510	WP_220200769.1	WP_243216321.1
OG0000511	WP_258555660.1	WP_243234965.1
OG0000512	WP_160590305.1	WP_243216192.1
OG0000513	WP_146379514.1	WP_243216003.1
OG0000514	WP_011290053.1	WP_011290053.1
OG0000515	WP_160585191.1	WP_020835590.1
OG0000516	WP_011206036.1	WP_011206036.1
OG0000517	WP_011289986.1	WP_044284771.1
OG0000518	WP_011205913.1	WP_243215959.1
OG0000519	WP_020835528.1	WP_160600697.1
OG0000520	WP_160590005.1	WP_243215963.1
OG0000522	WP_160590222.1	WP_179221251.1
OG0000523	WP_160590224.1	WP_243215862.1
OG0000524	WP_014579890.1	WP_014579890.1
OG0000525	WP_160585006.1	WP_011206304.1
OG0000526	WP_011206310.1	WP_011206310.1
OG0000527	WP_011206309.1	WP_011206309.1
OG0000528	WP_011205922.1	WP_011205922.1
OG0000529	WP_160590115.1	WP_243216266.1
OG0000530	WP_011290194.1	WP_243216151.1
OG0000531	WP_041361711.1	WP_011284377.1
OG0000532	WP_160590358.1	WP_044889046.1
OG0000533	WP_160590377.1	WP_014579695.1
OG0000534	WP_020835615.1	WP_243216018.1
OG0000535	WP_160590157.1	WP_243216299.1
OG0000536	WP_160585249.1	WP_243216198.1
OG0000539	WP_011283955.1	WP_088764595.1
OG0000540	WP_160590456.1	WP_243215854.1
OG0000541	WP_160590097.1	WP_243216113.1
OG0000542	WP_160590368.1	WP_243215896.1
OG0000543	WP_160584784.1	WP_179221017.1
OG0000544	WP_160590348.1	WP_243234996.1
OG0000545	WP_160590479.1	WP_243216074.1
OG0000548	WP_160590125.1	WP_243216257.1
OG0000552	WP_160590087.1	WP_243234967.1, WP_243234969.1
OG0000553	WP_258555725.1, WP_258555726.1	WP_243216203.1
OG0000554	WP_258555664.1	WP_243216125.1
OG0000557	WP_014579530.1	WP_011205863.1
OG0000558	WP_160590436.1	WP_243216210.1
OG0000559	WP_160590422.1	WP_243216271.1
OG0000560	WP_258555239.1	WP_020835829.1
OG0000564	WP_011290233.1	WP_011290233.1
OG0000565	WP_160590470.1	WP_233688595.1
OG0000566	WP_160590473.1	WP_243215923.1
OG0000567	WP_160590387.1	WP_243216038.1
OG0000568	WP_011205983.1	WP_011205983.1
OG0000569	WP_308704707.1	WP_243216036.1
OG0000570	WP_011205986.1	WP_243216034.1
OG0000571	WP_160590385.1	WP_014579701.1
OG0000572	WP_160590383.1	WP_243216033.1
OG0000573	WP_160590381.1	WP_243216031.1
OG0000574	WP_146379542.1	WP_243216030.1
OG0000575	WP_011290073.1	WP_243216012.1
OG0000576	WP_160590428.1	WP_243234959.1
OG0000577	WP_011290145.1	WP_011290145.1
OG0000578	WP_160590243.1	WP_243216081.1
OG0000579	WP_160590241.1	WP_243216083.1
OG0000580	WP_160590236.1	WP_243216090.1
OG0000581	WP_160590232.1	WP_243216093.1
OG0000582	WP_014579758.1	WP_011206161.1
OG0000583	WP_160590085.1	WP_014579786.1
OG0000584	WP_011284100.1	WP_011284100.1
OG0000585	WP_160585755.1	WP_243216120.1
OG0000586	WP_308704700.1	WP_243216124.1
OG0000587	WP_160590099.1	WP_243216127.1
OG0000588	WP_011290180.1	WP_243216133.1
OG0000589	WP_146379612.1	WP_243216135.1
OG0000590	WP_160585200.1	WP_237697200.1
OG0000591	WP_258555672.1	WP_243216270.1
OG0000592	WP_160585259.1	WP_243216276.1
OG0000593	WP_020835902.1	WP_243215859.1
OG0000594	WP_160590362.1	WP_243215893.1
OG0000595	WP_308507054.1	WP_014579703.1
OG0000596	WP_258555724.1	WP_094521768.1
OG0000597	WP_020835695.1	WP_243216119.1
